"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"30","Don Toliver","United States","Hip Hop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels, BMG","215","163","733651","8609952","1847288117","18187890395","9701506","48914629","289088459","764","160000","2820000","148496087","2560653116","1146458","30566888","274","77899","1716864","137111","30564409","1125124","5511828","5539732","1575","183153","18618","477244","31455","691542","27797126","648988","1464","68549","101","1123","837","24","8","481","26.615212210660886","5940.442954121756"
"31","DJ Khaled","United States","Hip Hop","Sony Music Entertainment, Big Indie Labels, Universal Music Group, Warner Music Group","226","273","462270","12995989","211661225","11306295664","1811610","21710038","155863719","283","0","14000000","77478821","7904386595","358997","57912520","108","101522","7064963","235452","7390192","-38057","38896295","2870642","163040","22317496","9392","1668625","3001","370324","3912432","155541","411","152653","138","2792","41671","146","17","1256","4.075960699368158","130.25097940771593"
"32","Flo Rida","United States","Hip Hop","Big Indie Labels, Warner Music Group, Universal Music Group","227","129","177150","9276219","589999271","15541433118","3022600","41770706","233536570","490","30000","5960000","106314201","7911657962","425406","43732434","1962","11030","680543","16206","1128106","40650","1012283","80405","-48474","15328358","15253","4713890","2277","66758","3569935","217567","177","269160","135","5356","4524","221","13","892","49.020331257305855","2325.1150231911247"
"33","JAY-Z","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","237","132","342782","11006914","836022582","24470019470","3163639","42101609","305352440","238","-30000","4070000","153567969","8212038414","707420","50903222","2646","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-99359","21730509","18724","3548829","2549","92719","1077245","404443","551","121022","127","3852","64909","328","11","126","5.081466919848234","103.42226571937202"
"34","Metro Boomin","United States","Hip Hop","Sony Music Entertainment, Universal Music Group, Warner Music Group","254","92","413546","12469170","952325348","30502473869","-543887","42498939","182456037","487","50000","3560000","91788729","4099284379","532120","38089672","1803","2340","954785","5765","1059346","-99208","10667626","263211","-10160","1566406","19013","725759","10241","1368507","7455285","366920","659","116665","106","2000","16559","125","15","281","70.70937510553557","275.5405666852134"
"35","Tyga","United States","Hip Hop","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","267","342","167822","7590858","395533044","18900222425","891125","23890579","167945607","140","0","12000000","146076539","13688351434","574419","102433674","198","-27155","11251779","17606","924028","656583","46218828","827536","-121607","21859253","0","3400114","1913","561099","2586363","277550","766","99520","117","1846","38637","214","36","3444","15.979051623966452","1300.4082568907672"
"36","Dr. Dre","United States","Hip Hop","Universal Music Group, Big Indie Labels","273","203","471874","15950091","478434129","14475801178","385381","23931487","174848764","236","60000","7930000","92408899","6123971045","521579","45552198","1751","N/A","N/A","N/A","N/A","-23658","7854787","19309","-74057","17013506","39024","4427360","4542","207774","1379429","262977","903","80094","144","2234","89333","56","8","680","1.3544182388662884","38.157938215985595"
"37","Ty Dolla $ign","United States","Hip Hop","Warner Music Group, Big Indie Labels, Universal Music Group, Sony Music Entertainment, BMG","294","149","337966","7918872","664093352","26403357242","1960720","36795389","338682906","246","10000","3810000","119248852","14020013498","515350","96451642","1609","1385","1002716","12723","337805","-44753","7583701","1299931","-11406","4210513","9767","930731","2230","467583","2567521","293209","913","67703","107","1731","1660","177","44","1708","385.1131314516772","4502.681147904468"
"38","Young Thug","United States","Hip Hop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels, BMG","317","185","356225","13056030","818921902","30859292342","593853","28924046","292591451","196","50000","7190000","172258224","15148283863","916082","123261461","963","7948","1598287","16475","736128","-47361","10067385","953605","-42282","5745645","21526","1520221","56430","1749499","16238088","377352","1725","50957","76","625","15364","188","32","909","49.16291681353979","489.49499220463423"
"39","Susy Mouriz","Mexico","Hip Hop","N/A","320","50516","14893","262361","813254","4967509","60589","142404","349766","59","600000","34100000","529471011","17200443232","13113444","1052315568","656","368480","17284888","8507196","57423819","36144","2495979","399883","50243","699757","88","1064","N/A","N/A","N/A","30","367133","3","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"40","French Montana","United States","Hip Hop","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","346","310","130551","6062336","275189205","11959471552","3128864","28822406","222888051","216","40000","5920000","140460546","9844059711","638011","66360833","478","50277","827795","641260","12796778","1936152","44982763","2141267","-3285","5636547","4369","1177633","2119","148780","2779062","302827","1016","94329","118","1725","26749","207","36","3570","25.248432717767127","1963.1493774801793"
"41","Dhanda Nyoliwala","India","Hip Hop","Big Indie Labels","350","1167","767215","2901407","296854853","1520078481","2198653","10906851","4353255","548","450000","2010000","193317920","519231443","1629584","6183649","149","N/A","N/A","N/A","N/A","633511","4247163","9004012","11732","131134","63","516","-1653","539","421354","41399","224468","38","4","4","N/A","N/A","N/A","N/A","N/A","N/A"
"42","T.I.","United States","Hip Hop","Big Indie Labels, Sony Music Entertainment, Warner Music Group, Universal Music Group","359","648","129826","5315731","354077430","9137026582","4470367","16219383","198716517","517","140000","4840000","98257760","5877291809","988417","35940689","707","364826","837507","1086690","10267522","17589","14783869","286135","474675","22320222","8312","2625178","4783","160439","3672333","274187","1234","92852","105","1804","55055","292","9","134","8.886814864433124","136.6812693404005"
"43","Hungria Hip Hop","Brazil","Hip Hop","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","360","971","370296","12047747","231770981","4577754487","-16337","7178424","18027457","429","100000","14600000","166588435","6879691271","579639","54892299","412","217091","4620860","3468541","5612253","154823","13012606","2497057","95549","8279973","0","2347416","N/A","N/A","N/A","9772","3264","33917","9","392","110960","3","0","0","0.9732893574492424","5.198068706591876"
"44","Canserbero","Venezuela","Hip Hop","Warner Music Group","373","589","894495","17749520","234446279","4608078407","717694","8484339","5449446","298","130000","8980000","119030823","3882108035","546017","27227268","N/A","34","97041","21048","641250","1811","74253","16743","N/A","N/A","4461","987569","N/A","N/A","N/A","50386","16295","3829","20","69","N/A","N/A","N/A","N/A","N/A","N/A"
"45","King Von","United States","Hip Hop","Warner Music Group, Big Indie Labels, Sony Music Entertainment","378","581","671326","9119902","320490897","6009522851","-1719899","12447890","21744352","521","300000","6330000","139681049","3747684765","1025962","37459523","N/A","41315","654989","24636","2671703","13277","3509032","146095","0","58178","11870","290607","24640","961215","16194565","50465","8292","8007","26","85","104411","11","1","6","1.2746149833015055","18.66516987336633"
"46","Swae Lee","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","384","148","212410","3409398","395657357","16110967160","4889816","39292349","268753712","258","32000","953000","143830502","7635085275","674325","56975823","1038","43023","3845711","349163","13749873","-9752","11699245","952815","10743","5460817","3788","476809","760","73187","296290","197850","5670","11418","87","826","10158","99","27","1998","69.47793030560148","587.5608244521952"
"47","Nelly","United States","Hip Hop","Universal Music Group, Big Indie Labels, Sony Music Entertainment, Warner Music Group","385","359","210610","4130140","262292715","7400069700","900734","24064263","143388934","350","50000","6290000","103469871","5651606523","418744","29687571","1746","3201","467905","1343","225254","12605","4133907","295313","-31766","10450230","11830","1587798","693","1716312","1281034","230621","431","145891","167","4698","30262","263","5","254","28.48503504531643","1591.6712134355614"
"48","Childish Gambino","United States","Hip Hop","Sony Music Entertainment, Universal Music Group, Warner Music Group","395","184","345286","15178332","483169175","13006466397","2889669","31113266","98153104","701","20000","6980000","27603318","2687523949","182127","28958996","3431","1678","1207203","0","0","11992","5269933","0","-13695","2438865","27514","1611773","9227","1470499","5682673","186408","2974","26732","83","1240","28566","42","8","1605","4.676147719916845","7313.12728366224"
"49","G-Eazy","United States","Hip Hop","Sony Music Entertainment, Big Indie Labels, Warner Music Group","399","285","131393","6502739","309543830","15622932359","2009512","25833142","125481877","223","20000","9020000","93139399","8627245137","427703","70952680","1646","-33652","1668254","28888","4131495","-39468","10000792","164674","-26009","3196485","6239","1075271","785","1186027","2029025","210979","2630","29690","136","1049","29398","175","37","1746","24.599982588786236","648.6448660761654"
"50","Talwiinder","United States","Hip Hop","Sony Music Entertainment, Big Indie Labels, Universal Music Group","406","757","817735","4227842","260590881","1613311341","-6761398","12995116","15297817","325","230000","2660000","88494541","512295400","552619","5666647","112","-659","269843","2357","773166","-142972","6600474","6752762","N/A","N/A","590","3119","2762","51501","2288469","24003","29701","1839","11","13","N/A","N/A","N/A","N/A","N/A","N/A"
"51","Will Smith","United States","Hip Hop","Big Indie Labels, Sony Music Entertainment, Universal Music Group","413","1150","26825","1201689","73103288","2715313392","1195863","10608571","100089242","1109","-100000","10700000","26975684","2562882527","154725","41520152","52","-303767","78818399","181984","13424028","132356","69118261","4263893","-358306","114191735","2417","222528","286","17378","216548","69592","674","109945","124","4298","106901","33","0","0","1.025958189674792","12.971695791127614"
