"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Ric Flair Drip","2017-10-30","N/A","Hip Hop","N/A","N/A","Offset, Metro Boomin","N/A","N/A","N/A","N/A","1930","N/A","N/A","N/A","N/A","162619892.66","N/A","N/A","N/A","160852262","1946890397","N/A","N/A","N/A","44452558","776694640","N/A","N/A","N/A","10393","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Type Shit","2024-03-20","N/A","Hip Hop","N/A","N/A","Future, Metro Boomin, Travis Scott, Playboi Carti","N/A","N/A","N/A","N/A","1946","N/A","N/A","N/A","N/A","161805478.615","N/A","N/A","N/A","166785931","712429596","N/A","N/A","N/A","36440187","152262680","N/A","N/A","N/A","10749","N/A","N/A","N/A","N/A","4353748","19739791","N/A","N/A","N/A","17569","1746463"
"Shakira: Bzrp Music Sessions, Vol. 53","2023-01-11","N/A","Pop","N/A","N/A","Bizarrap, Shakira","N/A","N/A","N/A","N/A","2052","N/A","N/A","N/A","N/A","156755918.305","N/A","N/A","N/A","98730408","1159090438","N/A","N/A","N/A","66018085","877265290","N/A","N/A","N/A","82933","N/A","N/A","N/A","N/A","254494","2306451","N/A","N/A","N/A","N/A","N/A"
"Everyday","2016-04-01","N/A","Pop","N/A","N/A","Ariana Grande, Future","N/A","N/A","N/A","N/A","2143","N/A","N/A","N/A","N/A","153575284.39","N/A","N/A","N/A","156884091","753030898","N/A","N/A","N/A","37565316","529266988","N/A","N/A","N/A","15517","N/A","N/A","N/A","N/A","102417","752936","N/A","N/A","N/A","N/A","N/A"
"Lights Down Low","2010-01-01","N/A","Hip Hop","N/A","N/A","Jeroxzy, Loresy","N/A","N/A","N/A","N/A","2164","N/A","N/A","N/A","N/A","152521323.14999998","N/A","N/A","N/A","96922052","289001008","N/A","N/A","N/A","6589610","49469694","N/A","N/A","N/A","116","N/A","N/A","N/A","N/A","119311","474462","N/A","N/A","N/A","5021","2420917"
"House Of Balloons","2010-01-01","N/A","Hip Hop","N/A","N/A","Jeroxzy, Loresy","N/A","N/A","N/A","N/A","2173","N/A","N/A","N/A","N/A","152040367","N/A","N/A","N/A","201501731","670219092","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Wake Up in the Sky","2018-09-13","N/A","Hip Hop","N/A","N/A","Gucci Mane, Bruno Mars, Kodak Black","N/A","N/A","N/A","N/A","2218","N/A","N/A","N/A","N/A","149707801.625","N/A","N/A","N/A","134709768","1275856712","N/A","N/A","N/A","69474024","909836398","N/A","N/A","N/A","13441","N/A","N/A","N/A","N/A","3109199","31607054","N/A","N/A","N/A","9492","7083294"
"Khayaal","2023-03-16","N/A","Hip Hop","N/A","N/A","Talwiinder, NDS","N/A","N/A","N/A","N/A","2226","N/A","N/A","N/A","N/A","149367761.745","N/A","N/A","N/A","133233612","215430316","N/A","N/A","N/A","48203765","71311527","N/A","N/A","N/A","227","N/A","N/A","N/A","N/A","344527","676312","N/A","N/A","N/A","0","176946"
"LOKERA","2022-07-25","N/A","Latin","N/A","N/A","Rauw Alejandro, Lyanno, Brray","N/A","N/A","N/A","N/A","2245","N/A","N/A","N/A","N/A","148422185.82500002","N/A","N/A","N/A","151653430","1031892929","N/A","N/A","N/A","70368884","514982374","N/A","N/A","N/A","21741","N/A","N/A","N/A","N/A","79774","345935","N/A","N/A","N/A","0","1534700"
"one of wun","2024-05-09","N/A","Hip Hop","N/A","N/A","Gunna","N/A","N/A","N/A","N/A","2332","N/A","N/A","N/A","N/A","143216594.64","N/A","N/A","N/A","162120290","543312067","N/A","N/A","N/A","25891708","72764006","N/A","N/A","N/A","20199","N/A","N/A","N/A","N/A","6204","6899","N/A","N/A","N/A","0","764292"
"Nevada","2021-01-30","N/A","Hip Hop","N/A","N/A","YoungBoy Never Broke Again","N/A","N/A","N/A","N/A","2352","N/A","N/A","N/A","N/A","142692162.34499997","N/A","N/A","N/A","126655742","326894492","N/A","N/A","N/A","56199709","195071784","N/A","N/A","N/A","23","N/A","N/A","N/A","N/A","8769246","52017124","N/A","N/A","N/A","N/A","N/A"
"MONTAGEM COMA","2025-06-06","N/A","Electronic","N/A","N/A","ANDROMEDA, elysian.","N/A","N/A","N/A","N/A","2400","N/A","N/A","N/A","N/A","140853881.355","N/A","N/A","N/A","90271227","99662711","N/A","N/A","N/A","61471414","66092569","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3127975","3139215","N/A","N/A","N/A","N/A","N/A"
"LOS VOLTAJE","2025-04-11","N/A","Hip Hop","N/A","N/A","Sayfalse, Yb Wasg'ood, Ariis","N/A","N/A","N/A","N/A","2403","N/A","N/A","N/A","N/A","140751986.54500002","N/A","N/A","N/A","190569132","199460680","N/A","N/A","N/A","369760","442772","N/A","N/A","N/A","85","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Around Me (feat. Don Toliver)","2022-12-02","N/A","Hip Hop","N/A","N/A","Metro Boomin, Don Toliver","N/A","N/A","N/A","N/A","2408","N/A","N/A","N/A","N/A","140533973.545","N/A","N/A","N/A","170237298","496633443","N/A","N/A","N/A","11215571","37515698","N/A","N/A","N/A","262","N/A","N/A","N/A","N/A","1601548","7749471","N/A","N/A","N/A","N/A","N/A"
