"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"11","Black Eyed Peas","United States","Pop","Universal Music Group, Sony Music Entertainment, Warner Music Group","71","81","30622","10268436","54431797","14839754767","-25132","58049226","236153497","61","0","13800000","17607124","12995078170","71842","74303258","941","5258","1770155","176768","0","5957","1556912","21011","-7938","37873399","1863","6061795","222","104883","183955","5911","61","38498","138","5349","84935","76","7","90","2.546623997166003","55.977801897723324"
"12","XXXTENTACION","United States","Hip Hop","Sony Music Entertainment, Big Indie Labels, Universal Music Group","75","45","88465","53479226","64591279","37078943863","361347","34591057","117936859","175","100000","43000000","8867970","9678363529","78740","163266756","N/A","N/A","N/A","N/A","N/A","-4344","20502199","0","3902","5748035","2306","4646570","8774","6319154","1984489","2014","3462","1787","42","203","118447","6","2","90","0.6097714086548952","12.845554286113288"
"13","Future","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels, BMG","78","54","54831","24021836","134279173","53553308027","-406729","53286251","391690027","102","0","14900000","18786010","16152819536","91825","119779444","335","876","949035","5377","0","-60","25947892","33726","-2140","10035936","2011","3939764","1812","10662462","2610811","63782","717","7992","75","672","327","509","56","5318","200.3603499075852","19360.18390696923"
"14","Snoop Dogg","United States","Hip Hop","Big Indie Labels, Universal Music Group, Sony Music Entertainment, Warner Music Group, BMG","82","156","45227","16828754","54585844","21835346890","342687","33038748","309636633","107","0","11100000","20698707","17167915114","112160","132240492","37","8","29471187","124636","0","136054","88589980","200261","35914","48751034","3557","7875631","703","1215304","165899","22000","436","10270","92","1891","5886","761","34","1236","100.81542475912234","1454.26677583537"
"15","Lil Wayne","United States","Hip Hop","Big Indie Labels, Universal Music Group, Warner Music Group, Sony Music Entertainment, BMG","93","85","42961","19069958","97746513","40599165115","-212611","47097912","344401534","58","100000","14400000","22532771","22925801637","110292","154066642","275","46653","4284355","534249","0","-6317","19560719","4560","-2423","50692348","2379","5790573","829","754974","418082","16681","1040","4998","73","700","1174","455","41","1719","36.87997459306723","8371.253734658922"
"16","Wiz Khalifa","United States","Hip Hop","Warner Music Group, Big Indie Labels, BMG, Sony Music Entertainment, Universal Music Group","100","131","17813","12447205","53497226","24863672750","-618373","43106802","277294416","98","0","30300000","17250098","22712600887","91581","162897729","206","44784","7746908","423392","0","39963","39921618","370874","-18013","45589825","1074","6888912","237","1347513","455801","5732","528","9520","105","1908","1767","257","25","971","46.21242143187843","2758.0423317755176"
"17","Sidhu Moose Wala","India","Hip Hop","Big Indie Labels, BMG","109","277","139934","48628307","25727642","6967634702","305166","9715721","9963165","79","0","30000000","39291576","15290554214","277074","228108090","N/A","89","1848119","5385","0","15751","17444481","473750","-165","1967414","53","35577","N/A","N/A","N/A","633","3263","2115","10","21","95031","2","1","5","1.7106178943889943","4.115079832900132"
"18","Karan Aujla","Canada","Pop","Big Indie Labels, Warner Music Group, Universal Music Group","119","177","210829","27085985","51626313","7429982871","444257","19526077","19509150","178","20000","5310000","29331952","8479190699","117190","83349145","193","664","579227","8021","0","104349","13675549","668352","-55","1250829","83","30830","667","179306","428204","1880","2267","2999","35","99","N/A","N/A","N/A","N/A","N/A","N/A"
"19","A$AP Rocky","United States","Hip Hop","Sony Music Entertainment, Universal Music Group, Big Indie Labels, BMG, Warner Music Group","124","126","36619","18341802","72889297","24103365148","49484","42392466","284062689","230","0","6090000","6975911","5812204663","46259","55157902","247","2032","1178916","38499","0","-2169","20256815","19071","-2591","8419886","2230","2067593","1346","3647326","445115","5410","4165","2099","54","338","1476","157","40","3063","22.431082594415166","5437.177421990482"
"20","YoungBoy Never Broke Again","United States","Hip Hop","Universal Music Group, Warner Music Group, Big Indie Labels, Sony Music Entertainment","126","304","55244","16478944","78625092","19688661758","146164","20971678","116722018","116","0","15400000","33683891","16997541149","162665","145047584","252","30389","3497154","1069788","0","0","12357581","0","5802","4009822","754","695356","3115","2709730","9720756","44337","11776","262","24","75","43874","51","2","18","14.117139699387804","50.94314523519016"
