"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"HIGHEST IN THE ROOM","2019-10-04","N/A","Hip Hop","N/A","N/A","Travis Scott","N/A","N/A","N/A","N/A","705","N/A","N/A","N/A","N/A","282271976.77500004","N/A","N/A","N/A","250650665","2250154100","N/A","N/A","N/A","149020341","1351538264","N/A","N/A","N/A","38263","N/A","N/A","N/A","N/A","4339273","65839298","N/A","N/A","N/A","0","5770929"
"Passionfruit","2017-03-18","N/A","Hip Hop","N/A","N/A","Drake","N/A","N/A","N/A","N/A","707","N/A","N/A","N/A","N/A","282207153.5799999","N/A","N/A","N/A","343708168","2187375436","N/A","N/A","N/A","94920026","621335873","N/A","N/A","N/A","33074","N/A","N/A","N/A","N/A","655745","8820907","N/A","N/A","N/A","0","5440266"
"blue","2024-08-01","N/A","Hip Hop","N/A","N/A","yung kai","N/A","N/A","N/A","N/A","711","N/A","N/A","N/A","N/A","281419818.1","N/A","N/A","N/A","383345515","795930829","N/A","N/A","N/A","14866581","51164661","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Headlines","2011-01-01","N/A","Hip Hop","N/A","N/A","Drake","N/A","N/A","N/A","N/A","712","N/A","N/A","N/A","N/A","281265513.02500004","N/A","N/A","N/A","323586406","1117353239","N/A","N/A","N/A","59390965","422536522","N/A","N/A","N/A","10433","N/A","N/A","N/A","N/A","4241864","25844586","N/A","N/A","N/A","N/A","N/A"
"Thunderstruck","2024-01-21","N/A","Hip Hop","N/A","N/A","Kateria","N/A","N/A","N/A","N/A","719","N/A","N/A","N/A","N/A","280579064.1","N/A","N/A","N/A","369826230","2188173138","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Killing Me Softly With His Song","1996-02-13","N/A","R&B","N/A","N/A","Fugees, Ms. Lauryn Hill","N/A","N/A","N/A","N/A","726","N/A","N/A","N/A","N/A","279823697.06","N/A","N/A","N/A","141506249","961881478","N/A","N/A","N/A","121231186","836372592","N/A","N/A","N/A","224055","N/A","N/A","N/A","N/A","319905","1857737","N/A","N/A","N/A","N/A","N/A"
"HUMBLE.","2017-04-13","N/A","Hip Hop","N/A","N/A","Kendrick Lamar","N/A","N/A","N/A","N/A","748","N/A","N/A","N/A","N/A","276549048.59999996","N/A","N/A","N/A","280223978","2889462883","N/A","N/A","N/A","54119437","1140734111","N/A","N/A","N/A","72439","N/A","N/A","N/A","N/A","421923","16579741","N/A","N/A","N/A","23500","8881793"
"La Bebe - Remix","2023-03-17","N/A","Latin","N/A","N/A","Yng Lvcas, Peso Pluma","N/A","N/A","N/A","N/A","761","N/A","N/A","N/A","N/A","274177871.79499996","N/A","N/A","N/A","118657500","1355611654","N/A","N/A","N/A","221301983","1444665820","N/A","N/A","N/A","17168","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"I Got 5 On It","1995-07-04","N/A","Hip Hop","N/A","N/A","Luniz, Michael Marshall","N/A","N/A","N/A","N/A","762","N/A","N/A","N/A","N/A","274111224.27","N/A","N/A","N/A","30606051","673949878","N/A","N/A","N/A","21075861","256182579","N/A","N/A","N/A","75984","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","5479339"
"Girls Like You (feat. Cardi B)","2018-05-30","N/A","Pop","N/A","N/A","Maroon 5, Cardi B","N/A","N/A","N/A","N/A","767","N/A","N/A","N/A","N/A","273268241.15","N/A","N/A","N/A","99238171","1837697554","N/A","N/A","N/A","252905169","5744692830","N/A","N/A","N/A","9452","N/A","N/A","N/A","N/A","119069","990294","N/A","N/A","N/A","N/A","N/A"
"Trap Queen","2014-12-15","N/A","Hip Hop","N/A","N/A","Fetty Wap","N/A","N/A","N/A","N/A","769","N/A","N/A","N/A","N/A","272660069.215","N/A","N/A","N/A","245091377","1599547939","N/A","N/A","N/A","71021434","1284097898","N/A","N/A","N/A","27456","N/A","N/A","N/A","N/A","320403","1091978","N/A","N/A","N/A","N/A","N/A"
"I Wanna Love You","2006-01-01","N/A","Hip Hop","N/A","N/A","Akon, Snoop Dogg","N/A","N/A","N/A","N/A","772","N/A","N/A","N/A","N/A","272380383.66","N/A","N/A","N/A","130538016","696644909","N/A","N/A","N/A","111332214","753921502","N/A","N/A","N/A","44833","N/A","N/A","N/A","N/A","388886","2258731","N/A","N/A","N/A","N/A","N/A"
"Where Them Girls At (feat. Nicki Minaj & Flo Rida)","2011-08-24","N/A","Hip Hop","N/A","N/A","David Guetta, Flo Rida, Nicki Minaj","N/A","N/A","N/A","N/A","781","N/A","N/A","N/A","N/A","271560843.24","N/A","N/A","N/A","159012118","870536304","N/A","N/A","N/A","57533720","642311368","N/A","N/A","N/A","42217","N/A","N/A","N/A","N/A","341228","913661","N/A","N/A","N/A","N/A","N/A"
"California Gurls","2010-01-01","N/A","Pop","N/A","N/A","Katy Perry, Snoop Dogg","N/A","N/A","N/A","N/A","791","N/A","N/A","N/A","N/A","269763361.9","N/A","N/A","N/A","244237775","1288219183","N/A","N/A","N/A","86526959","1056391925","N/A","N/A","N/A","159930","N/A","N/A","N/A","N/A","532319","2366852","N/A","N/A","N/A","N/A","N/A"
"Orang Baru Lebe Gacor","2025-09-21","N/A","Hip Hop","N/A","N/A","ECKO SHOW, Juan Reza, Chesylino","N/A","N/A","N/A","N/A","809","N/A","N/A","N/A","N/A","266781144.26000005","N/A","N/A","N/A","71213471","89329712","N/A","N/A","N/A","196898506","197153857","N/A","N/A","N/A","1809","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Heartless","2008-11-24","N/A","Hip Hop","N/A","N/A","Kanye West a.k.a Ye","N/A","N/A","N/A","N/A","836","N/A","N/A","N/A","N/A","261684938.91500002","N/A","N/A","N/A","303307212","1951452649","N/A","N/A","N/A","57685627","515457252","N/A","N/A","N/A","20080","N/A","N/A","N/A","N/A","3501877","62678851","N/A","N/A","N/A","N/A","N/A"
"Took Her To The O","2020-02-21","N/A","Hip Hop","N/A","N/A","King Von","N/A","N/A","N/A","N/A","840","N/A","N/A","N/A","N/A","260224029.94","N/A","N/A","N/A","215981918","882530913","N/A","N/A","N/A","93720041","458710408","N/A","N/A","N/A","7241","N/A","N/A","N/A","N/A","431073","838551","N/A","N/A","N/A","N/A","N/A"
