"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"183","Chief Kamachi","United States","Hip Hop","N/A","93650","50065","33","22285","186081","127803178","-2717","137794","968375","56804","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3","3018","N/A","N/A","N/A","0","81202","10","2","3","104047","43","0","0","1.2226945634774835","22.542093717198192"
"184","Jerreau","United States","Hip Hop","N/A","94228","52482","81","35882","36970","66006021","683","89481","2101758","76261","0","25000","2990","14120244","16","198561","91273","0","297","0","0","-16","41495","0","-5","6919","11","1299","0","17916","2171","3","207413","3","2","2","105129","33","0","0","1.111343312764732","22.226866255294656"
"185","Doomtree","United States","Hip Hop","Other Indie / Unsigned","95123","100355","28","57710","21908","34826641","170","29360","468553","71010","0","28700","11077","16261043","124","160851","77247","N/A","N/A","N/A","N/A","2","25120","162","-22","48541","4","2784","2","13711","604","0","160077","6","2","4","N/A","N/A","N/A","N/A","N/A","N/A"
"186","Outerspace","United States","Hip Hop","Big Indie Labels","96591","89611","50","38091","82392","36026295","-2683","69698","524052","84820","0","6600","1630","3249463","15","35601","119094","0","116","0","0","10","4489","70","9","22435","N/A","N/A","1","1287","128","0","91531","19","2","3","70647","102","0","0","4.590882986520597","41.746038227826155"
"187","Eyedea & Abilities","United States","Hip Hop","N/A","97362","72556","71","102443","43279","48065969","-225","55805","452901","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-14","101773","10","3171","N/A","N/A","N/A","1","110368","12","2","4","N/A","N/A","N/A","N/A","N/A","N/A"
"188","Felt","United States","Hip Hop","Big Indie Labels","97552","74123","62","39782","90552","43545052","-1448","99007","912335","152208","N/A","N/A","N/A","N/A","N/A","N/A","189977","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-9","27115","20","5148","2","1475","916","1","78896","23","8","15","N/A","N/A","N/A","N/A","N/A","N/A"
"189","Q-Unique","United States","Hip Hop","Big Indie Labels","98457","107472","23","25894","40886","27232968","-2839","50831","476051","87891","30","6820","4868","4130318","123","61686","85389","3","1760","25","0","13","18289","40","0","28742","2","2031","3","3372","460","0","66823","17","2","4","160513","3","0","0","0.03960306924082643","0.7920613848165285"
"190","Tunji Ige","United States","Hip Hop","Big Indie Labels","98835","66143","38","36061","46481","106642209","1063","49903","2106370","82647","0","16300","1358","12775681","14","149501","124421","0","61","0","0","-2","15686","50","-6","6387","3","1508","-5","47504","3057","4","187066","1","1","1","54341","15","3","144","9.00079146266062","25.32650671305103"
"191","London Jae","United States","Hip Hop","Other Indie / Unsigned","99314","144114","7","8748","40392","53622068","-64","15310","632479","36516","0","7400","52784","77298075","536","798765","72042","N/A","N/A","N/A","N/A","-21","84994","9","-7","10530","0","577","3","12714","698","11","180302","3","2","2","80666","94","1","4","3.0494906029570883","61.0151643325001"
"192","Stokka & Madbuddy","Italy","Hip Hop","Other Indie / Unsigned","99383","96796","29","49809","55491","19744640","-228","63428","117776","100817","N/A","N/A","N/A","N/A","N/A","N/A","93682","N/A","N/A","N/A","N/A","4","21417","0","-14","45561","3","6126","N/A","N/A","N/A","0","444914","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"193","Egreen","Italy","Hip Hop","Big Indie Labels, Warner Music Group, Sony Music Entertainment","99435","129526","11","40963","56528","40063466","-746","32081","182814","68340","0","29400","8897","14612393","66","196785","78659","N/A","N/A","N/A","N/A","-31","82130","5","1","700","1","4275","N/A","N/A","N/A","2","203901","4","1","1","91990","20","0","0","1.953891883101247","38.67837193219902"
"194","OverDoz.","United States","Hip Hop","Sony Music Entertainment","99543","111887","17","33871","71684","43242353","-388","22604","877039","72115","0","17400","5390","18239477","39","190985","103039","N/A","N/A","N/A","N/A","-5","13759","4","-8","21957","7","2303","-1","27482","1430","0","132394","6","4","4","125789","19","0","0","0.42805541454780766","8.561108290956152"
