"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"it's alt good","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","125","-719","1485883"
"Best of '00s Pop","Editorial","Spotify","Rock, Pop, Hip Hop","Mainstream Pop, Alternative Rock, Contemporary R&B","50","0","1468619"
"This Is Nirvana","This Is ...","Spotify","Rock","Alternative Rock","40","2582","1452027"
"70s Love Songs","Editorial","Spotify","Rock, Pop, R&B","Mainstream Pop, Pop Rock","50","616","1442722"
"Classic Oldies","Editorial","Spotify","R&B, Rock, Pop","Mainstream Pop, Soul","150","8086","1403339"
"90s Metal Classics","Editorial","Spotify","Metal, Rock","Alternative Metal","100","11758","1393152"
"Tenha um Ótimo Dia!","Editorial","Spotify","Rock","Pop Rock, Nova MPB","70","-3675","1378850"
"Swagger","Editorial","Spotify","Rock","Alternative Rock","50","-611","1367703"
"One-Hit Wonders","Editorial","Spotify","Pop, Rock, Electronic","N/A","50","3132","1362219"
"Indie Rock Club","Editorial","Spotify","Rock","Alternative Rock, Indie Rock","75","1289","1347999"
"Infinite Indie Folk","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","150","-2645","1347444"
"Wild & Free","Editorial","Spotify","Pop, Rock","Indie Pop, Folk Rock, Indie Rock","100","-2205","1342601"
"Alternative 90s","Editorial","Spotify","Rock, Electronic","Alternative Rock, Indie Rock","80","0","1316984"
"Coldplay Radio","Radio","Spotify","Rock, Pop","Folk Rock, Indie Folk, Folk Pop","50","12154","1309413"
"Morning Motivation","Editorial","Spotify","Pop, Rock","Mainstream Pop, Indie Pop","80","3210","1293685"
"This Is P!nk","This Is ...","Spotify","Pop, Electronic, Rock","Mainstream Pop, Pop Rock","50","1164","1283843"
"Early Alternative","Editorial","Spotify","Rock","Alternative Rock, Pop Rock","75","1639","1272792"
"Classic Rock Drive","Editorial","Spotify","Rock","Hard Rock, Pop Rock","150","7784","1261808"
"Imagine Dragons Best Of","Indie Curator","Imagine Dragons","Rock","Alternative Rock, Pop Rock","134","-1960","1260767"
"Good Times, Great Oldies","Editorial","Spotify","Rock","Folk Rock, Pop Rock","50","-284","1249300"
