"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"Headbanger Halloween","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore, Alternative Metal","80","-717","332580"
"This Is Pantera","This Is ...","Spotify","Metal","Thrash Metal, Groove Metal","40","1256","321408"
"This Is Megadeth","This Is ...","Spotify","Metal","Thrash Metal, Heavy Metal","50","1010","317564"
"Metallica: Essentials","Indie Curator","Metallica","Metal","Thrash Metal, Heavy Metal","63","2276","315099"
"Rammstein Complete","Indie Curator","Rammstein","Metal, Electronic","Alternative Metal, Industrial Metal","254","-307","304262"
"Deathcore","Editorial","Spotify","Metal","Metalcore/Deathcore","150","2583","286275"
"Metallica: Best Of The Best","Indie Curator","Best Of The Best","Metal","Thrash Metal, Heavy Metal","40","5880","284840"
"Bring Me The Horizon - Complete","Indie Curator","Bring Me The Horizon","Metal","Alternative Rock, Metalcore/Deathcore","152","-444","275666"
"This Is Nightwish","This Is ...","Spotify","Metal","Power Metal, Symphonic Metal","50","558","264339"
"Rock The World","Editorial","Spotify","Rock, Pop, Metal","Alternative Rock","100","-255","262464"
"This Is Papa Roach","This Is ...","Spotify","Metal","Alternative Metal, Nu Metal","50","1032","251974"
"This Is Falling In Reverse","This Is ...","Spotify","Metal","Metalcore/Deathcore, Pop Punk","38","1710","245499"
"Classic Hardcore","Editorial","Spotify","Punk, Metal","Hardstyle/Hardcore, Hardcore Punk","50","714","243321"
"Sludge","Editorial","Spotify","Rock, Metal","Alternative Rock","100","368","234137"
"This Is Breaking Benjamin","This Is ...","Spotify","Rock, Metal","Alternative Rock, Thrash Metal, Alternative Metal","39","1276","225849"
"Kickass Metal presents Best Heavy Songs of 2025","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore","0","0","224635"
"Emo Songs Everyone Knows","Indie Curator","ca_66","Rock, Metal, Punk","Alternative Rock, Heavy Metal, Groove Metal","183","10310","217013"
"Heavy Gamers","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore","75","-166","216581"
"This Is Motörhead","This Is ...","Spotify","Metal","Hard Rock, Heavy Metal","50","746","211814"
"This Is Slayer","This Is ...","Spotify","Metal","Thrash Metal","50","435","209991"
"Slipknot: 25th Anniversary Edition","Indie Curator","Slipknot","Metal","Alternative Metal, Nu Metal","150","365","203639"
"Cornerstones","Editorial","Spotify","Rock, Metal, Religious","Alternative Rock, Pop Rock","50","266","198717"
"Iron Maiden - Official Playlist","Indie Curator","Iron Maiden","Metal","Heavy Metal","47","1454","194141"
"Rock Latino 80-90 Lo Mejor","Indie Curator","Julio Cesar-Pulido","Rock, Metal","Alternative Rock, Pop Rock","194","1323","185798"
"This Is Bullet For My Valentine","This Is ...","Spotify","Metal, Electronic","Metalcore/Deathcore, Alternative Metal","50","536","183173"
"This Is Judas Priest","This Is ...","Spotify","Metal","Heavy Metal","50","413","183019"
"Heavy Metal Classics (Top 100)","Indie Curator","Misi","Metal","Thrash Metal, Heavy Metal","61","0","181601"
"Five Finger Death Punch Radio","Radio","Spotify","Metal, Rock","Heavy Metal, Groove Metal","50","1599","180675"
"Limp Bizkit Radio","Radio","Spotify","Metal, Rock","Alternative Rock, Alternative Metal, Nu Metal","50","3276","178559"
"Korn Radio","Radio","Spotify","Metal","Alternative Metal, Nu Metal","50","2310","171217"
"This Is Within Temptation","This Is ...","Spotify","Metal","Alternative Metal, Symphonic Metal","50","292","169411"
"WORKOUT | BEAST MODE | AGGRESSIVE","Indie Curator","Joel Gersch","Metal, Rock","Alternative Rock, Metalcore/Deathcore, Alternative Metal","97","89","166086"
"WWE ENTRANCES","Indie Curator","Chester","Rock, Pop, Metal","Mainstream Pop, Alternative Rock","236","2988","164372"
"Brutal Death Metal","Indie Curator","firatkaya90","Metal","Death Metal","332","1203","162342"
"Top 100 Most Popular Rock Songs","Indie Curator","Redlist - Biggest Songs","Metal, Rock","Alternative Hip Hop, Alternative Metal","100","7518","158257"
"Metal Christmas","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore, Progressive Metal","70","-690","158021"
"This Is BABYMETAL","This Is ...","Spotify","Metal","Pop Rock, Alternative Metal","43","767","153819"
"Deftones Radio","Radio","Spotify","Rock, Metal","Indie Rock, Shoegaze","50","3112","153225"
"Essentials","Indie Curator","Rammstein","Metal","Alternative Metal, Industrial Metal","24","1309","150276"
"This Is Gojira","This Is ...","Spotify","Metal, Classical, Pop","Opera, Heavy Metal, Progressive Metal","43","553","150049"
"70s 80s 90s Smash Hits","Indie Curator","Natalia","Rock, Pop, Metal","Alternative Rock","510","-152","149520"
"The Best of System Of A Down","Indie Curator","System Of A Down","Metal","Alternative Metal, Nu Metal","24","2996","147583"
"Leo Moracchioli Metal Covers","Indie Curator","willpower","Metal","Heavy Metal, Alternative Metal","462","266","145871"
"This Is Lamb of God","This Is ...","Spotify","Metal","Groove Metal","50","598","142736"
"Nu Jävlar!","Editorial","Spotify","Metal, Rock","Alternative Rock, Metalcore/Deathcore","85","105","141056"
"Leo Moracchioli","Indie Curator","siggan137","Metal","Heavy Metal, Alternative Metal","260","-169","140809"
"VOLUME SWEDEN","Editorial","Spotify","Rock, Metal","Alternative Rock","91","39","139065"
"This Is Rob Zombie","This Is ...","Spotify","Metal","Heavy Metal, Groove Metal, Industrial Metal","48","412","135349"
"Women's Voice","Editorial","Spotify","Pop, Metal","Black Metal, j-pop","100","503","135294"
"I’m sorry officer,  the laws of the road don’t apply when the guitar solo from Free Bird is on","Indie Curator","Josh","Rock, Metal","Hard Rock","96","-72","132748"
"This Is Dream Theater","This Is ...","Spotify","Metal","Progressive Metal","50","573","132265"
"This Is Powerwolf","This Is ...","Spotify","Metal","Heavy Metal, Power Metal","50","435","131958"
"Need for Speed: Underground","Indie Curator","Need for Speed","Electronic, Metal, Hip Hop","N/A","20","1369","131173"
"This Is Godsmack","This Is ...","Spotify","Metal, Country","Alternative Metal, Nu Metal","50","457","128872"
"Prog Rock","Editorial","Spotify","Rock, Metal","Progressive Rock","75","1474","128436"
"Best '90s Rock Playlist","Indie Curator","LUMA","Metal","Alternative Metal, Nu Metal","316","116","128168"
"Dark and Furious","Editorial","Spotify","Rock, Metal","Alternative Rock","100","59","127976"
"🤘 Rock / Metal 🤘 Mejores Éxitos • Nuevos Lanzamientos 2026","Indie Curator","Rock Metal","Metal, Rock","Heavy Metal","178","-347","127393"
"Metal Gym Hours","Indie Curator","Bengan Bengtsson","Metal","Death Metal, Progressive Metal, Symphonic Metal","71","-800","126953"
"Christian Rock Hits","Editorial","Spotify","Rock, Metal, Religious","Alternative Rock, Christian Music, Pop Rock","50","717","124879"
"2000s Alternative Rock","Indie Curator","Gage Teischinger","Metal, Rock","Hard Rock, Indie Rock, Alternative Metal","136","351","122125"
"Death Metal Classics","Indie Curator","@MansenSankari","Metal, Rock","Pop Rock, Death Metal, Progressive Metal","1229","754","121112"
"This Is Sepultura","This Is ...","Spotify","Metal","Thrash Metal, Groove Metal","40","562","120578"
"Headbanger Classics","Editorial","Spotify","Metal, Rock","Alternative Rock, Heavy Metal, Alternative Metal","100","521","119732"
"Rage Against The Machine Radio","Radio","Spotify","Rock, Metal","Alternative Rock, Alternative Metal, Nu Metal","50","1677","119606"
"Emo’s Not Dead","Indie Curator","Matt Cutshall","Rock, Punk, Metal","Alternative Rock, Indie Pop","238","61","115779"
"Metallica: Complete","Indie Curator","Metallica","Metal","Thrash Metal, Heavy Metal","935","-117","115513"
"This Is Amon Amarth","This Is ...","Spotify","Metal","Death Metal","49","258","113901"
"Falling In Reverse Radio","Radio","Spotify","Metal, Rock","Metalcore/Deathcore, Pop Punk","50","1409","113494"
"Limp Bizkit: Best Of The Best","Indie Curator","Best Of The Best","Metal","Alternative Metal, Nu Metal","41","1268","113249"
"This Is Parkway Drive","This Is ...","Spotify","Metal","Metalcore/Deathcore","47","365","112582"
"Tony Hawk Pro Skater 2","Indie Curator","icyjuicy","Hip Hop, Punk, Metal","Contemporary Hip Hop, Punk Rock","15","1044","111726"
"This Is Motionless In White","This Is ...","Spotify","Metal","Metalcore/Deathcore, Alternative Metal","50","2728","110669"
"Avenged Sevenfold Radio","Radio","Spotify","Metal","Metalcore/Deathcore, Hard Rock, Groove Metal","50","1371","110496"
"This Is Electric Callboy","This Is ...","Spotify","Metal","Metalcore/Deathcore, Other Electronic Music","50","751","109311"
"Volbeat Complete","Indie Curator","volbeat_official","Metal","Alternative Rock, Heavy Metal","206","-160","109293"
"Alice In Chains Radio","Radio","Spotify","Metal","Doom/Sludge Metal","50","2161","109099"
"This Is Dio","This Is ...","Spotify","Metal","Hard Rock, Heavy Metal","50","183","107652"
"Anime Openings and Endings","Indie Curator","12124288245","Rock, Pop, Metal","Alternative Rock, Anime","335","-103","105515"
"METAL PESADO!!!! | Heavy Metal Classics","Indie Curator","MusicalAlchemist","Metal, Rock","Alternative Rock, Thrash Metal","250","2638","105208"
"This Is I Prevail","This Is ...","Spotify","Metal, Rock","Metalcore/Deathcore, Alternative Metal","31","643","104631"
"Punkers go poppers","Indie Curator","Velxies","Metal, Punk, Rock","Metalcore/Deathcore, Pop Punk","100","-159","103672"
"This Is Asking Alexandria","This Is ...","Spotify","Metal","Metalcore/Deathcore, Hard Rock","48","210","103434"
"Rock VIBES","Indie Curator","VIBE Lifestyle","Rock, Metal","Alternative Rock","30","-164","103260"
"Bring Me The Horizon Radio","Radio","Spotify","Metal, Rock","Alternative Rock, Metalcore/Deathcore","50","1211","101066"
"This Is Killswitch Engage","This Is ...","Spotify","Metal","Metalcore/Deathcore, Hard Rock","50","376","98872"
"Hard Rock Classics","Indie Curator","JuanFer","Rock, Metal","Alternative Rock, Hard Rock","120","1394","98597"
"Breaking Benjamin Radio","Radio","Spotify","Metal","Metalcore/Deathcore, Alternative Metal, Nu Metal","50","1571","97717"
"This Is In Flames","This Is ...","Spotify","Metal","Death Metal, Alternative Metal","50","250","97582"
"This Is Apocalyptica","This Is ...","Spotify","Metal","Heavy Metal, Symphonic Metal","50","120","97372"
"This Is Rata Blanca","This Is ...","Spotify","Metal","Alternative Rock, Heavy Metal","50","453","95678"
"Def Leppard Radio","Radio","Spotify","Rock, Metal","Hard Rock, Heavy Metal, Glam Metal","50","1421","95349"
"New Blood","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore","60","1967","91966"
"Rock Hits ⚡️","Indie Curator","Filtr Legacy Sweden","Rock, Metal","Alternative Rock, Hard Rock, Heavy Metal","240","-208","90522"
"the strokes, the smiths, the cure, radiohead, deftones, etc.","Indie Curator","anna","Rock, Metal","Alternative Rock, Indie Rock, Post Punk","177","354","90520"
"Rammstein Europe Stadium Tour - Setlist","Indie Curator","Rammstein","Metal","Alternative Metal, Industrial Metal","22","-103","90118"
"The actual good metal playlist","Indie Curator","Sleekful","Metal","Metalcore/Deathcore, Alternative Metal","159","3879","89491"
"This Is Architects","This Is ...","Spotify","Metal","Metalcore/Deathcore","43","457","87492"
"VOLUME DENMARK","Editorial","Spotify","Rock, Metal","Alternative Rock, Hard Rock, Heavy Metal","80","-79","86775"
"This Is Trivium","This Is ...","Spotify","Metal","Thrash Metal, Heavy Metal","50","204","86478"
"Sleep Token Radio","Radio","Spotify","Metal, Rock","Alternative Rock, Metalcore/Deathcore","50","1655","86324"
"Nik Nocturnal's Modern Metal Playlist","Indie Curator","Nik Nocturnal","Metal","Death Metal","100","-37","85914"
"The Metallica Blacklist","Indie Curator","Metallica","Rock, Metal, Pop","Heavy Metal","65","-92","84780"
"BEST GUITAR SOLOS OF ALL TIME","Indie Curator","t.riccardo","Metal, Rock","Metalcore/Deathcore, Heavy Metal","1050","1221","83519"
"This Is Polyphia","This Is ...","Spotify","Rock, Metal","Pop Rock, Progressive Rock, Math Rock","40","162","82514"
"private music","Indie Curator","Deftones","Metal","Alternative Metal, Nu Metal","65","-57","82458"
"METAL GYM WORKOUT PLAYLIST","Indie Curator","Austin","Metal","Metalcore/Deathcore","750","1885","81630"
"TOOL","Indie Curator","Gordon Thomas","Rock, Metal","Alternative Rock, Progressive Rock","88","0","81606"
"This Is Chino Moreno","This Is ...","Spotify","Metal","Indie Rock, Alternative Metal, Nu Metal","45","628","81506"
"Gym Bangers 😤💪🏼","Indie Curator","Bryan Le","Rock, Metal, Punk","Alternative Rock, Alternative Metal","211","-171","80909"
"This Is DragonForce","This Is ...","Spotify","Metal","Power Metal","50","219","80771"
"This Is Arch Enemy","This Is ...","Spotify","Metal","Death Metal, Progressive Metal","50","457","80506"
"Marvel's Guardians of the Galaxy Original Video Game Playlist","Indie Curator","Marvel Music","Classical, Metal, Rock","Classical Crossover, Other Electronic Music","79","15","80328"
"Papa Roach Radio","Radio","Spotify","Metal","Alternative Metal, Nu Metal","50","1490","80134"
"system of a down","Indie Curator","Octavio Carpio","Metal, Rock","Alternative Rock, Alternative Metal","102","-31","79691"
"Iron Maiden - Best Of","Indie Curator","Overblast","Metal","Heavy Metal","60","2346","78355"
"This Is P.O.D.","This Is ...","Spotify","Metal","Alternative Metal, Nu Metal","50","274","78193"
"This Is In This Moment","This Is ...","Spotify","Metal","Heavy Metal, Alternative Metal","49","202","78120"
"80s Rock Hits Music Playlist - Greatest 1980's Rock Songs","Indie Curator","Redlist Playlists","Metal, Rock","Alternative Hip Hop, Alternative Metal","100","873","77382"
"Pantera Radio","Radio","Spotify","Metal, Rock","Alternative Rock, Doom/Sludge Metal, Groove Metal","50","1223","76913"
"This Is Helloween","This Is ...","Spotify","Metal","Heavy Metal, Power Metal","50","328","76905"
"Hardcore Punk","Indie Curator","Pure Noise Records","Punk, Metal","Hardstyle/Hardcore, Metalcore/Deathcore, Hardcore Punk","371","89","76807"
"Rock Favourites","Editorial","Spotify","Rock, Metal","Alternative Rock","100","285","76643"
"Frog Leap Studios","Indie Curator","Daniel Coppi Rauh","Metal","Heavy Metal, Alternative Metal","259","127","76377"
"Rock Nation 2026 🎸 ","Major Label","Topsify","Rock, Metal","Alternative Rock, Indie Rock","82","-172","76147"
"This Is Type O Negative","This Is ...","Spotify","Metal","Doom/Sludge Metal, Gothic Metal","43","556","75740"
"Marilyn Manson Radio","Radio","Spotify","Metal, Rock","Alternative Rock, Alternative Metal, Industrial Metal","50","696","75481"
"Volbeat Radio","Radio","Spotify","Metal, Rock","Alternative Rock, Hard Rock, Heavy Metal","50","505","74667"
"sad metal songs.","Indie Curator","Sebastian Finta","Metal","Metalcore/Deathcore, Progressive Metal","975","615","74275"
"Black Metal Essentials ","Indie Curator","Adamlyt","Metal","Black Metal","257","-193","73702"
"AC/DC - Best Rock Songs","Indie Curator","Sergio","Metal","Alternative Metal, Industrial rock","37","-68","73225"
"TOOL - rock inspired by Maynard Keenan, the Deftones, Nine Inch Nails, A Perfect Circle and Puscifer","Indie Curator","Jerry G","Rock, Metal","Alternative Rock, Industrial rock","382","-57","73035"
"This Is Epica","This Is ...","Spotify","Metal","Symphonic Metal","50","279","72635"
"This Is Ice Nine Kills","This Is ...","Spotify","Metal","Metalcore/Deathcore, Alternative Metal","45","806","71832"
"Bad Omens Radio","Radio","Spotify","Metal, Rock","Alternative Rock, Metalcore/Deathcore, Alternative Metal","50","1769","71731"
"vkei bangers ^_^","Indie Curator","ash?!","Rock, Metal","Alternative Rock, Alternative Metal","170","1327","71401"
"Godsmack Radio","Radio","Spotify","Metal","Alternative Rock, Alternative Metal, Nu Metal","50","852","70370"
"Ramstein","Indie Curator","bgolmen64","Metal","Alternative Metal, Industrial Metal","81","-50","70348"
"","Indie Curator","plastplugg","Metal, Punk, Rock","Alternative Rock, Metalcore/Deathcore, Pop Punk","99","0","70220"
"Arab Metal","Editorial","Spotify","Metal","Progressive Metal, Folk Metal","0","0","69605"
"This Is Bad Omens","This Is ...","Spotify","Metal","Metalcore/Deathcore, Alternative Metal","28","0","69567"
"Death Metal","Indie Curator","Dylan Bellusci","Metal","Metalcore/Deathcore, Death Metal, Grindcore","457","-90","68776"
