"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"OVO SOUND","Indie Curator","Drake","R&B, Hip Hop","Alternative Hip Hop, Contemporary R&B","101","1260","1185151"
"BRAZILIAN PHONK 🇧🇷","Indie Curator","Tribal Trap","Electronic, Hip Hop, Latin","Phonk","143","18712","1179028"
"Deutschrap Hits","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","100","2863","1173726"
"Reggae en Español","Editorial","Spotify","Reggae, Hip Hop","Alternative Hip Hop, Roots Reggae","100","-1817","1173468"
"La Casa del Perreo","Editorial","Spotify","Latin, Hip Hop","Reggaeton","100","11607","1172595"
"Best Life","Editorial","Spotify","Hip Hop","Mainstream Pop, Contemporary Hip Hop, Alternative Hip Hop","50","-266","1163200"
"REGGAETON 2026 LA ORIGINAL ☀️ 1.2 MILLONES DE SEGUIDORES","Indie Curator","Diego Bravo A&R Altafonte","Latin, Hip Hop","Reggaeton","170","-1531","1162444"
"Novedades Viernes MX","Editorial","Spotify","Hip Hop","Contemporary Hip Hop","56","11060","1159909"
"AULAS","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","50","-1914","1148390"
"TikTok songs you can't get out of your head | 2026 TikTok songs & viral hits","Major Label","Filtr","Pop, Hip Hop, R&B","Mainstream Pop, Contemporary R&B","121","54","1143244"
"This Is Frequency","This Is ...","Spotify","R&B, Hip Hop, Pop","Contemporary Hip Hop, Contemporary R&B","153","5629","1129732"
"Plus Ultra","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","52","-1143","1127880"
"Kitchen Swagger","Editorial","Spotify","R&B, Hip Hop, Pop","N/A","150","1819","1127680"
"TRAPPERZ","Editorial","Spotify","Hip Hop, Latin","Trap, Reggaeton, Latin Trap","100","-1409","1121825"
"R&B Weekly","Editorial","Spotify","R&B, Hip Hop","Contemporary R&B","250","1313","1115134"
"Top 50 - Italy","Charts","Spotify","Hip Hop, Latin, Pop","Contemporary Hip Hop, Trap, Reggaeton","50","1028","1084469"
"The Weeknd Radio","Radio","Spotify","Hip Hop, Pop, R&B","Mainstream Pop, Contemporary R&B","50","15509","1078055"
"slow living","Editorial","Spotify","Electronic, Hip Hop","Contemporary Hip Hop, Downtempo, Lo-Fi","140","10292","1077457"
"DOPE.","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","100","-2075","1069032"
"This Is NF","This Is ...","Spotify","Hip Hop","Contemporary Hip Hop","49","1894","1067561"
"PHONK MUSIC 2026 ☠️😈 AURA +10,000,000 DARK PHONK","Indie Curator","Magic Records","Electronic, Hip Hop","Dance, Phonk","317","19013","1065421"
"Shisha Lounge","Editorial","Spotify","Hip Hop","Mainstream Pop, Contemporary Hip Hop, Alternative Hip Hop","80","214595","1062694"
"Who We Be","Editorial","Spotify","Hip Hop, African, R&B","Alternative Hip Hop, Afrobeat","80","83750","1060300"
"Bob Marley Greatest Hits 2026","Indie Curator","Chill Music","Reggae, Electronic, Hip Hop","Contemporary Hip Hop, Downtempo, Lo-Fi","67","19199","1057695"
"No Pain No Gain","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Alternative Hip Hop","111","-1567","1049599"
"Estate 2025","Editorial","Spotify","Hip Hop, Pop","Mainstream Pop, Contemporary Hip Hop, Trap","50","-1710","1035925"
"lofi chill","Editorial","Spotify","Electronic, Hip Hop","Downtempo, Lo-Fi","200","17516","1029392"
"Grand Hit","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop","40","266","1026467"
"Afro Hits","Editorial","Spotify","African, Hip Hop","Mainstream Pop, Afrobeat","50","2562","1020102"
