"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"Fun Run","Editorial","Spotify","Pop","Mainstream Pop","50","-222","1857733"
"Great Female Voices","Editorial","Spotify","R&B, Pop, Jazz","Mainstream Pop, Contemporary R&B","50","3698","1829098"
"OPM Says Chillax","Editorial","Spotify","Pop, R&B, Rock","Indie Pop, OPM","40","-1559","1828925"
"¡Baila Sin Parar!","Editorial","Spotify","Latin, Pop","Reggaeton, Latin Pop","100","-1977","1823523"
"Piano Ballads","Editorial","Spotify","Pop, R&B, Rock","Mainstream Pop, Indie Pop","75","-2263","1821209"
"Instrumental Study","Editorial","Spotify","Classical, Pop, Electronic","Classical Crossover, Downtempo","194","-1877","1819179"
"Sólo Pop","Editorial","Spotify","Latin, Pop","Latin Pop, Regional Mexican Music","75","5003","1818960"
"Acústicas","Editorial","Spotify","Pop, Latin","Latin Pop","100","-6534","1807280"
"Chill Pop","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","100","908","1801959"
"This Is ABBA","This Is ...","Spotify","Pop","Mainstream Pop","60","5313","1793562"
"Soft 90s","Editorial","Spotify","Pop, Rock, R&B","Mainstream Pop","150","26367","1793207"
"All Out 00s Hindi","Editorial","Spotify","Pop, Asian","Indian Pop, Islamic Music","100","30775","1789092"
"Viral 50 - Global","Charts","Spotify","Pop, Rock","Indie Pop","50","1440","1787589"
"Bollywood Mush","Editorial","Spotify","Pop","Indian Pop, Indian Folk","75","22656","1787365"
"I Love My '10s R&B","Editorial","Spotify","R&B, Hip Hop, Pop","Mainstream Pop, Contemporary R&B","100","4087","1781144"
"This Is Shawn Mendes","This Is ...","Spotify","Pop","Mainstream Pop","50","-342","1774242"
"This Is Shakira","This Is ...","Spotify","Pop","Mainstream Pop, Latin Pop","50","7417","1773704"
"Top Songs - Global","Charts","Spotify","Pop, Latin","Mainstream Pop, Reggaeton, Indie Pop","50","14598","1767096"
"This Is Beyoncé","This Is ...","Spotify","Pop, Country","Mainstream Pop, Contemporary R&B","70","762","1750316"
"Sad Songs","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","80","-2886","1728780"
"Hot Hits Italia","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop, Trap","50","288","1728131"
"Zumba® Beats","Editorial","Spotify","Latin, Pop","Reggaeton, Latin Pop","65","-2816","1724733"
"K-OST Center","Editorial","Spotify","Pop","k-pop","100","-2081","1721914"
"Roots Rising","Editorial","Spotify","Pop, Rock, Country","Indie Pop, Indie Rock","100","-4032","1709769"
"DOPAMINE","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","80","11701","1700380"
"Acústico MPB","Editorial","Spotify","Pop, Latin, Jazz","Nova MPB","100","2202","1695606"
"Hanging Out & Relaxing","Editorial","Spotify","Rock, Pop","Indie Pop, Indie Rock","100","-2695","1694540"
"canciones tristes que me recuerdan a ti","Editorial","Spotify","Pop, Latin","Latin Pop, Indie Pop","50","-5237","1691786"
"Soft 80s","Editorial","Spotify","Rock, Pop, R&B","Mainstream Pop, Pop Rock","150","12080","1683255"
"Billboard Hot 100","Indie Curator","Billboard","Pop, Country","Contemporary Country, Mainstream Pop","100","-1201","1673788"
"Indie Pop","Editorial","Spotify","Pop","Indie Pop","100","-992","1673095"
"Winter Acoustic","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","71","-6368","1669081"
"This Is Sam Smith","This Is ...","Spotify","Pop","Mainstream Pop","50","780","1659239"
"This Is Marshmello","This Is ...","Spotify","Electronic, Pop","Mainstream Pop, Dance","50","-1368","1657701"
"Karaoke 2025","Editorial","Spotify","Pop, Rock","Mainstream Pop","200","-2883","1652674"
"Hot Hits Türkiye","Editorial","Spotify","Hip Hop, Pop","Mainstream Pop, Contemporary Hip Hop, Arabic Pop","50","949","1645367"
"This Is Alan Walker","This Is ...","Spotify","Electronic, Pop","Mainstream Pop, Dance, Electro House","50","-376","1638226"
"tear drop","Editorial","Spotify","Hip Hop, Pop","Trap, Alternative Hip Hop","150","420","1629118"
"Hora Acústica","Editorial","Spotify","Rock, Pop","Pop Rock, Nova MPB","60","-2425","1625095"
"Ethereal","Editorial","Spotify","Pop","Indie Pop","75","-1572","1623122"
"Disco Forever","Editorial","Spotify","R&B, Pop","Contemporary R&B, Disco","75","1373","1616472"
"slowed and reverbed","Editorial","Spotify","Electronic, Pop, Hip Hop","Phonk","50","8285","1612039"
"Jazz for Sleep","Editorial","Spotify","Jazz, Classical, Pop","Big band Jazz, Classical Crossover, Smooth Jazz","100","16787","1607520"
"Acoustic Love","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","100","-4045","1604825"
"Bollywood Central","Editorial","Spotify","Pop","Indian Pop, Indian Folk","50","4027","1604689"
"2000s HITS Y2K THROWBACKS","Indie Curator","Filtr US","Pop, Hip Hop, R&B","Mainstream Pop, Contemporary R&B","214","-2100","1589349"
"Soft 10s","Editorial","Spotify","Pop","Mainstream Pop","250","9301","1589325"
"Reading Soundtrack","Editorial","Spotify","Classical, Pop, Electronic","Classical Crossover, Downtempo","130","9407","1580555"
"Hot Hits Brasil","Editorial","Spotify","Pop, Latin","Mainstream Pop, Latin Pop","50","762","1580397"
"Sommerhits 2025","Editorial","Spotify","Electronic, Pop","Mainstream Pop, Dance","70","-3707","1579494"
"Chill  Vibes 2026 🌙","Indie Curator","Electro Posé","Electronic, Pop","Dance","209","17468","1573436"
