Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Artist_Country,Viberate_Rank_Overall,Viberate_Rank_Genre,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M,Notes
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",Young Thug,USA,203,30,18,Hip Hop,Trap,7 Festivals,COVID-19 cancellation
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",Burna Boy,NGA,226,1,1,African,Afrobeat,4 Festivals,COVID-19 cancellation
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",DaBaby,USA,228,35,33,Hip Hop,Contemporary Hip Hop,0 Festival,COVID-19 cancellation
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",Playboi Carti,USA,242,38,24,Hip Hop,Trap,2 Festivals,COVID-19 cancellation
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",Pop Smoke,USA,375,64,51,Hip Hop,Contemporary Hip Hop,0 Festival,COVID-19 cancellation
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",NLE Choppa,USA,444,80,39,Hip Hop,Trap,3 Festivals,COVID-19 cancellation
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Travis Scott,USA,51,6,7,Hip Hop,Contemporary Hip Hop,3 Festivals,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Cardi B,USA,58,8,8,Hip Hop,Contemporary Hip Hop,1 Festival,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Future,USA,62,11,2,Hip Hop,Trap,4 Festivals,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Juice WRLD,USA,103,17,7,Hip Hop,Trap,0 Festival,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Lil Baby,USA,107,18,8,Hip Hop,Trap,3 Festivals,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Megan Thee Stallion,USA,145,21,10,Hip Hop,Alternative Hip Hop,1 Festival,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Gunna,USA,192,28,16,Hip Hop,Trap,2 Festivals,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Young Thug,USA,203,30,18,Hip Hop,Trap,7 Festivals,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Tyga,USA,206,31,29,Hip Hop,Contemporary Hip Hop,2 Festivals,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Migos,USA,309,51,28,Hip Hop,Trap,0 Festival,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",Post Malone,USA,54,7,2,Hip Hop,Alternative Hip Hop,12 Festivals,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",J. Cole,USA,118,20,21,Hip Hop,Contemporary Hip Hop,0 Festival,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",Raye,GBR,151,73,57,Pop,Mainstream Pop,16 Festivals,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",Lil Uzi Vert,USA,173,26,15,Hip Hop,Trap,0 Festival,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",Playboi Carti,USA,242,38,24,Hip Hop,Trap,2 Festivals,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",DJ Khaled,USA,243,39,35,Hip Hop,Contemporary Hip Hop,0 Festival,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",French Montana,USA,271,45,37,Hip Hop,Contemporary Hip Hop,0 Festival,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",Davido,NGA,303,3,4,African,Afrobeat,4 Festivals,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",Migos,USA,309,51,28,Hip Hop,Trap,0 Festival,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",PARTYNEXTDOOR,CAN,327,10,23,R&B,Contemporary R&B,2 Festivals,
