Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Overall_Rank,Genre_Rank,Genre,Subgenre_Rank,Subgenre,Festival_Performances_Last_12M
Festival Estereo Picnic,2024,March,3,Mar 21-24 2024,Sam Smith,GBR,127,62,Pop,51,Mainstream Pop,1
Festival Estereo Picnic,2024,March,3,Mar 21-24 2024,Grupo Frontera,USA,197,41,Latin,9,Regional Mexican Music,3
Festival Estereo Picnic,2024,March,3,Mar 21-24 2024,Hozier,IRL,318,10,R&B,3,Soul,20
Festival Estereo Picnic,2024,March,3,Mar 21-24 2024,Paramore,USA,406,29,Rock,19,Alternative Rock,0
Festival Estereo Picnic,2024,March,3,Mar 21-24 2024,Tainy,PRI,478,89,Latin,49,Reggaeton,0
Festival Estereo Picnic,2024,March,3,Mar 21-24 2024,The Offspring,USA,508,3,Punk,2,Punk Rock,5
Festival Estereo Picnic,2024,March,3,Mar 21-24 2024,Limp Bizkit,USA,519,9,Metal,6,Alternative Metal,2
Festival Estereo Picnic,2024,March,3,Mar 21-24 2024,blink-182,USA,579,4,Punk,3,Punk Rock,7
Festival Estereo Picnic,2023,March,3,Mar 23-26 2023,Drake,CAN,5,1,Hip Hop,1,Contemporary Hip Hop,1
Festival Estereo Picnic,2023,March,3,Mar 23-26 2023,Billie Eilish,USA,8,6,Pop,6,Mainstream Pop,0
Festival Estereo Picnic,2023,March,3,Mar 23-26 2023,Twenty One Pilots,USA,137,68,Pop,7,Indie Pop,2
Festival Estereo Picnic,2023,March,3,Mar 23-26 2023,Tame Impala,AUS,147,13,Rock,1,Psychedelic Rock,1
Festival Estereo Picnic,2023,March,3,Mar 23-26 2023,ROSALIA,ESP,165,80,Pop,14,Latin Pop,0
Festival Estereo Picnic,2023,March,3,Mar 23-26 2023,Ryan Castro,COL,201,43,Latin,25,Reggaeton,0
Festival Estereo Picnic,2023,March,3,Mar 23-26 2023,Bizarrap,ARG,224,34,Hip Hop,22,Trap,2
Festival Estereo Picnic,2023,March,3,Mar 23-26 2023,Melanie Martinez,USA,228,104,Pop,12,Indie Pop,0
Festival Estereo Picnic,2023,March,3,Mar 23-26 2023,Kali Uchis,COL,287,8,R&B,22,Contemporary R&B,1
Festival Estereo Picnic,2023,March,3,Mar 23-26 2023,Cigarettes After Sex,USA,307,137,Pop,16,Indie Pop,0
Festival Estereo Picnic,2022,March,3,Mar 25-27 2022,J Balvin,COL,25,4,Latin,4,Reggaeton,10
Festival Estereo Picnic,2022,March,3,Mar 25-27 2022,Doja Cat,USA,65,36,Pop,34,Mainstream Pop,3
Festival Estereo Picnic,2022,March,3,Mar 25-27 2022,A$AP Rocky,USA,178,27,Hip Hop,26,Contemporary Hip Hop,8
Festival Estereo Picnic,2022,March,3,Mar 25-27 2022,Martin Garrix,NLD,243,9,Electronic,10,Dance,22
Festival Estereo Picnic,2022,March,3,Mar 25-27 2022,Machine Gun Kelly,USA,467,86,Hip Hop,66,Contemporary Hip Hop,0
Festival Estereo Picnic,2022,March,3,Mar 25-27 2022,The Strokes,USA,731,65,Rock,7,Indie Rock,2
Festival Estereo Picnic,2022,March,3,Mar 25-27 2022,Binomio de Oro de America,COL,753,139,Latin,24,Other Latin Music,0
Festival Estereo Picnic,2022,March,3,Mar 25-27 2022,Pabllo Vittar,BRA,930,357,Pop,91,Latin Pop,2
Festival Estereo Picnic,2022,March,3,Mar 25-27 2022,LP,USA,1007,93,Rock,19,Indie Rock,0
Festival Estereo Picnic,2022,March,3,Mar 25-27 2022,MARINA,GBR,1206,445,Pop,72,Indie Pop,12
Festival Estereo Picnic,2019,April,4,Apr 05-07 2019,Kendrick Lamar,USA,49,5,Hip Hop,6,Contemporary Hip Hop,3
Festival Estereo Picnic,2019,April,4,Apr 05-07 2019,Sam Smith,GBR,127,62,Pop,51,Mainstream Pop,1
Festival Estereo Picnic,2019,April,4,Apr 05-07 2019,Arctic Monkeys,GBR,134,11,Rock,1,Indie Rock,0
Festival Estereo Picnic,2019,April,4,Apr 05-07 2019,Twenty One Pilots,USA,137,68,Pop,7,Indie Pop,2
Festival Estereo Picnic,2019,April,4,Apr 05-07 2019,Tiësto,NLD,290,12,Electronic,13,Dance,25
