Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Viberate_Rank_Overall,Viberate_Rank_Genre,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M,Notes
Graspop Metal Meeting,2022,June,6,"Jun 16-19",The Offspring,USA,510,3,2,Punk,Punk Rock,5 Festivals,
Graspop Metal Meeting,2022,June,6,"Jun 16-19",Skillet,USA,592,52,32,Rock,Alternative Rock,11 Festivals,
Graspop Metal Meeting,2022,June,6,"Jun 16-19",Iron Maiden,GBR,710,13,7,Metal,Heavy Metal,3 Festivals,
Graspop Metal Meeting,2022,June,6,"Jun 16-19",Foreigner,USA,893,81,56,Rock,Pop Rock,3 Festivals,
Graspop Metal Meeting,2022,June,6,"Jun 16-19",Five Finger Death Punch,USA,1051,16,2,Metal,Groove Metal,5 Festivals,
Graspop Metal Meeting,2022,June,6,"Jun 16-19",Shinedown,USA,1326,125,62,Rock,Alternative Rock,5 Festivals,
Graspop Metal Meeting,2020,June,6,"Jun (cancelled)",Aerosmith,USA,316,22,9,Rock,Hard Rock,0 Festival,COVID-19 cancellation
Graspop Metal Meeting,2020,June,6,"Jun (cancelled)",Deftones,USA,438,6,5,Metal,Alternative Metal,21 Festivals,COVID-19 cancellation
Graspop Metal Meeting,2020,June,6,"Jun (cancelled)",Korn,USA,501,8,6,Metal,Alternative Metal,18 Festivals,COVID-19 cancellation
Graspop Metal Meeting,2020,June,6,"Jun (cancelled)",The Offspring,USA,510,3,2,Punk,Punk Rock,5 Festivals,COVID-19 cancellation
Graspop Metal Meeting,2020,June,6,"Jun (cancelled)",Disturbed,USA,616,58,36,Rock,Alternative Rock,1 Festival,COVID-19 cancellation
Graspop Metal Meeting,2020,June,6,"Jun (cancelled)",Iron Maiden,GBR,710,13,7,Metal,Heavy Metal,3 Festivals,COVID-19 cancellation
Graspop Metal Meeting,2020,June,6,"Jun (cancelled)",Foreigner,USA,893,81,56,Rock,Pop Rock,3 Festivals,COVID-19 cancellation
Graspop Metal Meeting,2020,June,6,"Jun (cancelled)",Babymetal,JPN,1475,20,13,Metal,Alternative Metal,2 Festivals,COVID-19 cancellation
Graspop Metal Meeting,2020,June,6,"Jun (cancelled)",Deep Purple,GBR,1646,148,40,Rock,Hard Rock,0 Festival,COVID-19 cancellation
Graspop Metal Meeting,2020,June,6,"Jun (cancelled)",Motionless In White,USA,1748,24,4,Metal,Metalcore/Deathcore,19 Festivals,COVID-19 cancellation
Graspop Metal Meeting,2019,June,6,"Jun 21-23",Slipknot,USA,295,3,2,Metal,Alternative Metal,15 Festivals,
Graspop Metal Meeting,2019,June,6,"Jun 21-23",KISS,USA,561,46,19,Rock,Hard Rock,3 Festivals,
Graspop Metal Meeting,2019,June,6,"Jun 21-23",Three Days Grace,CAN,593,53,33,Rock,Alternative Rock,7 Festivals,
Graspop Metal Meeting,2019,June,6,"Jun 21-23",Def Leppard,GBR,603,57,21,Rock,Hard Rock,5 Festivals,
Graspop Metal Meeting,2019,June,6,"Jun 21-23",Disturbed,USA,616,58,36,Rock,Alternative Rock,1 Festival,
Graspop Metal Meeting,2019,June,6,"Jun 21-23",Lynyrd Skynyrd,USA,899,83,27,Rock,Hard Rock,5 Festivals,
Graspop Metal Meeting,2019,June,6,"Jun 21-23",Sabaton,SWE,1541,22,1,Metal,Power Metal,1 Festival,
Graspop Metal Meeting,2019,June,6,"Jun 21-23",Stone Temple Pilots,USA,1616,145,69,Rock,Alternative Rock,3 Festivals,
Graspop Metal Meeting,2019,June,6,"Jun 21-23",Rob Zombie,USA,1718,23,11,Metal,Heavy Metal,5 Festivals,
Graspop Metal Meeting,2019,June,6,"Jun 21-23",Godsmack,USA,1837,26,16,Metal,Alternative Metal,2 Festivals,
Graspop Metal Meeting,2018,June,6,"Jun 21-24",Guns N' Roses,USA,104,7,3,Rock,Hard Rock,7 Festivals,
Graspop Metal Meeting,2018,June,6,"Jun 21-24",Avenged Sevenfold,USA,401,5,2,Metal,Heavy Metal,7 Festivals,
Graspop Metal Meeting,2018,June,6,"Jun 21-24",Megadeth,USA,492,7,2,Metal,Thrash Metal,4 Festivals,
Graspop Metal Meeting,2018,June,6,"Jun 21-24",Limp Bizkit,USA,506,9,7,Metal,Alternative Metal,2 Festivals,
Graspop Metal Meeting,2018,June,6,"Jun 21-24",Ozzy Osbourne,GBR,519,10,4,Metal,Heavy Metal,0 Festival,
Graspop Metal Meeting,2018,June,6,"Jun 21-24",Skillet,USA,592,52,32,Rock,Alternative Rock,11 Festivals,
Graspop Metal Meeting,2018,June,6,"Jun 21-24",Iron Maiden,GBR,710,13,7,Metal,Heavy Metal,3 Festivals,
Graspop Metal Meeting,2018,June,6,"Jun 21-24",Marilyn Manson,USA,946,86,52,Rock,Alternative Rock,10 Festivals,
Graspop Metal Meeting,2018,June,6,"Jun 21-24",Ghost,SWE,1245,117,32,Rock,Hard Rock,0 Festival,
Graspop Metal Meeting,2018,June,6,"Jun 21-24",Shinedown,USA,1326,125,62,Rock,Alternative Rock,5 Festivals,
