Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Artist_Country,Viberate_Rank_Overall,Viberate_Rank_Genre,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M
Primavera Sound Barcelona,2023,June,6,"Jun 1-3",Måneskin,ITA,515,39,22,Rock,Alternative Rock,0 Festival
Primavera Sound Barcelona,2022,June,6,"Jun 2-4",Dua Lipa,GBR,37,24,22,Pop,Mainstream Pop,2 Festivals
Primavera Sound Barcelona,2022,June,6,"Jun 2-4",Gorillaz,GBR,111,9,5,Rock,Alternative Rock,1 Festival
Primavera Sound Barcelona,2022,June,6,"Jun 2-4",Tame Impala,AUS,144,13,1,Rock,Psychedelic Rock,1 Festival
Primavera Sound Barcelona,2022,June,6,"Jun 2-4",Megan Thee Stallion,USA,145,21,10,Hip Hop,Alternative Hip Hop,1 Festival
Primavera Sound Barcelona,2022,June,6,"Jun 2-4",PinkPantheress,GBR,178,87,10,Pop,Indie Pop,9 Festivals
Primavera Sound Barcelona,2022,June,6,"Jun 2-4",Kehlani,USA,195,6,17,R&B,Contemporary R&B,2 Festivals
Primavera Sound Barcelona,2022,June,6,"Jun 2-4",Tyler the Creator,USA,207,32,30,Hip Hop,Contemporary Hip Hop,13 Festivals
Primavera Sound Barcelona,2022,June,6,"Jun 2-4",Burna Boy,NGA,226,1,1,African,Afrobeat,4 Festivals
Primavera Sound Barcelona,2022,June,6,"Jun 2-4",Playboi Carti,USA,242,38,24,Hip Hop,Trap,2 Festivals
Primavera Sound Barcelona,2022,June,6,"Jun 2-4",Charli XCX,GBR,245,112,75,Pop,Mainstream Pop,14 Festivals
Primavera Sound Barcelona,2021,June,6,"Jun 2-6",Bad Bunny,PRI,1,1,1,Latin,Reggaeton,0 Festival
Primavera Sound Barcelona,2021,June,6,"Jun 2-6",Doja Cat,USA,61,34,34,Pop,Mainstream Pop,3 Festivals
Primavera Sound Barcelona,2021,June,6,"Jun 2-6",Gorillaz,GBR,111,9,5,Rock,Alternative Rock,1 Festival
Primavera Sound Barcelona,2021,June,6,"Jun 2-6",Tame Impala,AUS,144,13,1,Rock,Psychedelic Rock,1 Festival
Primavera Sound Barcelona,2021,June,6,"Jun 2-6",Kehlani,USA,195,6,17,R&B,Contemporary R&B,2 Festivals
Primavera Sound Barcelona,2021,June,6,"Jun 2-6",Young Thug,USA,203,30,18,Hip Hop,Trap,7 Festivals
Primavera Sound Barcelona,2021,June,6,"Jun 2-6",Tyler the Creator,USA,207,32,30,Hip Hop,Contemporary Hip Hop,13 Festivals
Primavera Sound Barcelona,2021,June,6,"Jun 2-6",Charli XCX,GBR,245,112,75,Pop,Mainstream Pop,14 Festivals
Primavera Sound Barcelona,2021,June,6,"Jun 2-6",Cigarettes After Sex,USA,307,137,15,Pop,Indie Pop,0 Festival
Primavera Sound Barcelona,2021,June,6,"Jun 2-6",Duki,ARG,394,69,32,Hip Hop,Trap,5 Festivals
Primavera Sound Barcelona,2019,June,6,"May 30-Jun 1",J Balvin,COL,25,4,4,Latin,Reggaeton,10 Festivals
Primavera Sound Barcelona,2019,June,6,"May 30-Jun 1",Miley Cyrus,USA,45,28,26,Pop,Mainstream Pop,0 Festival
Primavera Sound Barcelona,2019,June,6,"May 30-Jun 1",Cardi B,USA,58,8,8,Hip Hop,Contemporary Hip Hop,1 Festival
Primavera Sound Barcelona,2019,June,6,"May 30-Jun 1",Future,USA,62,11,2,Hip Hop,Trap,4 Festivals
Primavera Sound Barcelona,2019,June,6,"May 30-Jun 1",Tame Impala,AUS,144,13,1,Rock,Psychedelic Rock,1 Festival
Primavera Sound Barcelona,2019,June,6,"May 30-Jun 1",ROSALÍA,ESP,160,79,13,Pop,Latin Pop,0 Festival
Primavera Sound Barcelona,2019,June,6,"May 30-Jun 1",Charli XCX,GBR,245,112,75,Pop,Mainstream Pop,14 Festivals
Primavera Sound Barcelona,2019,June,6,"May 30-Jun 1",Kali Uchis,COL,284,8,22,R&B,Contemporary R&B,1 Festival
Primavera Sound Barcelona,2019,June,6,"May 30-Jun 1",Clairo,USA,757,294,45,Pop,Indie Pop,6 Festivals
Primavera Sound Barcelona,2019,June,6,"May 30-Jun 1",Carly Rae Jepsen,CAN,921,356,188,Pop,Mainstream Pop,0 Festival
Primavera Sound Barcelona,2018,June,6,"May 31-Jun 2",Bad Bunny,PRI,1,1,1,Latin,Reggaeton,0 Festival
Primavera Sound Barcelona,2018,June,6,"May 31-Jun 2",Arctic Monkeys,GBR,136,11,1,Rock,Indie Rock,0 Festival
Primavera Sound Barcelona,2018,June,6,"May 31-Jun 2",A$AP Rocky,USA,179,27,26,Hip Hop,Contemporary Hip Hop,8 Festivals
Primavera Sound Barcelona,2018,June,6,"May 31-Jun 2",Tyler the Creator,USA,207,32,30,Hip Hop,Contemporary Hip Hop,13 Festivals
Primavera Sound Barcelona,2018,June,6,"May 31-Jun 2",Cigarettes After Sex,USA,307,137,15,Pop,Indie Pop,0 Festival
Primavera Sound Barcelona,2018,June,6,"May 31-Jun 2",Migos,USA,309,51,28,Hip Hop,Trap,0 Festival
Primavera Sound Barcelona,2018,June,6,"May 31-Jun 2",Lorde,NZL,450,187,24,Pop,Indie Pop,8 Festivals
Primavera Sound Barcelona,2018,June,6,"May 31-Jun 2",Bad Gyal,ESP,983,174,72,Latin,Reggaeton,11 Festivals
Primavera Sound Barcelona,2018,June,6,"May 31-Jun 2",Rex Orange County,GBR,1312,480,77,Pop,Indie Pop,0 Festival
Primavera Sound Barcelona,2018,June,6,"May 31-Jun 2",Björk,ISL,1460,539,87,Pop,Indie Pop,0 Festival
