"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"26","Niklas Dee","Germany","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment, Warner Music Group, BMG","8434","2777","264","93270","4143828","1063585568","-24955","4930667","74824252","28438","0","30000","574","50419047","5","308093","18043","483","150498","23230","0","169","110644","2335","0","110","31","11044","44","29212","49063","0","10443","424","37","152","3644","76","6","174","77.46170974536301","1109.9157759359007"
"27","Reinier Zonneveld","Netherlands","Electronic","Big Indie Labels","8544","6456","301","207886","1849649","297122220","135090","2436911","79360959","36240","1","832","20371","20868052","201","355488","20465","21","28766","292","0","488","529049","6869","-77","308691","28","24156","70","144201","31549","66378","14263","344","30","118","467","405","158","7787","266.32339699376524","89365.42907381452"
"28","KI/KI","Netherlands","Electronic","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","8862","7424","926","113435","1621153","84589631","-65065","2107724","54096978","21818","700","29300","44333","2916699","430","57480","16546","837","177140","19822","0","2392","467205","27512","108","49995","N/A","N/A","326","91715","64752","65","13226","324","26","78","3320","22","9","898","64.14578477144619","862.6690837781189"
"29","Lavinia Hope","Germany","Pop","Big Indie Labels, Universal Music Group, Sony Music Entertainment, Warner Music Group","9075","2440","264","86521","5511588","440401856","-191111","6762576","81520780","N/A","N/A","N/A","N/A","N/A","N/A","N/A","59579","0","47500","0","0","1","96795","84","N/A","N/A","1","138","N/A","N/A","N/A","13","21058","491","19","81","N/A","N/A","N/A","N/A","N/A","N/A"
"30","Nico Moreno","France","Electronic","N/A","9278","12403","964","343369","1118276","175090771","94112","1213316","8668570","42138","200","77000","21888","10230466","337","215477","4520","1056","660825","56400","0","8105","944316","195472","590","72335","87","24458","280","150569","9204","128","116830","6","4","6","5232","57","22","2090","42.095329870115215","742.39540715422"
"31","Fantasm","France","Electronic","Big Indie Labels, BMG","9324","15302","1233","271949","1523403","99225521","-48144","1109365","3005647","25866","300","38700","4387","565008","87","22307","3334","1138","700208","71966","0","361","566255","1601","N/A","N/A","95","9391","429","107275","182792","20","N/A","N/A","N/A","N/A","9464","29","15","698","44.46687529179858","190.34963030770126"
"32","BOVSKI","Austria","Electronic","Universal Music Group, Big Indie Labels, BMG, Warner Music Group","9614","7465","439","53556","2718186","142339466","-64595","2625015","19184100","23620","0","25200","64838","13217668","399","151051","8010","559","128462","16857","0","-15","41720","583","N/A","N/A","18","1251","121","19011","69851","378","51155","71","6","11","43313","8","0","0","14.619719389127654","17.84224582101269"
"33","DISHYPE","Colombia","Electronic","N/A","10096","23053","1066","81101","992936","49315669","1630","749208","922966","20993","100","43900","24794","10385017","374","199113","1326","3185","388643","118230","0","608","59710","1105","5194","43367","8","620","19","1163","2416","10","57352","16","1","1","35139","19","0","0","21.929569889987416","35.886490437286675"
"34","Layton Giordani","United States","Electronic","Big Indie Labels, Universal Music Group","10725","8056","2339","146601","1522144","283451624","-31104","2052036","25243732","106793","N/A","N/A","N/A","N/A","N/A","N/A","20204","N/A","N/A","N/A","N/A","964","230270","10261","-20","117915","20","8480","217","71684","45897","60","10987","681","42","141","28","122","85","14510","885.0226080941355","173221.06452610245"
"35","Joris Sava","Germany","Electronic","Sony Music Entertainment","10940","34199","111","39666","163785","70377778","-15544","301938","2785360","9330","1000","224000","934827","147003700","30259","8696746","2613","7236","2234578","607399","0","7623","576322","49067","N/A","N/A","6","1232","N/A","N/A","N/A","0","82372","8","1","4","63322","3","0","0","6.263837935419641","8.327745362647443"
