"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"184","The Williams Fam","United States","Electronic","Big Indie Labels","3688","157849","2827","6063737","25659","246829","2710","1160000","617504751","20532049","400","6657043","2941444","3130942","167","N/A","147567","N/A","N/A","N/A","N/A","N/A"
"185","Loud Luxury","Canada","Electronic","Big Indie Labels, Sony Music Entertainment","3694","1514","718958","3209683292","8110106","73413893","12025","66600","449565452","3023780","5334","1360654","657215","135698","57153","78259","1497","5157","146","44","2944","6332.618327447178"
"186","Gravagerz","Luxembourg","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","3697","2804","105210","457916176","6687698","39204381","6838","70700","131999568","929861","5451","174072","131035","205","2394","395","17796","10364","19","1","27","149.85606186694898"
"187","Robert Miles","United Kingdom","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","3729","2077","322160","1058999914","7665043","72754325","5378","685000","507365537","3467043","N/A","N/A","5432","84546","70506","9570","975","1419","137","13","2535","10053.153622440248"
"188","Boris Brejcha","Germany","Electronic","Big Indie Labels, Sony Music Entertainment","3751","6361","1657437","1089716711","1721652","13307772","5163","1380000","518232173","4832211","2597","354991","1954068","1733185","258916","803959","5653","415","642","168","13462","45466.35241966041"
"189","Snap!","Germany","Electronic","Big Indie Labels, BMG","3754","2724","341898","709124187","6723272","25138092","4916","548000","491696850","3142600","159464","16125","N/A","18136","85938","N/A","385","32602","183","2","148","131.16193952371128"
"190","S3RL","Australia","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group","3769","7003","582568","778747589","4243517","5626894","5061","858000","534658342","7242577","64245","N/A","62969","75178","23970","139345","11189","6410","459","200","4957","966.0093865848371"
"191","Modjo","France","Electronic","Big Indie Labels, Universal Music Group","3784","1801","330297","992984424","11432951","41969769","9165","360000","406960560","3429018","N/A","N/A","N/A","N/A","34811","N/A","1368","3794","47","3","1243","3154.540518747597"
"192","J.Geco","Philippines","Electronic","Sony Music Entertainment","3788","96995","10780","4301527","126727","81612","826","6160000","3034398192","12066998","670229","9","575","29","121","N/A","92052","N/A","N/A","N/A","N/A","N/A"
"193","Basshunter","Sweden","Electronic","Universal Music Group, Warner Music Group","3813","3525","573814","1114949529","4696135","15409248","4202","646000","1518371451","7472265","16996","12523","109863","2334769","347472","17910","3616","113777","15","0","0","7.91447267351752"
"194","Vikkstar","United Kingdom","Electronic","Big Indie Labels, Warner Music Group, Universal Music Group","3836","4424","67936","323599943","4610196","25460366","2247","7560000","2210982999","50093947","27629","894200","69","194275","1960","1918","29814","4793","15","5","197","639.0300336539975"
