"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"387","Brad Arthur","United Kingdom","Pop","Big Indie Labels","48354","48532","11239","22322279","261123","3082154","N/A","N/A","N/A","N/A","23832","55613","3497","N/A","167","416","357015","70042","4","0","0","6.009391404095499"
"388","Kanita","North Macedonia","Pop","Big Indie Labels, Sony Music Entertainment","48571","71117","13573","40021487","102783","537120","34910","46000","43819800","300037","60237","22802","125182","39258","1179","N/A","20218","116599","2","0","0","3.4418966585980284"
"389","Polar Inc.","South Africa","Electronic","Big Indie Labels","48655","22090","25787","96954427","717048","7452704","508015","55","3842","89","258590","N/A","4142","1192","429","2439","48015","28606","39","0","0","90.15907146978375"
"390","Adrian Saguna","Romania","Electronic","Big Indie Labels","48732","115959","2209","2337401","101226","755283","41345","15200","3547251","33622","51144","N/A","30019","24720","13","358","134962","N/A","N/A","N/A","N/A","N/A"
"391","Miguel Migs","United States","Electronic","N/A","48985","48510","82778","104895355","217595","3091513","80475","N/A","N/A","N/A","89077","N/A","28428","79351","13288","53459","8595","3545","611","37","1050","5107.864201998757"
"392","MELON","Netherlands","Electronic","Big Indie Labels, Warner Music Group","49007","14357","93855","1573978190","594073","22360521","54155","26200","9033995","90600","142282","53774","9393","N/A","5793","N/A","37164","N/A","N/A","N/A","N/A","N/A"
"393","Y.V.E. 48","Germany","Electronic","Other Indie / Unsigned","49019","14208","82254","520905811","663244","11976952","80523","N/A","N/A","N/A","225277","19","7512","2113","1800","5282","25621","44845","61","2","14","94.89402094930354"
"394","Phonique","Germany","Electronic","Big Indie Labels, BMG","49029","47571","37465","53266079","257830","1959111","65478","15500","12184471","93893","101398","813","18757","61901","10227","82764","22714","7404","649","27","492","2405.28723317721"
"395","Dj Faya","Mozambique","Electronic","Other Indie / Unsigned","49043","187754","2281","2496855","17090","100632","31987","56000","5582823","55830","25429","20569","255612","413978","2183","1167","275233","N/A","N/A","N/A","N/A","N/A"
"396","Libercio","Ukraine","Electronic","Big Indie Labels","49111","41535","16185","42065136","437798","1330224","47572","13400","12261279","78117","805829","N/A","35","N/A","461","6037","123512","N/A","N/A","N/A","N/A","N/A"
"397","Albert Van Deyk","Mexico","Electronic","N/A","49230","279728","1572","1006317","8296","4331","22316","156000","32749939","22500","87306","9242","1302","4235","108","1009","N/A","N/A","N/A","N/A","N/A","N/A"
"398","phil's ok.","Germany","Electronic","Big Indie Labels, Sony Music Entertainment","49306","26776","1933","38553848","797452","5982875","N/A","N/A","N/A","N/A","388195","183","1921","N/A","6","14","54331","43864","11","0","0","19.576224834287913"
