"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"329","Törr","Czech Republic","Metal","Warner Music Group","176651","230040","12493","3123463","7939","2323","119686","3130","1265529","6808","N/A","N/A","N/A","N/A","548","N/A","107878","N/A","N/A","N/A","N/A","N/A"
"330","Lucifer's Child","Greece","Metal","N/A","176661","233334","12878","1892244","3630","28195","181299","2100","110251","2269","119212","N/A","5982","29678","901","12","150095","N/A","N/A","N/A","N/A","N/A"
"331","Bewitcher","United States","Metal","Sony Music Entertainment","176773","147091","22439","3978541","6866","1156611","249535","974","90546","2457","147666","N/A","15450","11836","934","N/A","127500","N/A","N/A","N/A","N/A","N/A"
"332","Necrofier","United States","Metal","Big Indie Labels","177291","232104","10986","828242","6112","45269","335127","252","9529","426","138044","N/A","14829","8398","453","N/A","231252","N/A","N/A","N/A","N/A","N/A"
"333","NITE","United States","Metal","Big Indie Labels","177462","243235","9867","1252591","4431","15710","147403","1450","28631","1125","245895","N/A","5149","3162","N/A","N/A","63288","N/A","N/A","N/A","N/A","N/A"
"334","Zimorog","Croatia","Metal","Other Indie / Unsigned","177496","560040","962","21190","87","2328","80034","30400","5163140","201156","93712","11435","1691","1890","21","N/A","320820","N/A","N/A","N/A","N/A","N/A"
"335","Seth","France","Metal","Big Indie Labels","177586","205371","19857","2256583","20948","147258","403678","186","19219","197","146999","N/A","9576","16952","5171","N/A","95433","N/A","N/A","N/A","N/A","N/A"
"336","Mystic Circle","Germany","Metal","Big Indie Labels","177898","273345","10329","781866","2085","9054","336837","288","24329","416","65216","1270","30623","27970","851","N/A","114564","N/A","N/A","N/A","N/A","N/A"
"337","Downfall Of Gaia","Germany","Metal","Big Indie Labels","177905","199888","27105","3439458","3863","118226","428587","133","10633","93","209933","N/A","N/A","23298","3483","N/A","133041","N/A","N/A","N/A","N/A","N/A"
"338","Odium","Norway","Metal","Other Indie / Unsigned","178173","235836","9298","617375","3857","22765","160824","1580","748462","12700","147997","N/A","3644","6061","2128","N/A","105602","N/A","N/A","N/A","N/A","N/A"
"339","White Death","Finland","Metal","Other Indie / Unsigned","178433","592288","836","59133","33","2595","70969","25300","4179053","117761","356702","N/A","N/A","8183","4053","N/A","418544","N/A","N/A","N/A","N/A","N/A"
"340","Grave Miasma","United Kingdom","Metal","N/A","178666","245387","18942","992488","1717","18921","147070","2080","116975","3292","142023","N/A","12298","22013","831","N/A","126691","N/A","N/A","N/A","N/A","N/A"
"341","Miserere Luminis","Canada","Metal","Other Indie / Unsigned","178670","217906","5450","375039","13234","75268","N/A","N/A","N/A","N/A","267351","N/A","2254","2541","371","N/A","434191","N/A","N/A","N/A","N/A","N/A"
"342","bluetaguhq","N/A","Metal","Other Indie / Unsigned","178722","187476","3086","12571415","23634","15378","N/A","N/A","N/A","N/A","170679","1950","544","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
