"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"381","Chamber","United States","Metal","Big Indie Labels, BMG","135511","83465","27426","10473001","67408","4061075","N/A","N/A","N/A","N/A","124472","N/A","22984","7854","N/A","N/A","81632","N/A","N/A","N/A","N/A","N/A"
"382","Bodom After Midnight","Finland","Metal","Big Indie Labels","136073","159811","24084","4072716","16815","78935","N/A","N/A","N/A","N/A","79476","N/A","31756","25822","1526","50","101825","N/A","N/A","N/A","N/A","N/A"
"383","Broken Hope","United States","Metal","N/A","136261","167931","34372","4223803","7628","268837","171654","1580","1010724","15090","72088","N/A","20119","159890","7928","N/A","205315","N/A","N/A","N/A","N/A","N/A"
"384","Inhuman Condition","United States","Metal","N/A","136724","144908","20682","4707253","12161","641584","119894","4420","341256","11710","144901","N/A","8856","12122","784","N/A","79034","N/A","N/A","N/A","N/A","N/A"
"385","Memoriam","United Kingdom","Metal","Big Indie Labels","137076","164756","29204","7386602","10810","94105","N/A","N/A","N/A","N/A","125949","N/A","5996","38242","3056","N/A","50143","N/A","N/A","N/A","N/A","N/A"
"386","Aetherian","Greece","Metal","N/A","137920","232898","14224","2111632","3789","42382","83187","24900","5319719","80932","163322","N/A","2949","11240","856","276","167346","N/A","N/A","N/A","N/A","N/A"
"387","Hanging Garden","Finland","Metal","N/A","138729","146930","19548","5467344","36620","927626","328677","N/A","N/A","N/A","262332","N/A","1858","7857","1810","19","40104","N/A","N/A","N/A","N/A","N/A"
"388","Raunchy","Denmark","Punk","Other Indie / Unsigned","138849","127139","23360","19043626","28060","263394","142750","3380","1649602","12778","186384","N/A","2423","19255","2851","N/A","49227","N/A","N/A","N/A","N/A","N/A"
"389","Mayan","Netherlands","Metal","Big Indie Labels","139021","165321","25290","6227575","12011","144534","118460","8370","289950","4635","94484","N/A","10062","76434","512","N/A","130365","N/A","N/A","N/A","N/A","N/A"
"390","Midgard","Ukraine","Metal","Big Indie Labels","139053","247271","4382","1421844","10964","6153","64153","28000","6597324","179796","177941","N/A","12347","2513","529","126","117871","N/A","N/A","N/A","N/A","N/A"
