"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"308","Antipeewee","Germany","Metal","Big Indie Labels","191810","282513","4935","324910","3928","17793","N/A","N/A","N/A","N/A","89474","N/A","2529","10295","254","58","219509","N/A","N/A","N/A","N/A","N/A"
"309","Poison the Preacher","Colombia","Metal","Big Indie Labels","192835","289785","5243","355688","3230","24197","108968","7440","352392","20510","240227","N/A","5798","2776","154","1","158161","N/A","N/A","N/A","N/A","N/A"
"310","Inhuman Nature","United Kingdom","Metal","N/A","192980","217463","8446","1355138","12451","68924","303352","90","4799","146","227741","N/A","6901","4090","243","N/A","121819","N/A","N/A","N/A","N/A","N/A"
"311","Devastation","United States","Metal","Other Indie / Unsigned","193408","199261","21820","1407246","4536","190162","N/A","N/A","N/A","N/A","N/A","N/A","N/A","7117","N/A","N/A","85489","N/A","N/A","N/A","N/A","N/A"
"312","Deathhammer","Norway","Metal","Big Indie Labels","193441","194269","25799","2653899","5680","84516","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","863","N/A","127885","N/A","N/A","N/A","N/A","N/A"
"313","Instinct of Sight","Hong Kong","Metal","Big Indie Labels","194317","241996","8468","2644289","3120","61699","120941","8900","1305478","19132","167267","N/A","12599","8164","46","163","N/A","N/A","N/A","N/A","N/A","N/A"
"314","Owls Woods Graves","Poland","Punk","N/A","194665","231817","9886","1932249","6713","8042","134635","1420","87537","1878","281061","N/A","N/A","7024","220","N/A","400377","N/A","N/A","N/A","N/A","N/A"
"315","Watchtower","United States","Metal","N/A","195159","222883","18702","1045513","3480","64438","562708","32","1547","34","287989","N/A","N/A","10489","1648","10","143826","N/A","N/A","N/A","N/A","N/A"
"316","The Accused","United States","Punk","Other Indie / Unsigned","195610","197784","25318","3826690","5150","120500","570586","15","6186","41","301870","N/A","358","10779","923","N/A","152272","N/A","N/A","N/A","N/A","N/A"
"317","Riffobia","Greece","Metal","Other Indie / Unsigned","195617","357272","3774","252718","1233","11599","90752","6890","273150","6953","394734","N/A","1056","4027","119","22","211824","N/A","N/A","N/A","N/A","N/A"
"318","TarantisT","United States","Rock","Big Indie Labels","195626","295273","648","576897","8560","3358","214838","1590","213835","3043","217090","811","18982","10234","134","223","397672","N/A","N/A","N/A","N/A","N/A"
"319","Hazzerd","Canada","Metal","Other Indie / Unsigned","195742","254508","10533","1494173","3048","54731","273182","1090","48181","1557","249335","N/A","3821","5995","560","N/A","61864","N/A","N/A","N/A","N/A","N/A"
"320","Game Over","Italy","Metal","Other Indie / Unsigned","196066","275547","6494","986232","2238","29642","232665","973","153849","2014","137225","N/A","5741","27415","N/A","N/A","49896","N/A","N/A","N/A","N/A","N/A"
"321","Doomsday","United States","Metal","N/A","196462","164475","14218","3172879","23818","128397","N/A","N/A","N/A","N/A","244859","N/A","9302","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"322","Leeway","United States","Punk","Big Indie Labels","196867","165363","26914","5949681","16610","59172","328677","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1120","N/A","152215","N/A","N/A","N/A","N/A","N/A"
"323","Chris Poland","United States","Metal","Big Indie Labels, Warner Music Group","197188","218545","7332","2125963","19399","69957","N/A","N/A","N/A","N/A","132917","N/A","16268","16847","807","9","141418","N/A","N/A","N/A","N/A","N/A"
"324","Clio Cadence","United States","Rock","N/A","197583","244294","4154","2579285","5319","43224","205821","2230","166019","7585","68666","42101","64074","18628","59","34","N/A","N/A","N/A","N/A","N/A","N/A"
"325","Crippled Fingers","Czech Republic","Metal","N/A","197646","253915","5753","557667","3891","220549","143806","1400","362552","6861","151757","3321","3705","4576","124","537","172605","N/A","N/A","N/A","N/A","N/A"
"326","Sabbat","United Kingdom","Metal","BMG","197760","191053","23520","2692614","7092","122063","328677","N/A","N/A","N/A","N/A","N/A","N/A","N/A","445","N/A","81467","N/A","N/A","N/A","N/A","N/A"
"327","High Command","United States","Metal","Big Indie Labels","198210","180273","15708","2432930","4410","618995","N/A","N/A","N/A","N/A","189268","N/A","11180","4668","696","N/A","154906","N/A","N/A","N/A","N/A","N/A"
"328","Solstice","United States","Metal","Big Indie Labels","198409","222527","12085","1295815","3890","162565","N/A","N/A","N/A","N/A","259966","N/A","2341","9141","N/A","N/A","74228","N/A","N/A","N/A","N/A","N/A"
"329","4arm","United States","Metal","Other Indie / Unsigned","198522","377236","3797","452789","450","8850","111101","10300","2764156","34813","234590","N/A","N/A","19751","364","N/A","72611","N/A","N/A","N/A","N/A","N/A"
"330","Besatt","Poland","Metal","N/A","199244","267988","11916","934258","2650","12676","167039","2230","83307","3841","236411","N/A","N/A","17297","786","N/A","128907","N/A","N/A","N/A","N/A","N/A"
"331","Mekong Delta","Germany","Metal","Other Indie / Unsigned","199353","245313","15441","1531428","3070","67405","380289","161","78221","653","357453","N/A","N/A","6288","1938","29","58784","N/A","N/A","N/A","N/A","N/A"
"332","Divine Chaos","United Kingdom","Metal","Other Indie / Unsigned","199507","314158","3854","494235","6406","27838","115273","2210","411364","6937","145515","677","2840","23999","309","N/A","277807","N/A","N/A","N/A","N/A","N/A"
"333","Kamchatka","Sweden","Metal","N/A","199629","222202","15080","5181196","4016","103195","N/A","N/A","N/A","N/A","270763","N/A","2414","6957","1654","N/A","37028","N/A","N/A","N/A","N/A","N/A"
"334","Gus McArthur","United States","Metal","Other Indie / Unsigned","199751","289275","1209","2028353","3344","21262","70716","39600","14522097","644717","310897","102","1909","4659","87","120","N/A","N/A","N/A","N/A","N/A","N/A"
"335","Cryptosis","Netherlands","Metal","Sony Music Entertainment","199842","243358","11046","1283747","3185","94362","200444","1700","15637","388","195683","N/A","6448","12335","844","N/A","86194","N/A","N/A","N/A","N/A","N/A"
"336","Merciless Death","United States","Metal","Big Indie Labels","200478","169930","25563","1442452","5660","652829","N/A","N/A","N/A","N/A","229220","N/A","N/A","21029","1277","N/A","154120","N/A","N/A","N/A","N/A","N/A"
"337","Thomas Giles","United States","Metal","Big Indie Labels, Sony Music Entertainment","200513","211986","14699","6560427","5096","56970","N/A","N/A","N/A","N/A","96551","N/A","26281","21667","422","153","339595","N/A","N/A","N/A","N/A","N/A"
"338","Crumbsuckers","United States","Punk","N/A","200770","202675","17359","2761213","6354","105254","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8665","615","N/A","130045","N/A","N/A","N/A","N/A","N/A"
"339","Black Fast","United States","Metal","Big Indie Labels","201293","270726","10099","1517533","2606","24756","159273","4720","683131","8502","189400","N/A","3858","26434","855","116","155538","N/A","N/A","N/A","N/A","N/A"
"340","Détente","United States","Metal","N/A","201357","198317","9451","10297818","3573","88975","144431","2000","214735","7088","N/A","N/A","1293","10885","N/A","N/A","89477","N/A","N/A","N/A","N/A","N/A"
"341","Lowest Creature","Sweden","Punk","Big Indie Labels","201603","154687","15513","4446149","16215","631083","N/A","N/A","N/A","N/A","251417","N/A","4821","4753","457","N/A","187742","N/A","N/A","N/A","N/A","N/A"
"342","Joey Belladonna","United States","Metal","Big Indie Labels","202205","316178","2079","4291565","1601","44327","228253","777","132242","2376","58014","167","2376","155170","2866","N/A","413424","N/A","N/A","N/A","N/A","N/A"
