"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 12m","Spotify Followers Total","Spotify Streams 12m","Spotify Streams Total","Spotify Monthly Listeners 12m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 12m","YouTube Subscribers Total","YouTube Views 12m","YouTube Views Total","YouTube Likes 12m","YouTube Likes Total","Social Rank","TikTok Followers 12m","TikTok Followers Total","TikTok Likes 12m","TikTok Views 12m","Instagram Followers 12m","Instagram Followers Total","Instagram Likes 12m","Facebook Followers 12m","Facebook Followers Total","Deezer Fans 12m","Deezer Fans Total","SoundCloud Followers 12m","SoundCloud Followers Total","SoundCloud Plays 12m","Shazam Shazams 12m","Radio Airplay Rank","Radio Airplay Spins 12m","Radio Airplay Countries with Spins 12m","Radio Airplay Stations with Spins 12m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 12m","Beatport Track Performance Points Total"
"46","Wolfheart","Finland","Metal","Big Indie Labels","59525","98367","5075","68768","2193641","25313212","-7062","30713","236780","46008","1100","75600","776566","22364393","4754","287428","78109","N/A","N/A","N/A","N/A","1707","33737","4584","-1774","101341","898","9874","N/A","N/A","N/A","64","44989","3320","27","79","N/A","N/A","N/A","N/A","N/A","N/A"
"47","Witch Club Satan","Norway","Metal","Other Indie / Unsigned","59894","84801","20140","34410","1534670","2482155","13406","29965","2749978","65359","7420","13400","519850","840812","14943","25424","27409","N/A","N/A","N/A","N/A","54217","102675","208360","18997","30607","1062","1318","N/A","N/A","N/A","43","231368","113","10","17","N/A","N/A","N/A","N/A","N/A","N/A"
"48","Carach Angren","Netherlands","Metal","Big Indie Labels","62516","84060","9245","118597","3534082","31893085","-3550","41098","317758","72055","700","11100","551714","12368892","6894","204197","52828","283","547","287","3672","1551","82840","1804","-3031","196335","1495","20265","4","336","397","87","45513","3208","20","48","N/A","N/A","N/A","N/A","N/A","N/A"
"49","Chthonic","Taiwan","Metal","Big Indie Labels","63102","123998","4670","60507","5109717","21351359","-19540","22446","125554","43328","5900","96800","2107905","37551057","28255","415752","40781","N/A","N/A","N/A","N/A","2024","28729","15042","-3719","300425","379","5811","N/A","N/A","N/A","71","96759","963","10","19","N/A","N/A","N/A","N/A","N/A","N/A"
"50","Harakiri For The Sky","Austria","Metal","Big Indie Labels","63163","57799","12586","128100","6070880","46424992","-30566","81807","2403891","101638","N/A","N/A","N/A","N/A","N/A","N/A","50736","N/A","N/A","N/A","N/A","5892","38035","34347","1517","56937","2768","14942","N/A","N/A","N/A","315","32535","5313","21","58","N/A","N/A","N/A","N/A","N/A","N/A"
"51","Tryglav","Croatia","Metal","N/A","64563","151962","4185","20595","1085424","3687239","3602","24169","110883","32074","14000","132000","2854603","21647327","93394","840116","170870","N/A","N/A","N/A","N/A","2726","13212","1230","373","5145","273","698","10","37","N/A","51","156081","353","6","10","N/A","N/A","N/A","N/A","N/A","N/A"
"52","200 Stab Wounds","United States","Metal","Big Indie Labels","65543","55825","18963","95253","8014017","27602868","50424","184855","673531","300561","13","611","1757","25309","44","1153","67756","N/A","N/A","N/A","N/A","16371","86267","32979","1004","24742","1174","2534","387","1232","110421","460","87245","1119","13","39","N/A","N/A","N/A","N/A","N/A","N/A"
"53","Summoning","Austria","Metal","Big Indie Labels","67341","70002","18499","143083","4742910","37801786","4461","56894","459842","192537","N/A","N/A","N/A","N/A","N/A","N/A","85472","N/A","N/A","N/A","N/A","0","24133","0","-1685","98122","2545","23936","192","1235","9191","239","69628","1667","16","36","N/A","N/A","N/A","N/A","N/A","N/A"
"54","Vreid","Norway","Metal","Big Indie Labels","67878","126393","5459","41560","1110440","9219322","33871","47388","272097","64986","1480","4700","855762","1870871","3566","24129","115042","N/A","N/A","N/A","N/A","1530","10499","3039","44","46149","564","3917","N/A","N/A","N/A","18","56434","2344","15","32","N/A","N/A","N/A","N/A","N/A","N/A"
"55","Goatwhore","United States","Metal","Big Indie Labels","68905","95540","6188","93640","1546838","18305113","-10150","26471","696466","86888","1000","11900","133544","5105566","2007","60358","49558","N/A","N/A","N/A","N/A","-205","99826","921","-5000","225729","588","8603","10","28998","14268","110","56741","2309","17","60","N/A","N/A","N/A","N/A","N/A","N/A"
"56","Anaal Nathrakh","United Kingdom","Metal","Big Indie Labels","69491","65943","7217","125556","3725743","52140702","-17595","58048","1060545","93283","280","5450","309795","6179652","3543","106003","73254","N/A","N/A","N/A","N/A","986","22684","155","-3084","146847","1364","16780","N/A","N/A","N/A","103","52638","2605","18","44","N/A","N/A","N/A","N/A","N/A","N/A"
"57","1349","Norway","Metal","Big Indie Labels","70356","91714","8276","150565","1396379","14915337","-6144","21258","257695","102013","740","2300","80653","2012721","1344","40424","44429","N/A","N/A","N/A","N/A","4453","105110","16503","-4438","298863","1147","11240","N/A","N/A","N/A","191","55100","2443","21","55","N/A","N/A","N/A","N/A","N/A","N/A"
"58","Ihsahn","Norway","Metal","Universal Music Group, Big Indie Labels, Sony Music Entertainment","71582","72243","4170","122881","2404847","39122651","-19381","46616","1501129","120397","0","3","138005","4301624","1867","80326","52572","N/A","N/A","N/A","N/A","3436","89494","47557","-4204","168757","1408","11411","N/A","N/A","N/A","88","44404","3407","27","67","N/A","N/A","N/A","N/A","N/A","N/A"
"59","Wolves In The Throne Room","United States","Metal","Sony Music Entertainment, Big Indie Labels","72942","86052","6642","123782","1423531","19118094","-11184","26974","945334","74362","1900","26700","251047","4229896","4216","84230","70064","N/A","N/A","N/A","N/A","4681","56044","5346","-1814","107022","0","9454","32","1605","1433","64","76680","1424","19","53","N/A","N/A","N/A","N/A","N/A","N/A"
"60","Melechesh","Netherlands","Metal","Big Indie Labels","73583","103849","5496","59393","1944581","14371269","191","49419","251884","83610","1490","9310","68826","4176037","1206","44913","63763","N/A","N/A","N/A","N/A","3218","10655","6234","-1876","107360","799","11027","N/A","N/A","N/A","64","57677","2251","16","41","N/A","N/A","N/A","N/A","N/A","N/A"
"61","Borknagar","Norway","Metal","Sony Music Entertainment","73792","79565","6259","112016","2338651","29379835","-4482","41106","979298","95665","90","1920","331150","6367940","2661","86391","66994","N/A","N/A","N/A","N/A","1686","37269","775","-3059","164383","1478","17617","N/A","N/A","N/A","132","36340","4659","26","78","N/A","N/A","N/A","N/A","N/A","N/A"
"62","1914","Ukraine","Metal","Big Indie Labels","73837","95530","13292","78106","3107007","14186169","7724","39983","232237","62241","4500","17500","60978","448621","1463","14445","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1655","7589","N/A","N/A","N/A","85","89926","1041","19","37","N/A","N/A","N/A","N/A","N/A","N/A"
"63","Yoth Iria","Greece","Metal","Big Indie Labels","74396","122238","7070","25774","1999740","5635206","49308","73978","75647","75946","2450","7030","72807","282659","1468","9843","122180","N/A","N/A","N/A","N/A","-897","15175","3308","637","33974","344","1218","N/A","N/A","N/A","47","190973","198","13","25","N/A","N/A","N/A","N/A","N/A","N/A"
"64","Rolo Tomassi","United Kingdom","Metal","Big Indie Labels","75429","88996","8386","76710","2788550","21556562","-5735","42399","878827","77471","1800","17300","178645","3135459","3791","50830","80667","198","1196","253","3755","3723","37934","2264","-628","48066","1009","6865","-12","22212","461","308","110737","729","10","31","N/A","N/A","N/A","N/A","N/A","N/A"
"65","Ellende","Austria","Metal","Big Indie Labels","75644","117214","7865","48777","1894034","9364472","-204","24837","252426","83053","1380","8780","121178","2006163","2150","45332","96344","N/A","N/A","N/A","N/A","4017","16909","2694","1895","29231","895","3397","66","617","13247","35","121010","609","14","30","N/A","N/A","N/A","N/A","N/A","N/A"
"66","Impaled Nazarene","Finland","Metal","Other Indie / Unsigned","76426","88195","8009","99919","2873202","24606708","-4991","44239","205958","158250","32","303","51457","1276652","1062","23910","95680","N/A","N/A","N/A","N/A","3077","25674","1484","-534","64020","902","13791","N/A","N/A","N/A","51","43409","3481","17","39","N/A","N/A","N/A","N/A","N/A","N/A"
"67","Agriculture","United States","Metal","Other Indie / Unsigned","77173","92897","18966","36374","3188372","5390085","22169","38100","737760","275434","70","420","4029","25421","127","767","110339","0","303","0","0","19439","35334","6069","1504","2625","1547","1862","N/A","N/A","N/A","17","150405","359","20","50","N/A","N/A","N/A","N/A","N/A","N/A"
"68","Bethlehem","Germany","Metal","N/A","77804","93056","15496","91264","2807314","14112813","-2623","35718","334155","93781","1220","8010","250526","1608737","5011","35846","106509","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-2281","99345","1014","8753","271","900","40771","113","112961","676","9","28","N/A","N/A","N/A","N/A","N/A","N/A"
"69","Belchior","United States","Metal","N/A","78593","754891","N/A","N/A","0","0","0","1","N/A","460082","-1","132","169","12001","4","307","265490","N/A","N/A","N/A","N/A","N/A","N/A","N/A","749","3570","N/A","N/A","N/A","N/A","N/A","N/A","2367","144159","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"70","Månegarm","Sweden","Metal","Big Indie Labels","79202","95070","4779","79823","3326180","30358929","-5649","33958","415890","69845","2000","13400","341760","11867517","3312","131558","101634","N/A","N/A","N/A","N/A","2274","12454","4372","231","70844","1018","12699","28","289","2819","82","36113","4680","19","51","N/A","N/A","N/A","N/A","N/A","N/A"
