"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"14","Soulfly","United States","Metal","Big Indie Labels","12153","14687","1298","834711","596569","225054367","-2559","626854","7301834","17022","0","191000","233623","149005353","2287","1339368","13107","34","15321","53","0","446","251128","1635","-96","963455","190","204931","N/A","N/A","N/A","1","7471","716","26","105","N/A","N/A","N/A","N/A","N/A","N/A"
"15","Sodom","Germany","Metal","Big Indie Labels, BMG","18548","26105","836","563092","364493","147527408","-10258","266310","1377446","29840","0","74500","28260","29097035","285","376023","28040","N/A","N/A","N/A","N/A","-41","171811","230","0","803540","96","136983","N/A","N/A","N/A","3","7151","791","28","109","N/A","N/A","N/A","N/A","N/A","N/A"
"16","Miss May I","United States","Metal","Other Indie / Unsigned","21624","18072","474","541617","424695","303311578","-15749","436164","4810765","36372","0","44300","34252","83847609","241","708814","21178","12","12964","1","0","-4","171920","318","0","1172132","38","86028","10","5071","2755","10","20622","162","11","32","N/A","N/A","N/A","N/A","N/A","N/A"
"17","Sylosis","United Kingdom","Metal","Big Indie Labels","22868","30653","606","183487","459251","109873949","-29898","350873","5612582","36625","100","50100","13109","15637225","182","257151","47815","24","3651","23","0","554","79642","1831","89","124566","42","19282","N/A","N/A","N/A","0","35697","168","20","36","N/A","N/A","N/A","N/A","N/A","N/A"
"18","Overkill","United States","Metal","Big Indie Labels","22929","26754","769","628838","230356","110726268","-1996","197729","3219833","60556","N/A","N/A","N/A","N/A","N/A","N/A","25407","N/A","N/A","N/A","N/A","163","182354","1364","-85","621419","76","111224","N/A","N/A","N/A","16","5711","1047","38","153","N/A","N/A","N/A","N/A","N/A","N/A"
"19","Gwar","United States","Metal","Other Indie / Unsigned","23133","41185","446","269198","248542","103853343","-288","146998","1246476","30025","0","94000","15772","31471659","169","371930","19053","123","55752","867","0","1188","199390","7740","1179","452491","25","15700","5","3108","2669","0","15807","257","19","69","N/A","N/A","N/A","N/A","N/A","N/A"
"20","Annihilator","Canada","Metal","Big Indie Labels, Warner Music Group","23286","25911","645","446939","278269","111901340","-1367","331645","3331507","38468","200","63800","46407","38259581","560","464696","38407","N/A","N/A","N/A","N/A","189","84019","1241","-221","547461","77","82076","N/A","N/A","N/A","16","7931","660","31","127","59797","N/A","N/A","N/A","N/A","N/A"
"21","Municipal Waste","United States","Metal","Big Indie Labels","24814","25080","510","356512","288166","180186231","-1498","284856","1843385","43323","200","54500","27243","28284386","315","317134","32046","N/A","N/A","N/A","N/A","143","179721","1065","-220","493270","47","51229","N/A","N/A","N/A","0","12042","412","20","43","N/A","N/A","N/A","N/A","N/A","N/A"
"22","Death Angel","United States","Metal","Big Indie Labels, Warner Music Group","25588","33057","573","421791","146771","73854472","-1638","168450","2889293","43071","100","47200","17650","17795920","229","235474","26523","N/A","N/A","N/A","N/A","-17","188486","332","-79","574374","47","56757","N/A","N/A","N/A","15","9145","570","27","105","N/A","N/A","N/A","N/A","N/A","N/A"
"23","Lost Society","Finland","Metal","Big Indie Labels","25809","52987","253","107484","229486","61632878","-27698","205393","612483","33012","600","39500","178142","16926248","4243","266010","22967","88","75213","751","0","217","46493","5564","45","96350","31","14895","N/A","N/A","N/A","3","25471","162","17","37","N/A","N/A","N/A","N/A","N/A","N/A"
