"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Heavenly","2019-08-28","N/A","Pop","N/A","N/A","Cigarettes After Sex","N/A","N/A","N/A","N/A","2423","N/A","N/A","N/A","N/A","139072923.60999998","N/A","N/A","N/A","166340524","563896979","N/A","N/A","N/A","10218477","52921113","N/A","N/A","N/A","7912","N/A","N/A","N/A","N/A","1716610","11884553","N/A","N/A","N/A","14304","916355"
"ceilings","2022-04-08","N/A","Pop","N/A","N/A","Lizzy McAlpine","N/A","N/A","N/A","N/A","2448","N/A","N/A","N/A","N/A","137916054.59","N/A","N/A","N/A","158171620","867698105","N/A","N/A","N/A","12113055","51632895","N/A","N/A","N/A","21857","N/A","N/A","N/A","N/A","765720","4789133","N/A","N/A","N/A","17632","1435926"
"would've been you","2023-11-17","N/A","Pop","N/A","N/A","sombr","N/A","N/A","N/A","N/A","2452","N/A","N/A","N/A","N/A","137656145.42","N/A","N/A","N/A","174118066","262343844","N/A","N/A","N/A","7731011","15337465","N/A","N/A","N/A","413","N/A","N/A","N/A","N/A","1358644","2765846","N/A","N/A","N/A","5074","162089"
"Fuentes de Ortiz","2018-03-02","N/A","Pop","N/A","N/A","Ed Maverick","N/A","N/A","N/A","N/A","2469","N/A","N/A","N/A","N/A","137179080.845","N/A","N/A","N/A","95859257","767203335","N/A","N/A","N/A","72936386","731333813","N/A","N/A","N/A","4868","N/A","N/A","N/A","N/A","11973","103962","N/A","N/A","N/A","5900","1494607"
"anything","2020-09-02","N/A","Pop","N/A","N/A","AdriAnne Lenker","N/A","N/A","N/A","N/A","2482","N/A","N/A","N/A","N/A","136705435.75499997","N/A","N/A","N/A","175865327","376802230","N/A","N/A","N/A","6404449","11922060","N/A","N/A","N/A","1957","N/A","N/A","N/A","N/A","121108","281167","N/A","N/A","N/A","19211","300873"
"Margaret (feat. Bleachers)","2023-03-24","N/A","Pop","N/A","N/A","Lana Del Rey, Bleachers","N/A","N/A","N/A","N/A","2496","N/A","N/A","N/A","N/A","136207222.98","N/A","N/A","N/A","169696371","456065172","N/A","N/A","N/A","9521037","26864392","N/A","N/A","N/A","252","N/A","N/A","N/A","N/A","64549","189629","N/A","N/A","N/A","22500","1128477"
"Red Wine Supernova","2023-05-17","N/A","Pop","N/A","N/A","Chappell Roan","N/A","N/A","N/A","N/A","2499","N/A","N/A","N/A","N/A","135998768.97000003","N/A","N/A","N/A","165797413","614165251","N/A","N/A","N/A","6751671","34502926","N/A","N/A","N/A","12859","N/A","N/A","N/A","N/A","298944","1266242","N/A","N/A","N/A","17781","324586"
"I Follow Rivers","2011-01-01","N/A","Pop","N/A","N/A","Lykke Li","N/A","N/A","N/A","N/A","2534","N/A","N/A","N/A","N/A","134784604.525","N/A","N/A","N/A","979123","2534379","N/A","N/A","N/A","79824480","1010094599","N/A","N/A","N/A","176766","N/A","N/A","N/A","N/A","549419","8713124","N/A","N/A","N/A","N/A","N/A"
"What Was That","2025-04-24","N/A","Pop","N/A","N/A","Lorde","N/A","N/A","N/A","N/A","2555","N/A","N/A","N/A","N/A","133561354.555","N/A","N/A","N/A","124705853","153877653","N/A","N/A","N/A","5612019","9859959","N/A","N/A","N/A","130727","N/A","N/A","N/A","N/A","256217","268080","N/A","N/A","N/A","N/A","N/A"
"Beso","2016-10-14","N/A","Pop","N/A","N/A","Jósean Log","N/A","N/A","N/A","N/A","2575","N/A","N/A","N/A","N/A","132955479.33","N/A","N/A","N/A","127201621","380436438","N/A","N/A","N/A","41722790","165313320","N/A","N/A","N/A","1185","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2875","444158"
"Video Killed The Radio Star","1980-01-10","N/A","Pop","N/A","N/A","The Buggles","N/A","N/A","N/A","N/A","2604","N/A","N/A","N/A","N/A","131889768.10999998","N/A","N/A","N/A","5640593","80399004","N/A","N/A","N/A","17157114","120512402","N/A","N/A","N/A","220564","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8404","5680169"
"Sa Bawat Sandali","2024-12-06","N/A","Pop","N/A","N/A","Amiel Sol","N/A","N/A","N/A","N/A","2615","N/A","N/A","N/A","N/A","131399581.07999998","N/A","N/A","N/A","125910964","180291743","N/A","N/A","N/A","57337401","81330730","N/A","N/A","N/A","13580","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lovers","2017-05-31","N/A","Pop","N/A","N/A","Anna Of The North","N/A","N/A","N/A","N/A","2633","N/A","N/A","N/A","N/A","130666329.00000001","N/A","N/A","N/A","150426904","328828137","N/A","N/A","N/A","18464842","47212435","N/A","N/A","N/A","11","N/A","N/A","N/A","N/A","1889975","4294116","N/A","N/A","N/A","N/A","N/A"
"Kasih Aba Aba","2025-04-28","N/A","Pop","N/A","N/A","Naykilla, Tenxi, Jemsii","N/A","N/A","N/A","N/A","2647","N/A","N/A","N/A","N/A","130339830.60000001","N/A","N/A","N/A","174327207","189843051","N/A","N/A","N/A","57200","58239","N/A","N/A","N/A","1940","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Rush","2023-07-13","N/A","Pop","N/A","N/A","Troye Sivan","N/A","N/A","N/A","N/A","2648","N/A","N/A","N/A","N/A","130284823.21000001","N/A","N/A","N/A","125875232","556692469","N/A","N/A","N/A","14546177","64165947","N/A","N/A","N/A","72556","N/A","N/A","N/A","N/A","376653","1687405","N/A","N/A","N/A","5403","1616762"
"Some Nights","2012-02-14","N/A","Pop","N/A","N/A","FUN.","N/A","N/A","N/A","N/A","2658","N/A","N/A","N/A","N/A","129925403.00999999","N/A","N/A","N/A","132159705","811905916","N/A","N/A","N/A","8531453","279109460","N/A","N/A","N/A","86438","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Scott Street","2017-09-22","N/A","Pop","N/A","N/A","Phoebe Bridgers","N/A","N/A","N/A","N/A","2668","N/A","N/A","N/A","N/A","129565268.11","N/A","N/A","N/A","163812125","575413648","N/A","N/A","N/A","5818733","15231115","N/A","N/A","N/A","845","N/A","N/A","N/A","N/A","576896","2015949","N/A","N/A","N/A","16098","1461961"
"90210 (feat. Kacy Hill)","2015-09-04","N/A","Hip Hop","N/A","N/A","Travis Scott, Kacy Hill","N/A","N/A","N/A","N/A","2674","N/A","N/A","N/A","N/A","129359470.55000001","N/A","N/A","N/A","168130167","861901601","N/A","N/A","N/A","3727860","70791999","N/A","N/A","N/A","904","N/A","N/A","N/A","N/A","433306","2886266","N/A","N/A","N/A","8954","813214"
"Mystery of Love","2017-12-01","N/A","Pop","N/A","N/A","Sufjan Stevens","N/A","N/A","N/A","N/A","2693","N/A","N/A","N/A","N/A","128885107.27500002","N/A","N/A","N/A","148723693","712237804","N/A","N/A","N/A","13313452","151854458","N/A","N/A","N/A","6116","N/A","N/A","N/A","N/A","24396","154122","N/A","N/A","N/A","N/A","N/A"
"Electric Love","2014-11-10","N/A","Pop","N/A","N/A","BØRNS","N/A","N/A","N/A","N/A","2703","N/A","N/A","N/A","N/A","128711594.98500001","N/A","N/A","N/A","137202482","1343830335","N/A","N/A","N/A","23894783","345639674","N/A","N/A","N/A","13949","N/A","N/A","N/A","N/A","380502","16976054","N/A","N/A","N/A","6469","3926773"
"Brazil","2015-01-01","N/A","Pop","N/A","N/A","Declan McKenna","N/A","N/A","N/A","N/A","2708","N/A","N/A","N/A","N/A","128598753.395","N/A","N/A","N/A","160990295","929355563","N/A","N/A","N/A","5042992","43137997","N/A","N/A","N/A","10030","N/A","N/A","N/A","N/A","288436","1230918","N/A","N/A","N/A","52804","2045870"
"This Side of Paradise","2020-12-11","N/A","Pop","N/A","N/A","Coyote Theory","N/A","N/A","N/A","N/A","2714","N/A","N/A","N/A","N/A","128363152.465","N/A","N/A","N/A","135035837","750879949","N/A","N/A","N/A","31119288","165841345","N/A","N/A","N/A","3258","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3690","2820612"
"do i ever cross your mind","2024-08-30","N/A","Pop","N/A","N/A","sombr","N/A","N/A","N/A","N/A","2720","N/A","N/A","N/A","N/A","128178040.20500003","N/A","N/A","N/A","165797547","221364443","N/A","N/A","N/A","3576009","5955507","N/A","N/A","N/A","309","N/A","N/A","N/A","N/A","1609308","2494662","N/A","N/A","N/A","2913","93010"
"Kembali Pulang","2022-10-28","N/A","Pop","N/A","N/A","Suara Kayu, Feby Putri","N/A","N/A","N/A","N/A","2721","N/A","N/A","N/A","N/A","128164648","N/A","N/A","N/A","170202038","463179373","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1239","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nothing's New","2022-09-23","N/A","Pop","N/A","N/A","Rio Romeo","N/A","N/A","N/A","N/A","2775","N/A","N/A","N/A","N/A","126095316.82499999","N/A","N/A","N/A","144592688","464327739","N/A","N/A","N/A","15956828","49698323","N/A","N/A","N/A","598","N/A","N/A","N/A","N/A","2551525","9005656","N/A","N/A","N/A","19122","1748607"
"Evaluasi","2019-03-22","N/A","Pop","N/A","N/A","Hindia","N/A","N/A","N/A","N/A","2791","N/A","N/A","N/A","N/A","125774431.37499999","N/A","N/A","N/A","150790215","528287412","N/A","N/A","N/A","14609352","68366710","N/A","N/A","N/A","1784","N/A","N/A","N/A","N/A","2366","27728","N/A","N/A","N/A","N/A","N/A"
"Anchor","2015-10-23","N/A","Pop","N/A","N/A","Novo Amor","N/A","N/A","N/A","N/A","2793","N/A","N/A","N/A","N/A","125749773.73999998","N/A","N/A","N/A","141917813","726997530","N/A","N/A","N/A","19765788","79603794","N/A","N/A","N/A","2415","N/A","N/A","N/A","N/A","359665","3344911","N/A","N/A","N/A","30210","1830582"
