"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"ที่ผ่านมาขอบใจจริงๆ","2025-03-27","N/A","Pop","N/A","N/A","LITTLE JOHN","N/A","N/A","N/A","N/A","23732","N/A","N/A","N/A","N/A","23281266.559999995","N/A","N/A","N/A","30884513","33636798","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","244","279","N/A","N/A","N/A","N/A","N/A"
"Rizz","2025-11-05","N/A","Pop","N/A","N/A","XLOV","N/A","N/A","N/A","N/A","25010","N/A","N/A","N/A","N/A","22202657.295","N/A","N/A","N/A","14189550","15046118","N/A","N/A","N/A","9851693","13440857","N/A","N/A","N/A","104","N/A","N/A","N/A","N/A","147415","161356","N/A","N/A","N/A","N/A","N/A"
"ใจบาง","2025-08-26","N/A","Pop","N/A","N/A","LUMMUN","N/A","N/A","N/A","N/A","25102","N/A","N/A","N/A","N/A","22133907.479999997","N/A","N/A","N/A","4560821","4609657","N/A","N/A","N/A","17502676","17987751","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Baawra","2024-08-09","N/A","Pop","N/A","N/A","Tanishka Bahl, Geet, Akash Rajput","N/A","N/A","N/A","N/A","25828","N/A","N/A","N/A","N/A","21579637.064999998","N/A","N/A","N/A","28686073","38252646","N/A","N/A","N/A","463744","1249710","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","208","7796"
"Saucin'","2025-12-22","N/A","Pop","N/A","N/A","LNGSHOT","N/A","N/A","N/A","N/A","26303","N/A","N/A","N/A","N/A","21205264.73","N/A","N/A","N/A","15860096","20106646","N/A","N/A","N/A","5012946","7662306","N/A","N/A","N/A","42","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mera Hua (From "Ek Deewane Ki Deewaniyat") (Original Motion Picture Soundtrack)","2025-10-03","N/A","Pop","N/A","N/A","Annkur R Pathakk, Sachin Urmtosh","N/A","N/A","N/A","N/A","29931","N/A","N/A","N/A","N/A","18872199.6","N/A","N/A","N/A","24135810","26506397","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","50","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"BF","2025-06-11","N/A","Pop","N/A","N/A","YULEE","N/A","N/A","N/A","N/A","30006","N/A","N/A","N/A","N/A","18825925.6","N/A","N/A","N/A","824045","860982","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","61220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Dancing with my phone","2021-11-23","N/A","Pop","N/A","N/A","HYBS","N/A","N/A","N/A","N/A","30462","N/A","N/A","N/A","N/A","18568513.229999997","N/A","N/A","N/A","18430541","95012538","N/A","N/A","N/A","5072377","17947871","N/A","N/A","N/A","870","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Dard","2023-10-10","N/A","Pop","N/A","N/A","SHOWKIDD, Akash Rajput","N/A","N/A","N/A","N/A","30876","N/A","N/A","N/A","N/A","18352541.2","N/A","N/A","N/A","24185910","45915488","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"FaceTime","2026-01-13","N/A","Pop","N/A","N/A","LNGSHOT","N/A","N/A","N/A","N/A","30903","N/A","N/A","N/A","N/A","18340776.060000002","N/A","N/A","N/A","15057568","16314801","N/A","N/A","N/A","3234864","6164666","N/A","N/A","N/A","36","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Theater","2025-12-22","N/A","Pop","N/A","N/A","King & Prince","N/A","N/A","N/A","N/A","32663","N/A","N/A","N/A","N/A","17439364.799999997","N/A","N/A","N/A","18732326","20966617","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
