"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"126","BLOK3","Turkey","Pop","Sony Music Entertainment","278","745","76069","7098732","18687172","3201825564","-61781","7667364","10445883","375","10000","1450000","18975449","1788461342","36740","5790361","852","345","495498","4715","0","6436","2575530","78585","N/A","N/A","389","50790","N/A","N/A","N/A","21580","3924","1999","12","61","N/A","N/A","N/A","N/A","N/A","N/A"
"127","SIENNA SPIRO","United Kingdom","Pop","Universal Music Group","279","588","36787","943729","37386330","823876095","165685","28834439","172831637","3040","10000","244000","3533878","79084759","40537","1094841","338","101036","3340188","4417250","0","20678","1056670","140741","N/A","N/A","1053","28391","413","11188","244676","100417","1164","19208","81","1334","N/A","N/A","N/A","N/A","N/A","N/A"
"128","HANA","Japan","Pop","Sony Music Entertainment","281","2888","16340","871700","12573169","460671744","-25612","3414796","8155065","374","20000","2150000","26561714","1402600000","372903","28290894","123","25568","1287331","1795037","0","17755","2549985","179953","N/A","N/A","31","989","N/A","N/A","N/A","0","161911","2","3","3","N/A","N/A","N/A","N/A","N/A","N/A"
"129","EXO","South Korea","Pop","Big Indie Labels","282","1366","7083","10383462","10357693","5129118378","203316","6007394","14942850","652","0","9870000","3264914","5794141248","31948","159487626","32","7832","6675282","327929","0","-592","10942832","678728","-3676","11791408","603","430821","N/A","N/A","N/A","166","2778","2203","37","155","N/A","N/A","N/A","N/A","N/A","N/A"
"130","(G)I-DLE ((여자)아이들)","South Korea","Pop","Big Indie Labels, BMG, Warner Music Group","284","867","18733","11374449","9871359","4559520147","-4911","7073301","20501645","214","0","9640000","14034543","15557442445","163834","269081629","1103","17182","11033170","1235400","0","-6559","13356127","335176","-934","1246565","967","647284","225","94248","25419","466","7804","784","30","96","N/A","N/A","N/A","N/A","N/A","N/A"
"131","Noah Kahan","United States","Pop","Universal Music Group, Warner Music Group","285","247","19407","4963405","67791234","11594519887","19660","30416554","214961472","2368","3000","932000","2117322","582351245","18621","5751957","250","10484","3360420","506270","0","14679","3667963","317794","422","217112","708","167108","288","65961","138928","724","794","16807","89","1464","108403","7","0","0","0.9610703234385823","19.221406468771644"
"132","Morat","Colombia","Pop","Universal Music Group, Warner Music Group, Big Indie Labels","291","415","21500","14479890","37149168","13796273904","-74601","14590905","72283273","136","0","7780000","10617812","8044220900","24448","50665965","1773","-282","3987495","62418","0","-1389","4474069","144053","-130","1682113","491","1088124","N/A","N/A","N/A","360","652","8160","43","842","149836","2","0","0","0.1117966494063885","2.23593298812777"
"133","Chayanne","United States","Pop","Sony Music Entertainment","293","566","13953","9637883","13954767","4709894897","-63762","14767620","79209343","284","10000","6200000","9414973","5908181296","27930","26106463","424","4280","7206004","234688","0","5073","10901980","84753","1467","16133242","336","1723403","16","14291","1439","393","230","18014","56","1725","156125","5","0","0","0.06600511540137738","1.3201023080275476"
"134","Kenshi Yonezu","Japan","Pop","Sony Music Entertainment","295","797","31949","8220138","20764071","3972189828","-25894","10014737","21680751","188","0","8600000","17181082","7297627864","85012","50383017","625","2023","768669","212290","0","657","2311247","980","N/A","N/A","262","62597","N/A","N/A","N/A","626","13074","450","17","47","N/A","N/A","N/A","N/A","N/A","N/A"
"135","Hindia","Indonesia","Pop","Universal Music Group","297","239","241216","15788680","42090500","4444772099","323286","15644215","13833430","1432","0","1050000","9377409","1142436132","21132","4328354","1136","8835","906451","122659","0","12110","1779259","336440","217","15317","100","14023","96","1308","11040","273","8204","718","3","65","N/A","N/A","N/A","N/A","N/A","N/A"
