"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"All I Want for Christmas Is You","1994-10-28","N/A","Pop","N/A","N/A","Mariah Carey","N/A","N/A","N/A","N/A","170","N/A","N/A","N/A","N/A","494946848.82","N/A","N/A","N/A","339280365","2510998400","N/A","N/A","N/A","231800544","1376299383","N/A","N/A","N/A","215916","N/A","N/A","N/A","N/A","238849","1711958","N/A","N/A","N/A","1395","7363087"
"Cruel Summer","2019-08-23","N/A","Pop","N/A","N/A","Taylor Swift","N/A","N/A","N/A","N/A","171","N/A","N/A","N/A","N/A","493399476.67499995","N/A","N/A","N/A","454733856","3281087401","N/A","N/A","N/A","64409112","352550148","N/A","N/A","N/A","362425","N/A","N/A","N/A","N/A","594055","3593678","N/A","N/A","N/A","50557","4251381"
"Another Love","2013-03-08","N/A","Pop","N/A","N/A","Tom Odell","N/A","N/A","N/A","N/A","172","N/A","N/A","N/A","N/A","492612107.61","N/A","N/A","N/A","524861451","3478145321","N/A","N/A","N/A","101727216","1381081444","N/A","N/A","N/A","17680","N/A","N/A","N/A","N/A","369888","2569251","N/A","N/A","N/A","2","21"
"Attention","2018-05-11","N/A","Pop","N/A","N/A","Charlie Puth","N/A","N/A","N/A","N/A","173","N/A","N/A","N/A","N/A","492397150.7750001","N/A","N/A","N/A","404038147","2409675582","N/A","N/A","N/A","216438079","2567574771","N/A","N/A","N/A","240858","N/A","N/A","N/A","N/A","1539744","50833429","N/A","N/A","N/A","52513","17531651"
"Forever Young","1984-01-01","N/A","Pop","N/A","N/A","Alphaville","N/A","N/A","N/A","N/A","175","N/A","N/A","N/A","N/A","492012477.395","N/A","N/A","N/A","71613293","1203461218","N/A","N/A","N/A","141910329","987329624","N/A","N/A","N/A","321110","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hips Don't Lie (feat. Wyclef Jean)","2005-11-28","N/A","Pop","N/A","N/A","Shakira, Wyclef Jean","N/A","N/A","N/A","N/A","177","N/A","N/A","N/A","N/A","490693915.135","N/A","N/A","N/A","314810924","2396632366","N/A","N/A","N/A","288614367","2222088628","N/A","N/A","N/A","206423","N/A","N/A","N/A","N/A","482920","2908735","N/A","N/A","N/A","N/A","N/A"
"Night Changes","2014-11-17","N/A","Pop","N/A","N/A","One Direction","N/A","N/A","N/A","N/A","178","N/A","N/A","N/A","N/A","489838965.93000007","N/A","N/A","N/A","425221978","2505887541","N/A","N/A","N/A","187091984","1655534659","N/A","N/A","N/A","38871","N/A","N/A","N/A","N/A","123725","616841","N/A","N/A","N/A","10535","6580054"
"A Thousand Years","2011-10-18","N/A","Pop","N/A","N/A","Christina Perri","N/A","N/A","N/A","N/A","181","N/A","N/A","N/A","N/A","487848955.17","N/A","N/A","N/A","315007252","2216662016","N/A","N/A","N/A","260239384","3509563449","N/A","N/A","N/A","135752","N/A","N/A","N/A","N/A","367399","500207","N/A","N/A","N/A","N/A","N/A"
"Dancing Queen","1976-01-01","N/A","Pop","N/A","N/A","ABBA","N/A","N/A","N/A","N/A","183","N/A","N/A","N/A","N/A","486248735.47999996","N/A","N/A","N/A","326023455","1932223987","N/A","N/A","N/A","145166390","1220478259","N/A","N/A","N/A","381836","N/A","N/A","N/A","N/A","316127","4410242","N/A","N/A","N/A","N/A","N/A"
"The Door","2023-09-15","N/A","Pop","N/A","N/A","Teddy Swims","N/A","N/A","N/A","N/A","186","N/A","N/A","N/A","N/A","482307903.405","N/A","N/A","N/A","274696067","882451553","N/A","N/A","N/A","181583539","389348632","N/A","N/A","N/A","426028","N/A","N/A","N/A","N/A","1580647","3596876","N/A","N/A","N/A","164620","4601484"
"Stressed Out","2015-04-28","N/A","Pop","N/A","N/A","Twenty One Pilots","N/A","N/A","N/A","N/A","188","N/A","N/A","N/A","N/A","480911291.845","N/A","N/A","N/A","365730318","2963584894","N/A","N/A","N/A","158802524","3765399138","N/A","N/A","N/A","235514","N/A","N/A","N/A","N/A","1858612","7946835","N/A","N/A","N/A","89708","25135160"
"Galinha Pintadinha 4","2014-07-01","N/A","Pop","N/A","N/A","Galinha Pintadinha","N/A","N/A","N/A","N/A","190","N/A","N/A","N/A","N/A","479083497.75499994","N/A","N/A","N/A","1222377","7656871","N/A","N/A","N/A","567197590","6388367222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","55291","1293127","N/A","N/A","N/A","5","5222"
"Let Me Down Slowly","2018-11-16","N/A","Pop","N/A","N/A","Alec Benjamin","N/A","N/A","N/A","N/A","192","N/A","N/A","N/A","N/A","477561431.58000004","N/A","N/A","N/A","480787037","2149488084","N/A","N/A","N/A","144027154","1706757216","N/A","N/A","N/A","76439","N/A","N/A","N/A","N/A","2480922","77471973","N/A","N/A","N/A","14979","13073658"
"When I Was Your Man","2012-12-05","N/A","Pop","N/A","N/A","Bruno Mars","N/A","N/A","N/A","N/A","194","N/A","N/A","N/A","N/A","474957952.155","N/A","N/A","N/A","476607438","3058180652","N/A","N/A","N/A","127820406","2000310224","N/A","N/A","N/A","136967","N/A","N/A","N/A","N/A","386574","2424082","N/A","N/A","N/A","N/A","N/A"
"Seven (feat. Latto) (Clean Ver.)","2023-07-14","N/A","Pop","N/A","N/A","Jungkook (정국), Latto, BTS","N/A","N/A","N/A","N/A","195","N/A","N/A","N/A","N/A","474014317.685","N/A","N/A","N/A","548232748","2833725303","N/A","N/A","N/A","148371797","826450905","N/A","N/A","N/A","48171","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Sports car","2025-01-24","N/A","Pop","N/A","N/A","Tate McRae","N/A","N/A","N/A","N/A","199","N/A","N/A","N/A","N/A","470028975.225","N/A","N/A","N/A","582050575","774249678","N/A","N/A","N/A","43652458","62607646","N/A","N/A","N/A","3951","N/A","N/A","N/A","N/A","388576","489804","N/A","N/A","N/A","259401","680948"
"Seven (feat. Latto) (Explicit Ver.)","2023-07-14","N/A","Pop","N/A","N/A","Jungkook (정국), Latto, BTS","N/A","N/A","N/A","N/A","206","N/A","N/A","N/A","N/A","464404569.09","N/A","N/A","N/A","548232748","2833725303","N/A","N/A","N/A","62401873","324919575","N/A","N/A","N/A","3222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Girls Just Want to Have Fun","1983-10-14","N/A","Pop","N/A","N/A","Cyndi Lauper","N/A","N/A","N/A","N/A","207","N/A","N/A","N/A","N/A","464200924.25","N/A","N/A","N/A","2179416","4161062","N/A","N/A","N/A","151251324","1884281724","N/A","N/A","N/A","521266","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","19279","10157905"
"Apocalypse","2017-03-21","N/A","Pop","N/A","N/A","Cigarettes After Sex","N/A","N/A","N/A","N/A","209","N/A","N/A","N/A","N/A","462097606.66999996","N/A","N/A","N/A","548274834","2333913197","N/A","N/A","N/A","48320478","405489151","N/A","N/A","N/A","13012","N/A","N/A","N/A","N/A","5469540","41548277","N/A","N/A","N/A","126313","6030169"
"12 to 12","2025-07-24","N/A","Pop","N/A","N/A","sombr","N/A","N/A","N/A","N/A","213","N/A","N/A","N/A","N/A","460797221.67999995","N/A","N/A","N/A","517423396","522373257","N/A","N/A","N/A","42581268","44047123","N/A","N/A","N/A","21385","N/A","N/A","N/A","N/A","1772810","1797663","N/A","N/A","N/A","N/A","N/A"
"Cry","2019-10-25","N/A","Pop","N/A","N/A","Cigarettes After Sex","N/A","N/A","N/A","N/A","217","N/A","N/A","N/A","N/A","457889780.00500005","N/A","N/A","N/A","450328540","1286046891","N/A","N/A","N/A","124451049","257533542","N/A","N/A","N/A","757","N/A","N/A","N/A","N/A","6883530","28081924","N/A","N/A","N/A","125737","3041081"
"Levitating (feat. DaBaby)","2020-03-27","N/A","Pop","N/A","N/A","Dua Lipa, DaBaby","N/A","N/A","N/A","N/A","219","N/A","N/A","N/A","N/A","457413563.65000004","N/A","N/A","N/A","250062261","2534748590","N/A","N/A","N/A","141720804","1226158149","N/A","N/A","N/A","470082","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"On The Floor","2011-01-01","N/A","Pop","N/A","N/A","Jennifer Lopez, Pitbull","N/A","N/A","N/A","N/A","220","N/A","N/A","N/A","N/A","457257602.235","N/A","N/A","N/A","229957438","960242879","N/A","N/A","N/A","284672169","3061702430","N/A","N/A","N/A","197430","N/A","N/A","N/A","N/A","612518","1986407","N/A","N/A","N/A","117749","9670745"
"One Dance","2016-05-06","N/A","Pop","N/A","N/A","Drake, Wizkid, Kyla, Kyla","N/A","N/A","N/A","N/A","222","N/A","N/A","N/A","N/A","456334859.37","N/A","N/A","N/A","523949608","4105804848","N/A","N/A","N/A","34465810","490653998","N/A","N/A","N/A","152529","N/A","N/A","N/A","N/A","657835","14056305","N/A","N/A","N/A","N/A","N/A"
