"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"15","Haifa Wehbe","Lebanon","Pop","Universal Music Group","1075","9836","8587","1338735","1045339","138119154","51361","1067080","2233087","1756","0","1810000","4676498","1255024190","12450","5968921","199","2549","1723722","12905","0","2521","14669137","56475","0","13594166","87","199466","N/A","N/A","N/A","179","20035","204","13","22","158186","4","0","0","0.052804092321101906","1.056081846422038"
"16","Ebru Gündeş","Turkey","Pop","Warner Music Group","1112","1904","18917","4468990","12105770","1620543054","-13882","6749965","14262042","1539","0","1330000","5808770","2150623249","13303","7828990","850","9809","365666","163134","0","-1937","8170353","14016","-582","3589347","216","473453","2","5856","1498","764","4826","1212","9","90","N/A","N/A","N/A","N/A","N/A","N/A"
"17","Saad Lamjarred","Morocco","Pop","Big Indie Labels, Sony Music Entertainment","1130","5768","2116","2257881","1714643","585457579","99606","2029380","1798820","640","0","15800000","5444947","5452307555","18111","44491484","1067","9406","1506862","63450","0","6164","15435199","117106","-756","3482451","167","501483","8","42186","12155","222","9281","515","24","43","N/A","N/A","N/A","N/A","N/A","N/A"
"18","Mohamed Hamaki","Egypt","Pop","Sony Music Entertainment","1208","3693","16377","6107886","2511748","433980527","166111","2018045","3258922","1080","0","4470000","7127561","3648735530","15710","19925141","1195","-800","2392855","409","0","-9320","13107398","2159","-1675","13497306","91","1418656","0","4194","56","290","26897","199","14","23","N/A","N/A","N/A","N/A","N/A","N/A"
"19","Rahma Riad","Iraq","Pop","Big Indie Labels, Universal Music Group, Sony Music Entertainment","1265","19476","2999","813935","461740","71007218","54217","464226","1138004","1993","10000","3270000","3515013","1077116541","14118","10636989","109","25356","3187435","400591","0","10062","9331727","379350","3582","5206276","8","21157","3","479","898","24","36012","97","11","14","N/A","N/A","N/A","N/A","N/A","N/A"
"20","Semicenk","Turkey","Pop","Other Indie / Unsigned","1311","1355","20752","6421389","14596792","3560923480","109248","7134688","10201567","2560","1000","290000","2426013","897234489","3112","2958704","1320","-1503","997678","19093","0","-1769","2208182","24549","226","16832","301","103317","N/A","N/A","N/A","4483","2164","3024","11","84","N/A","N/A","N/A","N/A","N/A","N/A"
"21","Dogus","Turkey","Pop","Big Indie Labels","1316","42507","147","100005","258887","50429396","-3900","371701","1313520","1057","-1000","956000","596655","202437405","14744","1635127","1005","-30","1479722","16096","0","-3672","12565857","0","-2494","732150","4","4276","N/A","N/A","N/A","0","33057","111","6","37","N/A","N/A","N/A","N/A","N/A","N/A"
"22","Arash","Sweden","Pop","Universal Music Group, Warner Music Group, Big Indie Labels, Sony Music Entertainment","1347","1163","1092","337142","9426320","1313442989","129387","13483151","88022238","1216","0","3450000","5305603","3131676776","27773","20964000","2403","-161","749238","1231","0","-776","3779561","0","-597","2557436","48","110236","10","15432","8432","4444","2069","2737","74","510","N/A","N/A","N/A","N/A","N/A","N/A"
"23","Angham","Egypt","Pop","Big Indie Labels, Warner Music Group","1561","5273","21297","3553043","3666796","221909708","213421","1670827","3178487","1901","10000","1060000","8064239","1312952381","24518","7701298","2528","9050","1002150","33383","0","15655","6156131","44845","67","4208689","36","696904","25","10482","2603","75","24832","121","11","17","N/A","N/A","N/A","N/A","N/A","N/A"
"24","Hassan Shakosh","Egypt","Pop","Big Indie Labels, Sony Music Entertainment","1677","10241","1417","1983645","1041429","226558487","77913","970255","1685448","1206","10000","8710000","3234849","3458344614","10323","28340735","973","9564","3320474","200941","0","1382","3240083","4092","-1260","6642367","17","317873","11","32769","10111","269","172832","5","3","3","N/A","N/A","N/A","N/A","N/A","N/A"
"25","Yalın","Turkey","Pop","Sony Music Entertainment, Big Indie Labels","1683","2158","17581","2714645","14228884","1794370006","127872","5621735","7065916","3091","0","329000","3600664","1095555214","6919","3914700","1851","1023","269344","105784","0","1505","1359788","59380","-184","914066","102","192998","4","205","342","412","8634","635","9","72","105531","2","0","0","1.1286436783155425","1.7838074803275494"
"26","Hamza Namira","Egypt","Middle Eastern","Sony Music Entertainment, Big Indie Labels, Universal Music Group, Warner Music Group","1737","6797","8198","3425482","1238548","238943730","34399","1245361","2394780","1829","0","5000000","2652537","1707464365","5911","15407345","671","6851","1659910","75817","0","1399","2130440","3091","3713","9965596","40","443246","178","364812","71667","14","23525","183","16","21","N/A","N/A","N/A","N/A","N/A","N/A"
"27","Sertab Erener","Turkey","Pop","Sony Music Entertainment, Big Indie Labels, Warner Music Group","1741","2811","6306","2409009","8131868","1613700325","15446","4776492","15025219","2208","-1000","853000","2846819","854884705","8323","4970550","5301","582","181790","52037","0","1112","851958","12338","0","614452","133","357256","N/A","N/A","N/A","118","6878","833","20","120","N/A","N/A","N/A","N/A","N/A","N/A"
"28","Serdar Ortaç","Turkey","Pop","Big Indie Labels","1778","2834","6815","2498369","8366026","1527147111","56760","4861567","8403811","1144","0","44500","8761026","3108230875","13310","8236267","4480","-193","200069","1332","0","-284","3276773","4274","-141","1010102","209","219855","1","5767","406","131","5900","1007","10","74","155564","1","0","0","0.07015197030892749","1.4030394061785496"
"29","Sami Yusuf","United Kingdom","Religious","N/A","1790","16502","1033","494578","1113425","388693462","-101553","977310","1235623","1913","10000","3900000","4269994","1197807500","40853","12024036","1662","22096","2088389","571762","0","3195","5892772","5022","6075","12330932","57","338618","33","102238","4842","631","16657","263","16","30","N/A","N/A","N/A","N/A","N/A","N/A"
"30","Sıla","Turkey","Middle Eastern","Sony Music Entertainment","1833","3486","3520","2417957","6270476","1133823871","227594","4004789","9440454","1053","0","1350000","3436214","1798629075","6816","4534850","3018","152","67285","1176","0","3038","3459520","150117","-762","3638225","89","896981","N/A","N/A","N/A","74","8698","759","6","68","N/A","N/A","N/A","N/A","N/A","N/A"
"31","Mabel Matiz","Turkey","Pop","Warner Music Group","1897","2010","5913","5541847","6697435","2128284188","119589","4911908","9834720","1671","0","911000","4349685","2661783772","6922","10006547","2053","186","169389","10350","0","-1083","1703147","20887","-309","1617274","136","403389","0","3903","16","530","5872","1179","10","85","N/A","N/A","N/A","N/A","N/A","N/A"
"32","Muslim (مُسلِم)","Egypt","Pop","Universal Music Group, Sony Music Entertainment","1905","4644","10367","4737567","1651871","346370104","76317","989328","1383459","2058","10000","3390000","4126241","1346278147","18169","9471259","2596","8794","3578955","149533","0","-2612","4179204","84","1176","6099295","15","57280","31","213948","14675","0","203649","3","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"33","Houda Bondok (حودة بندق)","Egypt","Pop","Big Indie Labels, Universal Music Group, Sony Music Entertainment","1970","6366","14825","2816955","2564664","197319956","146373","1492673","2612649","1917","0","1620000","6501816","892044218","26834","5602013","2188","16152","4302854","149642","0","N/A","1327272","N/A","6639","3727370","2","77532","63","210996","17474","39","348744","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"34","Hadise","Turkey","Pop","Big Indie Labels","2003","3979","3768","2338222","9585379","1075139904","601957","5042268","13373889","2877","1000","330000","1589516","1659135690","7885","6215695","609","1489","783817","105056","0","-1655","14498098","50532","-227","3872304","67","560681","N/A","N/A","N/A","94","6396","1179","11","90","N/A","N/A","N/A","N/A","N/A","N/A"
"35","Cairokee","Egypt","Rock","N/A","2008","4203","12755","4682356","2324135","531057020","79687","1338005","2660507","2120","0","3740000","3114684","1220191790","11391","10745910","5081","111","329394","300","0","297","1769521","543","-1182","3679041","61","467940","182","296441","24787","408","67933","24","10","11","100440","N/A","N/A","N/A","N/A","N/A"
"36","Yıldız Tilbe","Turkey","Pop","Big Indie Labels, Sony Music Entertainment","2048","2379","18456","4101094","5895501","1335296806","36148","4023410","7269848","2292","0","81400","3886586","2088203619","6665","7476473","3535","N/A","209000","N/A","N/A","1383","2256519","46017","-377","1884762","103","519378","N/A","N/A","N/A","170","5357","1201","7","87","N/A","N/A","N/A","N/A","N/A","N/A"
"37","Reynmen","Turkey","Hip Hop","Big Indie Labels, Universal Music Group","2085","3149","4261","3225195","3491469","1529841662","51146","3503723","6636874","1960","0","6390000","1892412","2285183022","2504","28199241","N/A","-560","1247034","6066","0","-859","6675807","0","N/A","N/A","121","784646","N/A","N/A","N/A","16","5303","1005","15","73","N/A","N/A","N/A","N/A","N/A","N/A"
"38","Zeynep Bastık","Turkey","Pop","Big Indie Labels","2123","3147","2748","2514841","4061723","1433589013","121788","3801722","9981546","1378","0","3020000","5885062","3441428586","8961","16422944","6865","1397","440582","23392","0","-669","2177492","1477","-151","366167","118","665506","N/A","N/A","N/A","898","5537","1023","11","67","69706","N/A","N/A","N/A","N/A","N/A"
