"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"402","Tiziano Ferro","Italy","Pop","Universal Music Group, Big Indie Labels, Sony Music Entertainment","2151","3470","2265438","1871446450","4323513","13949931","1599","1650000","1850862515","8168646","3482","344779","2528518","2910121","415825","N/A","571","135833","19","0","0","5.016388770504683"
"403","La Bouche","Germany","Electronic","Sony Music Entertainment, Big Indie Labels","2156","1643","427606","1214649016","9869769","75253982","2040","650000","808209533","4717258","123397","28146","5942","N/A","72736","N/A","594","365","45","4","886","8018.790092126692"
"404","FutParódias","Brazil","Pop","N/A","2158","63845","239660","8713722","34343","16190","678","11200000","5491747087","176410094","1449","4433664","2219058","2807376","14941","502","N/A","N/A","N/A","N/A","N/A","N/A"
"405","Paul Simon","United States","Rock","Sony Music Entertainment, Big Indie Labels","2178","1228","2617506","3007006391","7892124","103906060","2965","565000","567352829","2994423","9978","26056","210556","1824350","240156","N/A","492","91454","17","0","0","39.656214833439904"
"406","Gym Class Heroes","United States","Hip Hop","Warner Music Group","2194","758","1791604","2970653145","18436602","77298556","3311","196000","1739911240","15316567","15242","132789","82110","2184228","312361","40274","2689","108515","6","1","58","4.725551075535825"
"407","Carlos Baute","Venezuela","Pop","Warner Music Group, Universal Music Group, Big Indie Labels","2198","1847","2124399","1741121396","7694942","42703938","3634","1100000","1751918059","7119495","1403","1842866","1368910","2988912","243711","N/A","1815","N/A","N/A","N/A","N/A","N/A"
"408","Jax Jones","United Kingdom","Electronic","Universal Music Group, Warner Music Group, Sony Music Entertainment, Big Indie Labels, BMG","2202","886","1281858","5567293099","9396272","126756673","1467","1620000","2046923121","13989289","9432","533263","350412","341608","406514","85951","394","855","214","53","3635","21587.751047755537"
"409","Olivia Newton-John","Australia","Pop","Big Indie Labels, Universal Music Group","2208","1313","1876187","2372558587","10809358","76285915","3496","472000","1194118361","8624348","N/A","647932","807596","1550697","209705","N/A","243","166087","1","0","0","0.2640204616055095"
"410","Ryan Lewis","United States","Hip Hop","Other Indie / Unsigned","2213","604","60695","13081124274","9463601","98802115","1330","N/A","N/A","N/A","33543","N/A","316665","N/A","95990","N/A","22131","19887","48","7","1486","337.2859327191643"
"411","Rony Parulian","Indonesia","Pop","Universal Music Group","2217","2520","509126","874916116","5869196","9155895","3348","373000","309658192","1790323","3075","593516","1021065","5552","112","23","12410","N/A","N/A","N/A","N/A","N/A"
"412","AnnenMayKantereit","Germany","Rock","N/A","2220","2349","2235618","2307882463","5031908","17865548","2835","2900000","1354584104","16075264","5077","1988905","1607738","575127","208006","52024","3529","149806","2","0","0","1.9435420630936722"
"413","M. Pokora","France","Pop","Sony Music Entertainment, Universal Music Group, Warner Music Group","2226","8345","961603","522479811","1559747","7042874","2349","1420000","1064045657","4866430","2125","1164658","4003233","2444982","1795939","3049","1850","162894","2","0","0","0.528040923211019"
"414","Jake $ing","United States","Pop","Big Indie Labels, Sony Music Entertainment","2244","180946","4831","1599699","15930","135191","1958","275000","119703942","4869570","1593","270208","538733","283","40","163","302896","136155","1","0","0","2.3486147888403375"
