"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"76","David Bisbal","Spain","Pop","Universal Music Group, Big Indie Labels, Sony Music Entertainment","693","1267","6358","4914999","7757446","3858354609","-43653","7897881","53489627","503","0","3520000","4383769","4648355186","16241","19825517","593","20750","1569968","263739","0","10151","5691955","92302","1315","6407613","172","756753","7","8099","594","537","880","6826","58","1062","N/A","N/A","N/A","N/A","N/A","N/A"
"77","Carlos Rivera","Mexico","Pop","Sony Music Entertainment, Universal Music Group, Warner Music Group","703","1458","5494","5088778","9081901","5009474808","-197503","6784556","56412293","380","0","5720000","6683457","6356849022","17500","28815333","990","21694","5883581","376393","0","-956","9655670","96493","-998","6218973","167","707219","N/A","N/A","N/A","200","1578","4843","37","606","N/A","N/A","N/A","N/A","N/A","N/A"
"78","Mariana Ávila","Venezuela","Pop","Universal Music Group","706","41533","459","508613","60626","17833073","-1286","75075","200032","268","0","20000000","24474255","3833209745","419098","159900439","367","47205","20425864","2327258","0","7802","4957653","37373","-1110","1224316","1","3333","N/A","N/A","N/A","0","214954","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"79","Jenni Rivera","United States","Latin","Sony Music Entertainment, Big Indie Labels","723","1665","14270","5185675","10604723","3045843382","-7603","6203236","14742096","883","10000","4590000","8510242","2154029806","25779","9291931","N/A","11859","3877283","643749","0","-6849","3546336","76714","0","8680213","82","658812","15","13258","11656","25","2438","2918","19","238","N/A","N/A","N/A","N/A","N/A","N/A"
"80","Danna Paola","Mexico","Pop","Universal Music Group, Big Indie Labels, Warner Music Group, Sony Music Entertainment","731","1618","2028","5137575","7378618","4099462572","-365246","6736581","33491453","739","0","5480000","3725995","4119594647","11636","35436304","318","61728","17104497","2164826","0","-27913","31872239","119291","0","7854099","55","762913","0","266","18","79","2151","2729","49","465","31204","10","2","4","12.987519561744751","46.06636328545297"
"81","Ricardo Montaner","Venezuela","Pop","Big Indie Labels, Sony Music Entertainment, Warner Music Group","749","1316","8015","7018347","8046699","2892360262","877","7958365","45115857","737","0","4810000","4818346","3642434470","14282","17937390","970","2839","932092","11616","0","2462","8760076","132799","655","11374118","217","1146667","0","11780","3075","536","361","13506","39","1312","N/A","N/A","N/A","N/A","N/A","N/A"
"82","Ami Rodriguezz","Colombia","Pop","N/A","768","36273","-93","683040","41197","34630308","-613","90237","153749","339","0","32200000","6075328","6472699731","44885","230204508","702","71","13428786","423441","0","-2074","4581928","26645","-249","1739355","0","20729","N/A","N/A","N/A","0","438940","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"83","Leo Dan","Argentina","Pop","Sony Music Entertainment, Big Indie Labels","781","1400","14389","4611391","9306592","2595206349","-177338","8503205","24784407","471","0","3160000","8310761","4398257120","25506","13813597","9591","16","19145","66","0","719","254924","3094","2935","3348617","199","469347","N/A","N/A","N/A","838","432","12986","34","1056","N/A","N/A","N/A","N/A","N/A","N/A"
"84","Gloria Trevi","Mexico","Pop","Universal Music Group, Big Indie Labels, Warner Music Group, Sony Music Entertainment","790","1237","10626","6456556","10211959","3744420232","-91065","8438597","39849916","710","0","4020000","4169075","4022063764","9779","15599138","947","2007","3206390","32254","0","-622","5872840","13673","-242","9205107","204","939202","N/A","N/A","N/A","978","1480","3879","39","624","N/A","N/A","N/A","N/A","N/A","N/A"
"85","Gente De Zona","Cuba","Latin","Universal Music Group, Sony Music Entertainment, Big Indie Labels, Warner Music Group","795","756","3929","1851685","12083874","4933285949","58837","15967115","73484522","235","0","3340000","7724270","9974206139","20278","32964909","6131","510","178914","7560","0","206","2132435","1615","-256","3006877","133","616425","3","10097","2823","308","872","6701","53","759","53174","86","0","0","9.43716313210104","179.1590732057204"
