"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"11","สยาโม","Thailand","Pop","Sony Music Entertainment, Big Indie Labels","10995","93249","330","14186","150828","12959275","17321","124421","105966","11934","3000","288000","815189","86602227","8589","2022716","3147","10257","3888911","555385","0","-165","291982","511","4621","738542","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"12","Shaira Diaz","Philippines","Pop","N/A","11155","754891","0","30","5","4374","2","5","N/A","45317","0","152000","0","2937258","0","102664","1544","-674","4122732","31312","0","-201","1203155","32796","0","8077274","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"13","Zeus","Philippines","Pop","N/A","11180","754891","N/A","N/A","N/A","N/A","N/A","N/A","N/A","83838","0","33300","1980","5666205","1","29403","1798","-267","4433903","94232","0","-682","1288261","2548","8874","2158408","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"14","Desy Huang (黄家美 )","Indonesia","Pop","N/A","13974","754891","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8110","0","700000","0","242734997","0","1537278","8051","190","377496","4232","0","138","254914","1742","425","69452","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"15","Khởi My","Vietnam","Pop","Big Indie Labels","14192","37064","370","188574","593893","64564139","3522","339661","114097","18419","0","827000","20025","113244101","46","1659991","5414","N/A","N/A","N/A","N/A","-494","1650817","0","-4235","10791954","3","778","0","40","27","49","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"16","Elyor Meliboyev","Russian Federation","Pop","Big Indie Labels","15241","121474","473","50297","18213","3281269","236","16707","2434","6683","1000","370000","1271011","173279637","1907","933386","27056","N/A","N/A","N/A","N/A","-342","823459","1202","N/A","N/A","0","16","0","14","64","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"17","Yulduz Turdiyeva","Russian Federation","Pop","Big Indie Labels","15550","129088","416","19842","37536","2086159","1404","31663","5017","5462","0","206000","0","137860078","0","345571","13547","2","5001","4","0","1099","2312527","24961","N/A","N/A","0","62","0","68","291","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"18","LITTLE JOHN","Thailand","Pop","Sony Music Entertainment","15742","9851","3026","180627","2152257","126609043","-51560","1687640","1816033","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","7","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"19","Peenongpor 4","Thailand","Pop","Universal Music Group","16818","754891","0","56","57","38843","0","7","10","13809","4000","340000","1060204","158929035","33570","7558806","3782","305","819297","102004","0","378","120892","6124","0","263112","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"20","Riev Wafa","Malaysia","Pop","Universal Music Group","17593","754891","0","2","405","32210","N/A","N/A","N/A","10304","2000","125000","91885","3085287","1739","126434","67753","4","80980","440","0","447","77283","1989","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","449487","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"21","ส้มโอ Stage Fighter","Thailand","Pop","N/A","19575","144849","19","3574","56377","2783113","357","64881","200","14149","1000","479000","1470775","256932916","2899","944236","15739","286","262699","22540","0","1","2163","55","2092","779765","0","4","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
