"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"131","Cuco","United States","Pop","Warner Music Group, Universal Music Group, Big Indie Labels, Sony Music Entertainment","2001","1660","3417186","3022597891","5451109","27303402","2500","2060000","1150900599","15689036","5357","1172799","1180874","853041","214676","271591","27083","85194","4","0","0","8.363572327403421"
"132","Trúc Nhân","Vietnam","Pop","Big Indie Labels, Universal Music Group, Sony Music Entertainment","2028","18286","1025788","87279249","291917","222640","2335","1940000","1466403814","6344811","1616","837927","451783","1293493","652","5251","N/A","153433","2","0","0","1.7387389192899045"
"133","Capital Cities","United States","Pop","Big Indie Labels, Universal Music Group","2068","1244","1053527","2334930095","10487481","42104130","2327","1560000","1218307013","8840788","22846","5362","120806","1438926","1102707","623153","1058","93740","12","1","7","12.548769802295066"
"134","LATIN MAFIA","Mexico","Pop","Sony Music Entertainment, Universal Music Group, Big Indie Labels","2078","1394","2069128","2485584512","8442592","35201740","4072","696000","339159817","2340893","22901","1136457","760","11055","29930","N/A","26577","N/A","N/A","N/A","N/A","N/A"
"135","4 Non Blondes","United States","Rock","Other Indie / Unsigned","2093","1318","790869","1411449680","11871710","77249525","1552","N/A","N/A","N/A","N/A","N/A","N/A","N/A","141711","516","628","N/A","N/A","N/A","N/A","N/A"
"136","Reneé Rapp","United States","Pop","Universal Music Group","2109","2249","1329447","1535303611","5091754","45284704","6077","448000","123562335","3626681","1518","4092244","3226603","66201","93794","7589","4509","N/A","N/A","N/A","N/A","N/A"
"137","Sufjan Stevens","United States","Pop","Big Indie Labels, Universal Music Group","2114","855","2499942","3969164195","13892967","75063757","10164","332000","290433589","4782813","21243","112218","424422","7756","256776","34877","4587","86913","39","1","8","22.58592229367458"
"138","Loreen","Sweden","Pop","Universal Music Group, Warner Music Group, Big Indie Labels","2135","1598","1228781","1578199554","8271259","64499706","3227","896000","769392827","6051947","4468","1401125","969012","350736","145632","4949","1094","46949","35","1","12","29.119250680644292"
"139","FutParódias","Brazil","Pop","N/A","2158","63845","239660","8713722","34343","16190","678","11200000","5491747087","176410094","1449","4433664","2219058","2807376","14941","502","N/A","N/A","N/A","N/A","N/A","N/A"
"140","NO NA","United States","Pop","Warner Music Group","2161","12873","128702","47184681","1281948","13773332","3930","390000","49455135","1761389","2408","656469","652388","42369","840","548","19215","N/A","N/A","N/A","N/A","N/A"
