"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"68","Michael Kiwanuka","United Kingdom","R&B","Universal Music Group, BMG","2880","2219","1714675","1743782832","5528612","44413285","3115","870000","608562002","4128648","27822","537","304655","294487","213797","1366240","3210","46294","28","2","232","2776.1864203881264"
"69","The Walters","United States","Rock","Warner Music Group","2905","883","1145263","2737765169","13416847","39041826","7338","540000","397843631","3985617","33637","71971","98088","36286","32880","26432","15081","N/A","N/A","N/A","N/A","N/A"
"70","The Bangles","United States","Pop","Big Indie Labels, Sony Music Entertainment","2921","2104","1785730","1219870850","5910133","54199717","3361","587000","629044162","3909462","22568","246","106919","688203","114423","N/A","215","N/A","N/A","N/A","N/A","N/A"
"71","Hotel Ugly","United States","Rock","N/A","2964","711","1216632","3162276927","20194980","24837990","15618","229000","36430790","580637","51133","62337","76400","3234","18550","26600","34059","N/A","N/A","N/A","N/A","N/A"
"72","CaveTown","United Kingdom","Pop","Warner Music Group, Big Indie Labels","2985","1476","4507242","3727326965","4789466","37247730","6299","2260000","623510582","16333966","10292","472757","972987","120417","285941","106663","25880","126052","1","0","0","2.5851090171859847"
"73","for KING & COUNTRY","United States","Rock","Big Indie Labels, Sony Music Entertainment, Warner Music Group","3001","3700","1597025","1674418654","2983049","15739997","4102","1670000","856909474","7903828","3406","653991","1240207","2223039","108783","23388","643","N/A","N/A","N/A","N/A","N/A"
"74","Navjot Ahuja","India","Asian","Other Indie / Unsigned","3045","6722","66929","80096662","8636380","10545943","7791","94600","39173253","666866","108569","N/A","230751","N/A","12","38","246978","N/A","N/A","N/A","N/A","N/A"
"75","Surf Curse","United States","Rock","Big Indie Labels","3052","954","1905270","2549152602","14065447","38944073","7572","701000","309199697","6344842","41720","N/A","239693","71462","74769","16523","11895","N/A","N/A","N/A","N/A","N/A"
"76","Wallows","United States","Rock","Warner Music Group","3091","1376","3050935","3451376881","6964897","43029261","8875","1390000","319456943","8072731","5850","2104616","1780088","702349","204449","70164","6012","N/A","N/A","N/A","N/A","N/A"
"77","Royel Otis","Australia","Pop","Big Indie Labels, Universal Music Group","3095","1707","671955","1315063396","8083250","46604218","16415","176000","33910808","596010","4713","321645","452863","16122","15094","N/A","2045","N/A","N/A","N/A","N/A","N/A"
"78","The Cardigans","Sweden","Rock","Universal Music Group, Sony Music Entertainment","3104","1350","1835537","2050704114","14849331","67337951","8543","1350","439545720","3972623","24029","N/A","97156","255792","230192","N/A","677","N/A","N/A","N/A","N/A","N/A"
"79","Batas Senja","Indonesia","Pop","Universal Music Group","3132","1861","1208277","708647451","9342776","5387504","7452","263000","234781814","644565","26156","124471","36505","N/A","129","1815","15958","N/A","N/A","N/A","N/A","N/A"
"80","Morrissey","United Kingdom","Rock","Warner Music Group, Universal Music Group, Big Indie Labels","3136","5598","1278573","1001731492","2435323","11179735","7098","360000","267844125","1651693","20613","N/A","256534","1413551","262815","N/A","1843","N/A","N/A","N/A","N/A","N/A"
"81","Vacations","Australia","Rock","Big Indie Labels","3276","1265","1617153","2626580184","9079379","24430214","8307","341000","200951888","2875809","27772","240974","168099","40510","77930","61921","19927","N/A","N/A","N/A","N/A","N/A"
"82","Faye Webster","United States","Pop","Big Indie Labels","3278","1451","2395518","2087306607","7514755","36924262","14363","250000","32676728","592968","11487","N/A","1067546","27549","30612","49659","15867","142802","N/A","N/A","N/A","N/A"
"83","The Score","United States","Rock","Other Indie / Unsigned","3295","2372","1580514","2822863584","3917448","19316440","2351","1880000","1362941311","14152562","49140","3860","124488","81603","253135","53887","10239","148001","3","0","0","1.8024864537775764"
"84","Beck","United States","Rock","Universal Music Group, Big Indie Labels, Warner Music Group, Sony Music Entertainment","3411","1979","1781787","2422690321","6648660","84850883","5097","562000","585058614","4317041","7446","N/A","556071","1778204","405852","34987","1444","N/A","N/A","N/A","N/A","N/A"
"85","Seafret","United Kingdom","Rock","Other Indie / Unsigned","3430","1556","1126429","2187030128","7045539","43299710","3745","885000","615092468","7191043","17043","237691","104600","149868","75080","18742","12163","N/A","N/A","N/A","N/A","N/A"
"86","Stereophonics","United Kingdom","Rock","Universal Music Group","3459","2668","1809853","1641196081","5249252","17312878","7513","440000","356067930","2136751","7273","72450","320740","992392","459934","19740","1375","N/A","N/A","N/A","N/A","N/A"
"87","New West","Canada","Pop","Universal Music Group, Big Indie Labels","3501","1203","697830","1845781430","12468036","28691677","6357","398000","270030113","2836951","54500","67503","132917","8513","10094","8410","16577","N/A","N/A","N/A","N/A","N/A"
"88","EKKSTACY","Canada","Pop","Big Indie Labels, Warner Music Group, Sony Music Entertainment","3560","2758","416901","857869780","6550052","31182140","8600","145000","49420332","1148197","19401","71492","129035","5515","8974","45206","14540","N/A","N/A","N/A","N/A","N/A"
"89","American Authors","United States","Rock","Big Indie Labels, Sony Music Entertainment","3586","1579","1681728","2138777752","7352150","70311643","4547","883000","456958423","4391768","11399","41451","114426","484413","410683","38112","2404","77334","13","0","0","19.01814561376056"
