"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Cleopatra","2016-03-25","N/A","Rock","N/A","N/A","The Lumineers","N/A","N/A","N/A","N/A","8924","N/A","N/A","N/A","N/A","53569277.745000005","N/A","N/A","N/A","64494169","508027630","N/A","N/A","N/A","2965905","90197926","N/A","N/A","N/A","7131","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Run Through The Jungle","1970-07-24","N/A","Rock","N/A","N/A","Creedence Clearwater Revival","N/A","N/A","N/A","N/A","9261","N/A","N/A","N/A","N/A","52054516.79","N/A","N/A","N/A","49832346","297534361","N/A","N/A","N/A","7330932","33760706","N/A","N/A","N/A","26539","N/A","N/A","N/A","N/A","102093","137699","N/A","N/A","N/A","N/A","N/A"
"One Of Us","1995-01-01","N/A","Rock","N/A","N/A","Joan Osborne","N/A","N/A","N/A","N/A","9348","N/A","N/A","N/A","N/A","51672238.28500001","N/A","N/A","N/A","28668654","201906358","N/A","N/A","N/A","25105353","237631309","N/A","N/A","N/A","7583","N/A","N/A","N/A","N/A","17325","73527","N/A","N/A","N/A","N/A","N/A"
"Cecilia","1970-01-26","N/A","Rock","N/A","N/A","Simon & Garfunkel","N/A","N/A","N/A","N/A","9391","N/A","N/A","N/A","N/A","51451831.94499999","N/A","N/A","N/A","40218127","476429101","N/A","N/A","N/A","1847808","39483829","N/A","N/A","N/A","66063","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","1036219"
"The Sound of Silence - Reprise","1968-01-21","N/A","Rock","N/A","N/A","Simon & Garfunkel","N/A","N/A","N/A","N/A","9431","N/A","N/A","N/A","N/A","51258595.935","N/A","N/A","N/A","61996273","727488072","N/A","N/A","N/A","38930","1512249","N/A","N/A","N/A","1713","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"One Of Us - Live 1995","2022-03-30","N/A","Rock","N/A","N/A","Joan Osborne","N/A","N/A","N/A","N/A","9490","N/A","N/A","N/A","N/A","50969880","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","168923","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"California Dreamin'","1965-01-01","N/A","Pop","N/A","N/A","Barry McGuire, The Mamas & the Papas","N/A","N/A","N/A","N/A","9512","N/A","N/A","N/A","N/A","50870296.16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2727432","16794708","N/A","N/A","N/A","161309","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","56403"
"I Heard It Through The Grapevine","1970-07-24","N/A","Rock","N/A","N/A","Creedence Clearwater Revival","N/A","N/A","N/A","N/A","9518","N/A","N/A","N/A","N/A","50847860.980000004","N/A","N/A","N/A","10920054","61926358","N/A","N/A","N/A","40679785","139166586","N/A","N/A","N/A","26159","N/A","N/A","N/A","N/A","33755","74403","N/A","N/A","N/A","N/A","N/A"
"Father And Son","1970-11-23","N/A","Rock","N/A","N/A","Yusuf / Cat Stevens","N/A","N/A","N/A","N/A","9581","N/A","N/A","N/A","N/A","50581061.13","N/A","N/A","N/A","46192877","591141175","N/A","N/A","N/A","16211903","123202828","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","28993","241276","N/A","N/A","N/A","0","132305"
"Wild World","1970-11-23","N/A","Rock","N/A","N/A","Yusuf / Cat Stevens","N/A","N/A","N/A","N/A","9752","N/A","N/A","N/A","N/A","49869036.81999999","N/A","N/A","N/A","62264470","868716519","N/A","N/A","N/A","545933","23970165","N/A","N/A","N/A","914","N/A","N/A","N/A","N/A","58135","274109","N/A","N/A","N/A","0","18768"
