"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"232","NX Zero","Brazil","Rock","Big Indie Labels","4694","7969","981711","635664698","1586756","5120920","4331","1010000","512176896","4637795","7514","91900","547275","2773690","795967","N/A","5767","N/A","N/A","N/A","N/A","N/A"
"233","Blue October","United States","Rock","N/A","4696","10166","543206","590384004","1220588","4005555","7413","612000","425723377","3110881","22400","88170","212501","715766","34298","16442","6328","N/A","N/A","N/A","N/A","N/A"
"234","The Stone Roses","United Kingdom","Rock","Sony Music Entertainment","4715","3619","1817332","1194531273","3017410","20872206","9645","243000","212955677","1125478","N/A","N/A","25236","710314","258129","14743","3060","88091","7","2","121","9.010378376652696"
"235","Angine de Poitrine","Canada","Rock","N/A","4720","8467","320087","18913999","1440331","7713416","10587","186000","1407101","49531","357932","N/A","585821","N/A","N/A","1905","98080","N/A","N/A","N/A","N/A","N/A"
"236","The Red Jumpsuit Apparatus","United States","Rock","Big Indie Labels","4729","2559","1594407","1340866413","5011864","26980423","6088","334000","520316717","2714433","11576","222789","150808","1333441","91388","5778","7680","N/A","N/A","N/A","N/A","N/A"
"237","Billy Talent","Canada","Punk","Warner Music Group, Big Indie Labels","4738","3801","1358584","1846987757","2833424","10728936","14150","340000","278797860","1738871","14215","42908","190835","1079575","413684","1448301","2071","N/A","N/A","N/A","N/A","N/A"
"238","Revolt","United States","Rock","N/A","4802","488231","811","306407","125","18652","2509","3310000","1284733966","17937140","1882","2195551","240","1511","3783","7","257200","N/A","N/A","N/A","N/A","N/A"
"239","Beach Bunny","United States","Rock","Big Indie Labels","4805","1675","1943140","2172785599","7727925","19877190","14119","595000","164595357","4291146","23532","358320","266050","53030","66921","48248","12934","50432","33","0","0","60.431599262044685"
"240","Death Cab for Cutie","United States","Rock","Warner Music Group, Big Indie Labels","4827","3119","1642634","1956225551","3749819","56108971","16449","313000","245786353","1827994","16694","N/A","280973","1860143","196640","646713","2330","103093","14","1","9","23.483660895519247"
"241","Peyton Parrish","United States","Rock","Big Indie Labels","4848","8901","967477","726159533","1399133","2243523","5793","1530000","399397683","6448508","3637","5140508","1875427","1975883","48182","8288","21807","N/A","N/A","N/A","N/A","N/A"
