"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Sino","2018-08-06","N/A","Rock","N/A","N/A","Unique Salonga","N/A","N/A","N/A","N/A","3043","N/A","N/A","N/A","N/A","119648163.42999999","N/A","N/A","N/A","101255833","270413231","N/A","N/A","N/A","49063913","114169517","N/A","N/A","N/A","1569","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","41251"
"Electric Feel - Radio Edit","2008-01-01","N/A","Rock","N/A","N/A","MGMT","N/A","N/A","N/A","N/A","3107","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Deslocado","2025-03-10","N/A","Rock","N/A","N/A","NAPA","N/A","N/A","N/A","N/A","3110","N/A","N/A","N/A","N/A","117645291.65","N/A","N/A","N/A","116045330","126860403","N/A","N/A","N/A","27358402","27548687","N/A","N/A","N/A","22278","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","11070"
"Prom Queen","2018-08-10","N/A","Rock","N/A","N/A","Beach Bunny","N/A","N/A","N/A","N/A","3140","N/A","N/A","N/A","N/A","116870628.105","N/A","N/A","N/A","143312469","842134497","N/A","N/A","N/A","6219855","87070161","N/A","N/A","N/A","1195","N/A","N/A","N/A","N/A","869872","8926818","N/A","N/A","N/A","N/A","N/A"
"Scared To Start","2024-01-12","N/A","Rock","N/A","N/A","Michael Marcagi","N/A","N/A","N/A","N/A","3159","N/A","N/A","N/A","N/A","116339819.88499998","N/A","N/A","N/A","133781493","769978882","N/A","N/A","N/A","5489913","27092049","N/A","N/A","N/A","39169","N/A","N/A","N/A","N/A","835661","4528775","N/A","N/A","N/A","N/A","N/A"
"love.","2023-04-20","N/A","Rock","N/A","N/A","wave to earth","N/A","N/A","N/A","N/A","3232","N/A","N/A","N/A","N/A","114479347.12999998","N/A","N/A","N/A","112337832","301236831","N/A","N/A","N/A","35340415","63889322","N/A","N/A","N/A","278","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","273373"
"Little Dark Age","2018-02-09","N/A","Rock","N/A","N/A","MGMT","N/A","N/A","N/A","N/A","3279","N/A","N/A","N/A","N/A","113485286.83","N/A","N/A","N/A","114847995","863166403","N/A","N/A","N/A","28512715","228810762","N/A","N/A","N/A","11716","N/A","N/A","N/A","N/A","234598","1747794","N/A","N/A","N/A","0","6031600"
"Snap Out Of It","2013-01-01","N/A","Rock","N/A","N/A","Arctic Monkeys","N/A","N/A","N/A","N/A","3404","N/A","N/A","N/A","N/A","110912136.16","N/A","N/A","N/A","125532767","810927744","N/A","N/A","N/A","14113488","221324963","N/A","N/A","N/A","11038","N/A","N/A","N/A","N/A","100900","472996","N/A","N/A","N/A","1930","1144808"
"Young","2016-01-01","N/A","Rock","N/A","N/A","Vacations","N/A","N/A","N/A","N/A","3411","N/A","N/A","N/A","N/A","110751733.2","N/A","N/A","N/A","118584892","852799877","N/A","N/A","N/A","18269846","109147946","N/A","N/A","N/A","1194","N/A","N/A","N/A","N/A","3525536","30531414","N/A","N/A","N/A","2518","1871732"
"i was all over her","2013-01-01","N/A","Rock","N/A","N/A","Salvia palth","N/A","N/A","N/A","N/A","3476","N/A","N/A","N/A","N/A","109498325.295","N/A","N/A","N/A","144188474","844030415","N/A","N/A","N/A","227588","4233454","N/A","N/A","N/A","3753","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4052","458528"
"A Little Death","2012-12-18","N/A","Rock","N/A","N/A","The Neighbourhood","N/A","N/A","N/A","N/A","3510","N/A","N/A","N/A","N/A","108831174.25999999","N/A","N/A","N/A","132583149","324839284","N/A","N/A","N/A","9281922","46500144","N/A","N/A","N/A","767","N/A","N/A","N/A","N/A","96175","300930","N/A","N/A","N/A","N/A","N/A"
