"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"264","Bayaan","Pakistan","Rock","Other Indie / Unsigned","9553","8575","3300","559486","1339964","292099774","88226","983584","2594046","10618","2000","499000","932835","121580608","11647","1779842","25605","-1","61","0","0","-29","158601","1413","69","78719","5","1641","79","36315","27768","2","93217","26","4","4","N/A","N/A","N/A","N/A","N/A","N/A"
"265","EggPlantEgg","Taiwan","Rock","Other Indie / Unsigned","9624","10459","1523","650032","1234272","402104062","-8067","876861","1380773","7979","0","586000","1167132","649031892","1635","1814193","50418","N/A","N/A","N/A","N/A","-112","112831","10","-23","187268","0","163","N/A","N/A","N/A","170","115356","9","1","2","N/A","N/A","N/A","N/A","N/A","N/A"
"266","Scrubb","Thailand","Pop","Universal Music Group, Big Indie Labels","9646","15153","842","791367","579923","248207342","-19687","540539","635809","6358","0","269000","1131196","379096187","2579","2590351","23213","N/A","N/A","N/A","N/A","770","231122","37739","0","1132381","9","72993","N/A","N/A","N/A","8","159945","6","1","4","N/A","N/A","N/A","N/A","N/A","N/A"
"267","Amber Run","United Kingdom","Rock","Big Indie Labels, Sony Music Entertainment","9654","4387","785","581566","1564534","915838471","-37385","2394765","24109461","11571","0","414000","219933","219886876","1077","2393435","17460","0","134503","3544","0","19","62699","302","0","101981","59","35869","5","16010","2323","0","19747","195","21","47","N/A","N/A","N/A","N/A","N/A","N/A"
"268","Housefires","United States","Religious","Big Indie Labels","9688","6008","1128","497788","2262476","544683841","153034","3213602","4822435","23907","1000","301000","125422","121969205","736","762932","37053","N/A","N/A","N/A","N/A","-3","261795","2342","387","176247","28","14785","N/A","N/A","N/A","20","7266","563","18","123","N/A","N/A","N/A","N/A","N/A","N/A"
"269","I Dont Know How but They Found Me","United States","Rock","Big Indie Labels","9824","6487","684","1119343","1574240","847407172","-6383","1382837","7146133","13064","0","616000","236343","198093509","1501","3742069","30224","0","67000","0","0","92","310055","3516","-72","84367","112","34941","N/A","N/A","N/A","39","19621","220","19","66","N/A","N/A","N/A","N/A","N/A","N/A"
"270","Ardhito Pramono","Indonesia","Pop","Big Indie Labels, Sony Music Entertainment","9873","6001","144","1155206","1112196","830589351","-62718","1585321","5963940","11454","0","605000","169298","248477279","346","3168214","20836","0","4","0","0","-187","848122","9686","-1","4115","0","8361","2","10195","722","6","19905","214","2","45","136155","1","0","0","0.26843568807770357","2.3486147888403375"
"271","Barns Courtney","United Kingdom","Rock","Warner Music Group, Sony Music Entertainment","9874","4296","644","612616","2498983","1119978234","-39234","2660930","20298821","14571","0","321000","142670","172123186","717","1870668","46135","113","31337","2368","0","169","92727","429","7","61154","70","42587","4","9251","3096","50","10265","470","32","143","109290","3","1","1","0.9818108867825517","6.3012639910085895"
"272","Tanishka Bahl","India","Pop","Big Indie Labels","9969","8676","3331","135035","1476960","77340287","-42645","2645011","3751086","11803","1000","550000","475228","72480229","10733","3256841","24622","N/A","N/A","N/A","N/A","-2850","951593","58469","N/A","N/A","0","13","0","11","1212","0","311585","3","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"273","Cleffy","Australia","Rock","Other Indie / Unsigned","10058","7993","772","179886","3515574","554622550","-20675","2391080","4174365","16758","700","97900","576461","61567870","4137","576872","13549","470","258936","8772","0","0","21496","0","2","196","34","2771","19","8006","14696","0","153353","4","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"274","Ananya Sharma","India","Pop","Big Indie Labels","10120","64830","495","43505","78063","4304499","5318","232933","146285","5524","1000","624000","512148","189563921","14283","7001404","23060","N/A","N/A","N/A","N/A","14436","1089389","825430","N/A","N/A","N/A","N/A","0","1","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"275","The La's","United Kingdom","Rock","Universal Music Group","10127","2798","790","308987","2749963","614521038","65481","5499808","70803179","40436","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","8230","39","14732","N/A","N/A","N/A","4","2615","1779","75","752","N/A","N/A","N/A","N/A","N/A","N/A"
"276","Car, the garden","South Korea","Rock","Big Indie Labels","10157","12729","3122","451159","1181110","199591662","-15939","815276","3558053","15157","1000","170000","610887","48764725","1906","282727","42799","8","4330","42","0","-250","353577","552","N/A","N/A","10","3164","0","16414","592","3","73003","16","5","6","N/A","N/A","N/A","N/A","N/A","N/A"
"277","Josh Baldwin","United States","Religious","Big Indie Labels, Sony Music Entertainment, Universal Music Group","10231","9192","797","139600","2681878","402327385","29803","2298203","8582058","15949","0","124000","62268","57118812","366","518343","55135","N/A","N/A","N/A","N/A","280","107339","3421","1569","67966","19","5501","N/A","N/A","N/A","22","2632","2067","35","220","N/A","N/A","N/A","N/A","N/A","N/A"
"278","Cold War Kids","United States","Rock","Warner Music Group","10239","4323","1080","940315","1540647","1200823409","-39907","2464903","26882294","24120","0","122000","61784","110041985","377","758108","41161","0","44","0","0","25","67098","277","0","383250","92","71193","0","37649","2906","2","4336","1340","40","335","104537","3","0","0","1.2075031825565317","4.5325379519203075"
"279","The Vaccines","United Kingdom","Rock","N/A","10268","7832","436","800021","844872","829501346","-6887","1035258","16634602","26503","0","140000","36854","92829229","294","645281","23195","38","37692","883","0","0","198555","529","-87","531318","91","182515","-53","4047336","2578","31","6616","860","40","259","98951","N/A","N/A","N/A","N/A","N/A"
