"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"137","Dewa 19","Indonesia","Rock","Big Indie Labels","1378","811","69366","12702884","10159083","2370312017","27539","8434330","6199290","2612","1000","628000","3128245","1342924277","7057","5255239","7456","388","152465","1965","0","1169","803181","5333","779","310419","32","51292","N/A","N/A","N/A","5","7695","621","3","84","N/A","N/A","N/A","N/A","N/A","N/A"
"138","Gustavo Cerati","Argentina","Rock","Sony Music Entertainment","1386","1495","10244","5830089","10657657","3581821013","56833","5634431","34240663","1927","0","1570000","2481208","1280209885","11811","6571413","N/A","1903","309691","22599","0","2542","1406437","155121","-667","2831276","370","631572","8","8656","1086","241","2004","3249","24","435","51344","7","0","0","10.310376123654295","11.036504056014664"
"139","Finn Wolfhard","Sweden","Rock","Other Indie / Unsigned","1392","9336","3922","509249","934367","35553042","-64937","506323","611658","3455","3000","680000","196197","12862851","9798","575178","116","2368","9087282","88955","0","-16733","25491889","41666","N/A","N/A","106","5778","79","5170","6199","39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"140","Cage The Elephant","United States","Rock","Sony Music Entertainment","1408","600","6101","4432427","13420722","6033753973","180151","15543029","68430786","3855","0","1330000","789330","724683853","5400","7562346","6624","733","103336","17496","0","-141","791565","14658","-482","1548711","688","563217","57","114135","21776","18","1400","4078","55","708","N/A","N/A","N/A","N/A","N/A","N/A"
"141","Shinedown","United States","Rock","Warner Music Group","1418","1309","7610","4704755","13001152","4339240023","59489","7662312","47383085","2827","0","1970000","2388606","1689849845","25537","11376210","3499","795","712967","25832","0","366","1012313","16603","6779","3347543","419","346313","108","48432","70904","454","513","10068","60","811","150517","8","0","0","0.1056081846422038","2.112163692844076"
"142","Survivor","United States","Rock","N/A","1422","871","4618","1520382","7969468","2527305125","68329","13896749","104590393","1280","0","1760000","2718899","1805821087","12306","9708980","52826","N/A","N/A","N/A","N/A","32","13951","15","-89","254015","267","256299","N/A","N/A","N/A","1604","255","16357","97","3903","143471","6","0","0","0.16190840707263854","3.2381681414527703"
"143","Jeff Buckley","United States","Rock","Universal Music Group","1449","1070","16295","2702223","15655809","2072978480","275787","11441283","34922268","4136","3000","691000","777393","391733913","8408","3114025","N/A","N/A","N/A","N/A","N/A","1254","349863","719","-161","806076","686","311180","150","21700","23940","11657","4036","1417","45","526","N/A","N/A","N/A","N/A","N/A","N/A"
"144","Genesis","United Kingdom","Rock","Warner Music Group, Universal Music Group, Big Indie Labels","1459","1426","5587","3877980","10825427","2580559248","126185","9567081","34772568","3976","1000","780000","1440800","631475971","10276","4518614","3961","563","110390","9902","0","908","347792","6858","1694","2364474","1460","1161880","N/A","N/A","N/A","1152","104","31620","111","5192","N/A","N/A","N/A","N/A","N/A","N/A"
"145","Café Tacvba","Mexico","Rock","Other Indie / Unsigned","1469","1390","9079","3988338","7922071","2920680584","-18651","7907729","41325535","1723","0","1470000","2569049","1739572205","9679","8146371","6779","29","132816","176","0","-150","551262","53","-1250","3888297","304","974564","N/A","N/A","N/A","780","2202","2974","34","548","N/A","N/A","N/A","N/A","N/A","N/A"
"146","Bunbury","Spain","Rock","Warner Music Group, Sony Music Entertainment, Big Indie Labels","1472","2119","3738","3138207","12045282","3499764820","-19608","5063164","27534616","1207","0","2900000","5906399","4148298903","17504","14329860","4240","102","102668","186","0","237","1037157","12918","-979","4503140","234","960881","N/A","N/A","N/A","66","3986","1647","25","258","N/A","N/A","N/A","N/A","N/A","N/A"
"147","Neil Diamond","United States","Rock","Sony Music Entertainment, Big Indie Labels","1493","1532","8320","3405923","7069049","2433787622","181831","7559902","45376569","2182","1000","604000","2806437","898462569","15581","5913676","3087","1952","236711","23833","0","1835","316171","24352","4555","2305622","258","380838","N/A","N/A","N/A","1071","285","15092","90","2561","7107","11","1","40","2.545878166138619","268.1943679616011"
"148","Alanis Morissette","Canada","Rock","Sony Music Entertainment, Universal Music Group, Warner Music Group","1495","1263","5301","3285223","8469716","2656342341","159338","9563550","69267902","4361","0","1220000","1406567","1020942792","8056","5950258","2965","844","256737","3750","0","2311","1647758","2166","3818","4177652","805","931963","51","166566","9098","4809","214","19120","99","3968","149241","1","0","0","0.12740624886736196","1.1147109478004347"
"149","Hoobastank","United States","Rock","Universal Music Group, Warner Music Group, Big Indie Labels","1503","1060","5651","2873041","7144108","2088836920","11603","13467744","51845851","1419","0","1680000","3125307","1829446878","14146","10673079","12467","185","166656","334","0","206","155598","638","0","2041635","251","375751","N/A","N/A","N/A","39","1197","5370","81","1842","84727","N/A","N/A","N/A","N/A","N/A"
"150","León Larregui","Mexico","Rock","Universal Music Group, Big Indie Labels","1504","1341","9997","3103914","9740737","2669289845","-43652","8303698","25592033","1429","10000","2030000","2891583","1808591918","9556","7587690","4762","N/A","N/A","N/A","N/A","304","1256000","7351","-246","1354980","205","504742","N/A","N/A","N/A","40","12937","731","17","116","N/A","N/A","N/A","N/A","N/A","N/A"
"151","INXS","Australia","Rock","Universal Music Group, Warner Music Group, Big Indie Labels","1512","1077","5401","3205139","8770383","2784829253","257903","9672684","88254150","3685","3000","764000","1696644","776679479","10615","4789940","N/A","1493","149200","23036","0","688","230444","9816","2297","1095421","797","837609","2","5607","N/A","21","126","27660","108","4860","42112","33","0","0","15.791040306428869","35.68334423317238"
"152","America","United States","Rock","Big Indie Labels","1516","881","6794","2196715","16365954","2568299093","678528","16309891","73942990","8574","1000","338000","649809","129289583","4939","852322","9241","4830","79524","160957","0","2672","158052","5920","1852","855279","653","110402","N/A","N/A","N/A","239","300","14929","92","3203","N/A","N/A","N/A","N/A","N/A","N/A"
"153","Legião Urbana","Brazil","Rock","N/A","1525","1443","14072","7530938","8059122","2343221637","-49610","5897834","19290811","3720","0","1740000","417692","593261593","2225","4460831","N/A","0","23600","0","0","158","14880","26","0","1852289","1606","2862136","3","27245","236","14","784","7507","13","772","N/A","N/A","N/A","N/A","N/A","N/A"
"154","Simon & Garfunkel","United States","Rock","Other Indie / Unsigned","1533","813","7953","6077487","8582697","4575540301","169850","9746636","75869260","4178","0","1080000","2031886","1048990018","11295","5997448","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-733","2754107","964","1147986","N/A","N/A","N/A","2812","287","15269","95","3081","N/A","N/A","N/A","N/A","N/A","N/A"
"155","The White Stripes","United States","Rock","Big Indie Labels, Warner Music Group","1550","696","6925","3686194","9213759","4211970935","18484","14591974","93481513","3516","0","1140000","2207285","1122028039","13420","8979107","N/A","N/A","N/A","N/A","N/A","1120","323230","919","0","3125356","847","1303345","33","21627","11446","118","987","6072","68","1411","140065","15","0","0","0.1980153462041322","3.9603069240826443"
"156","Neil Young","Canada","Rock","Warner Music Group, Big Indie Labels, Sony Music Entertainment","1552","1222","5960","3479424","19640568","4416103146","315464","10583828","33758361","6419","1000","806000","914482","515100496","6092","3375082","14497","N/A","N/A","N/A","N/A","76","285101","38","-739","2595998","901","810007","36","984032","30578","131","522","10028","75","2198","N/A","N/A","N/A","N/A","N/A","N/A"
"157","Nine Inch Nails","United States","Rock","Other Indie / Unsigned","1553","1869","5953","3207143","6924377","2237560960","-74762","5903418","44966458","2545","0","1090000","918726","592939616","8823","5817178","5579","0","537","0","0","1063","1036408","27873","-858","3255112","634","536606","117","580789","25690","1428","1313","4048","55","698","N/A","N/A","N/A","N/A","N/A","N/A"
"158","Staind","United States","Rock","BMG","1556","1479","7662","3131747","11914479","2097500955","96339","8435127","34767555","4415","10000","1030000","1591261","899760521","12041","5885473","4364","0","352400","0","0","606","376122","3500","355","2854231","394","393384","142","30540","143645","184","1703","3761","62","710","N/A","N/A","N/A","N/A","N/A","N/A"
"159","Men At Work","Australia","Rock","Other Indie / Unsigned","1562","1074","5615","1706533","9337639","2130991624","53629","12156573","63878173","2104","1000","747000","2170452","988253863","15319","6607632","46188","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-68","532358","250","370064","N/A","N/A","N/A","553","216","18441","104","4292","145141","11","0","0","0.14521125388303024","2.9042250776606053"
"160","Sakanaction (サカナクション)","Japan","Rock","Big Indie Labels","1576","3916","9379","1852851","6938792","864468857","-4770","3136221","5905903","1991","10000","1250000","4114485","1026372795","41410","7030378","2159","1437","203545","43335","0","4485","639454","97015","51","146528","35","3972","N/A","N/A","N/A","732","109852","19","4","5","166087","1","0","0","0.013201023080275476","0.2640204616055095"
"161","Hombres G","Spain","Rock","Warner Music Group, Sony Music Entertainment","1582","913","8133","5281747","11451318","3556426910","-87044","12222697","44152076","4123","0","643000","1952780","962141114","8255","6147804","9677","-19","142264","798","0","90","450291","3970","637","144906","332","938805","9","5436","1749","615","810","7454","40","873","N/A","N/A","N/A","N/A","N/A","N/A"
"162","Incubus","United States","Rock","Sony Music Entertainment","1585","1124","6484","3789012","10460808","3374663642","143496","10139030","59875723","2855","0","5270","1657277","994008765","8243","5271917","7345","N/A","N/A","N/A","N/A","1241","877450","14587","-600","4893898","539","1080508","13","267169","1980","56","1050","5945","75","1155","149490","6","0","0","0.11613432320431849","2.3226864640863703"
