"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"422","Nenhum De Nós","Brazil","Rock","N/A","8521","8169","1684","1094286","1381281","342522051","28356","1936624","7903306","20244","0","218000","148588","98306531","1028","913054","19977","N/A","N/A","N/A","N/A","472","281095","5598","-175","795224","306","482208","6","1686","1834","14","2765","2699","7","492","N/A","N/A","N/A","N/A","N/A","N/A"
"423","The Marshall Tucker Band","United States","Rock","Big Indie Labels","8594","4016","1632","1157066","3279534","625157699","68831","3602572","11158916","41380","N/A","N/A","N/A","N/A","N/A","N/A","29222","N/A","N/A","N/A","N/A","119","48379","2172","0","824071","34","12556","7","1302","6096","1678","3953","1584","40","540","N/A","N/A","N/A","N/A","N/A","N/A"
"424","El Gran Silencio","Mexico","Latin","Warner Music Group, Big Indie Labels","8600","6223","1600","1281984","1501586","559581855","-34652","1899247","10401430","10005","0","247000","348755","334237697","1637","1476878","37390","0","557","0","0","65","134059","140","-119","337512","65","154260","N/A","N/A","N/A","418","11195","480","18","90","N/A","N/A","N/A","N/A","N/A","N/A"
"425","The Itchyworms","Philippines","Rock","Sony Music Entertainment, Big Indie Labels","8654","4665","3704","1914773","1835781","499631579","-71252","2887654","6924647","17624","0","261000","54933","144938004","160","613413","21256","134","11007","173","0","1031","89792","1557","0","638327","0","23440","N/A","N/A","N/A","12","17303","293","9","30","93027","11","0","0","2.0159744945524434","26.441557191464057"
"426","Fobia","Mexico","Rock","Sony Music Entertainment","8682","6288","1488","1175388","1320308","659493601","951","1566848","15140756","10202","0","150000","195301","219487684","800","924590","33362","N/A","N/A","N/A","N/A","292","104711","1102","0","258639","66","254630","N/A","N/A","N/A","19","8729","604","15","111","N/A","N/A","N/A","N/A","N/A","N/A"
"427","Rezcaze","Latvia","Rock","Big Indie Labels","8704","14953","1014","11064","3642411","37029721","93568","4325470","13531436","10988","0","67600","2227521","21055199","39960","466899","463412","N/A","N/A","N/A","N/A","1762","38790","47094","N/A","N/A","10","82","1","21","1867","0","N/A","N/A","N/A","N/A","19060","62","0","0","56.42106298938882","62.29107085201768"
"428","CMAT","Ireland","Pop","Sony Music Entertainment","8705","9872","808","227850","1435001","187917791","-29909","1238091","21060843","29299","300","52800","256383","20708503","1354","226713","5710","166","215802","14663","0","841","344408","18009","20","29272","88","6950","N/A","N/A","N/A","82","6175","732","32","127","N/A","N/A","N/A","N/A","N/A","N/A"
"429","Texas","United Kingdom","Rock","Universal Music Group, Big Indie Labels, BMG","8713","6373","606","563586","1436484","640378061","-17251","2256568","9124651","16689","0","155000","526200","155958397","2335","815784","51221","-2","18141","40","0","17","59339","13","-230","217160","273","178165","3","2116","1501","12","733","7740","98","2294","35336","58","3","41","21.864281433393145","84.43591165734081"
"430","Mavi Gri","Turkey","Rock","Big Indie Labels, Sony Music Entertainment","8722","4235","916","1696967","1850036","1026039026","-16099","2163950","6814532","11111","0","270000","1051600","382004590","1817","2602621","42033","-64","64433","338","0","-364","106586","0","0","1368","36","51485","N/A","N/A","N/A","91","14230","314","6","39","N/A","N/A","N/A","N/A","N/A","N/A"
"431","Will Stetson","United States","Rock","Big Indie Labels","8733","17907","748","375722","1099556","299486564","732","624475","325854","4926","0","1090000","2156830","454416598","18741","8376526","47778","-106","553928","4125","0","-2","1926","0","N/A","N/A","37","6385","11","9714","208","9","184855","8","3","3","N/A","N/A","N/A","N/A","N/A","N/A"
